"","index","answer"
"65","3152","اللجوء للازهر الشريف"
"66","3328","تجنب الزوج حتى يعرف خطأه ولا يعود اليه مره اخري"
"67","3330","كل الاختيارات جائزة ع حسب طبيعة الموقف"
"68","3349","تلجأ الي استشارة نفسية واجتماعية التعافي من أثر العنف"
"69","3376","علي حسب الموقف بيتحدد التصرف"
"70","3452","ايجاد فرص عمل لها ،تغنيها ع سؤال الزوج"
"71","3502","حسب الصرر الذى لحق بها إن كان شديد يبقى أول 3 خيارات وإذا كان بسيط يبقى آخر خيارين"
"72","3512","البحث عن متخصص نفسي  كنوع من الارشاد الاسري للبجث عن حلول"
"73","3564","اتخاذ موقف صريح بعدم تكرار الفعل"
"74","3575","تضع شرط للزوج اذا قام بتعنيفها مرة أخرى عليه أن يطلقها أكرم لها من الاهانه"
"75","3618","العنف بين الزوجين لا يوجد له حل .. الزواج اساسه الاحترام  لو مفيش لزم  الطلاق"
"76","3620","تتكلم مع الزوج ولم يستجب تلجأ للأهل وان لم تجد الحل تلجأ الجها المختصه"
"77","3693","الكلام مع الزوج لحل الموضوع بينهم"
"78","3886","ترد العنف بالعنف"
"79","3894","هضربه علقة محترمة واللى يحصل يحصل"
"80","3914","ترد الاذى بنفسها و متسيبش بيتها"
"81","3967","تبليغ السلطات المختصة المفروض يكون اخر حل"
"82","3972","يكون فيه قانون صارم ياخدلي حقي"
"83","3982","كلهم بس بالترتيب يعني تبدأ بيه ولو منفعش يبقى الأهل وهكذا"
"84","4031","تطلب الانفصال لذا لم تجد حل"
"85","4032","تجنب ما يدعو للغضب"
"86","4087","اللجوء للقضاء"
"87","4158","تبحث عن عمل ل ادخل مصدر دخل لها لكي قرارات الاستقرار لوحدها"
