"","index","videos_watched_content"
"29","133","محتوى مهم ويهدف للاصلاح فى التربية والتوجيه للمراه للتعامل مع مواقف التحرش سواء ليها أو لأطفالها وايضا نوعيتها بوجود جهة مختصه ممكن تساعدها"
"30","134","تحرش ودفاع المراه عن حقها"
"31","145","التحرش بالأطفال و اثناء العنب وليس المراه هل سبب للتحرش والفرق بين الطلاق و الخلع و الاغتصاب"
"32","146","دائما كان لدعم المراه"
"33","147","اتفرجت علي جميع حلقات مدام نهاد وهي مركزة ومفيدة جدا للمرأة بصفة عامة والمرأة العاملة بصفة خاصة"
"34","151","مفيد جدا"
"35","154","عنف / اغتصاب / سلب حقوق"
"36","155","كيفية إدارة قضايا الاسرة"
"37","157","فديو الخاص بختان البنت مفيد للغاية وبه نصائح تفيد الكثير من الاسر وخاصة الاسر التى تملك وتسيطر على رأسهم الأفكار القديمة إلى الان"
"38","162","مثلا العنف المنزلي. التحرش"
"39","171","التحرش"
"40","178","التحرش البدني واللفظي والتعليم"
"41","184","داعم للمرأة"
"42","190","عقلنيه جيده محدده"
"43","191","محتوى هادف ومشوق"
"44","195","عن الفيديو اللي كانت هي وبناتها ازاي بساعدوها في اختيار الملابس والمكياج وحلقة عن عدم الاستسلام للزوج واني لازم اخلق حياه أشعر بالراحة فيها"
"45","198","قضية الخلع"
"46","199","التحرش الجنسي"
"47","201","طريقه سلسله وسهله فى الشرح ازى نقدر نتجنب التحرش بالاطفال"
"48","203","التحرش اثر كرونا العنف الاسرى"
"49","204","العنف ضد المرأة وكيف يمكن التغلب عليه وايضا موضوع الفرق بين الخلع والطلاق"
"50","208","كان عن طلاق الزوجه وقضية اغتصاب فتاة الفندق"
"51","224","كان بيتكلم عن صفحه انتي مش لوحدك"
"52","225","الدفاع عن احقيه المراه ف المشاركه المجتمعيه والراي"
"53","230","تحقيقات في قضايا تحرش"
"54","239","العنف الاسري"
"55","246","انا لما باتعصب ما باشوفش قدامي هو بيعمل كده مع الاضعف الي عي الزوجه الي تحت سلطته والاطفال الضعاف وتبقي الزوجه بقي مضطره تقعد علشان ما تاخدش لقب مطلقه وممان ما عندهاش مصدر دخل تعيش هي وولادها بكرامه افلب الطلاق بيتم علي الابراء يا اما الزوج بيكرها ف عيشتها فتطاب هي الطلاق وكده ما لهاش حاجه. اويساومها علي حريتها فتتنازل وما يبقي لها حاجه"
"56","248","برضه نهاد ابو القمصان وازاي الست تكن محافظة علي كرامتها"
"57","255","حملة 100مليون صحة لسرطان الثدي"
"58","259","فيديوهات حكايات نهاد ع الفيس بوك"
"59","265","الاستاذة نهاد وخبرتها في العلاقات الاسريه"
"60","270","دعم للمرأة ضد التعنيف و دعم للمحجبات"
"61","283","قضايا المطلقات والخلافات الزوجيه"
"62","290","حقوق المرأة"
"63","296","مفيده"
"64","300","التحرش"
"65","309","دعم المرآه المطلقه وزواج القاصرات والختان"
"66","311","تحفيز وحث علي روح الاسره وأنشطه آسريه اثناء الحظر"
"67","312","العنف ضد المرأة"
"68","313","قصص نجاح للناجيات من العنف"
"69","320","عنف ضد المراة"
"70","323","حماية المرأة من التحرش"
"71","326","الشروط التي يمكن للمرأة وضعها في قسيمة الزواج"
"72","331","أهمية ودور المرأة في المجتمع وكيف تحصل علي حقوقها"
"73","335","امراءه  يتحدث عن قضايا المرأة والتحرش"
"74","336","تعليم الاطفال الخصوصيه الجنسيه وطرق  التعلم الصحيح لها"
"75","337","دعم المرأه"
"76","338","عن التحرش الجنسى وعقوبته وكيفيه التصرف حال حدوثه والاغتصاب وختان الاناث"
"77","340","<U+06A4>يديوهات عن التحرش الجنسى وكيفية التصدى له - أثر <U+06A4>يروس كورونا على المرأة من عدة زوايا - وغيرها"
"78","343","التحرش في العمل ونتعامل ازاى .. و العنف ضد المراة ... و البنات و الانترنت واللي حصل مؤخرا"
"79","344","كيفية تعامل مع المتحرش سواء ف الشغل أو الشارع و كمان تمكين المرأة في المجتمع"
"80","345","التحرش الجنسى بالطفال وعقوبه التحرش ولبس البنات سبب للتحرش بهم اثر فيروس كورونا على العنف المنزلىالفرق بين الخلع والطلاق جريمه الاغتصا اهميه الشغل وازى توفقى بين الشغل والبيت واثر فيروس كورونا على شغل الستات تعملى اى لو حصل تحرش فى الشغل والتحرش بالموظفين الجدد لو شوفت حد بيتحرش بزميله ف الشغل تتصرف ازاى ازاى الشباب والرجاله يقفوا ضد العنف ضد المراه"
"81","346","كيفيه التعامل مع كل صور التحرش سواء بالنساء أو بالأطفال وجريمة الختان وعقوبتها اللي بتطبق على الطبيب والأهل اللي شاركوا أو وافقوا على العمليه واهيميه شغل المرأه وأنه بيوفر لها الأمان والاستقرار مش بس مصدر للمال وتأثير وباء كورونا على شغل المرأه"
"82","347","معرفة حقوقى ،التصرف فى حالة شفتت تحرش ،اضرار الختان"
"83","352","حق المراه ف كل حاجه ف المجتمع و احتران رايها و احترام وجودها"
"84","353","عمل المرأة - العنف ضد المرأة - التحرش بالمرأة - حقوق المرأة بعد الطلاق أو الخلع"
"85","355","التحرش الجنسي"
"86","357","عن دعم المراءه"
"87","358","اسباب التحرش وتأثير الكورونا ع شغلنا وعامة الحقوق القانونيه لينا كسيدات"
"88","360","التحرش والعنف ضد المرأة"
"89","362","لازم نعلم بناتنا يحافظوا على نفسهم باتباع العادات والتقاليد المجتمعيه وكمان لو اى بنت مرت بموقف فيه تحرش تدافع عن حقها ونفسها بكل الطرق المتاحه ولا تخجل مما تمر به فالكل معرض لذلك ليس لعيب فيها ولكن لغياب الدين عن الرجال وعدم خوفهم من ربنا"
"90","366","توعية بمعلومات المفروض نكون احنا كستات عارفينها بس في العادي محدش بيقدملنا المعلومات دي عشان النظام البطريركي الذكوري بيستفاد بجهلنا بابسط الحقوق و المعلومات دي"
"91","368","الوقاية من التحرش ف العمل"
"92","369","فيديو عن المتحرشين اللي ممكن يؤذوني بنظرة او بكلمه اثناء العمل"
"93","371","الفرق بين الخلع والطلاق"
"94","372","فيديوهات تخليني ادافع عن نفسي واحس بقيمتي فالمجتمع"
"95","373","معنى التحرش الجنسي وانواعه التحرش بالاطفال وازاي اتجنبه والحمايه منه طريقه الدفاع عن النفس ضد التحرش"
"96","375","كان فيه فيديو عن تمسك الست بشغلها وازاي تعرف توازن بينه وبين بيتها"
"97","380","توعيه تحرش - شخصية قيادية"
"98","381","دعم المرأة ضد العنف"
"99","382","عن قضايا مجتمعية"
"100","383","مدهش"
"101","384","التعامل مع المتحرشين بمختلف المواقف"
"102","386","اثر فيروس كورونا علي العنف المنزلي  .وان التحرش ليس له علاقه بلس المراة"
"103","387","كل فيديوهات التحرش الكورونا ااثقه بالنفس"
"104","388","بيتكلم عن ازاي نحافظ علي نفسنا من التحرش سواء في العمل او غيره"
"105","389","بتحاول تجيب للست حقها وبتساعد الست ف معرفه حقوقها واعمل ايه ف حاله شوفت حد بيتعدي علي ست قدامي الفيديو ده فادني جدا"
"106","401","العنف ضد المرأه"
"107","407","ممتازه"
"108","426","عنف ضد المرأة ودعوات لدعم قضايا المدان فيها نساء"
"109","428","تعنيف وضرب المراءه"
"110","435","ازاي اعرف حقوقي في الميراث احافظ ازاي لو عملت توكيل وعايزه الغيه"
"111","447","كان عن  حقوق المراه /اللمشاكل الزوجيه اللى بتواجهها  وازاى تصرف فيها"
"112","450","عن قضايا المرأه و حقوقها ف المجتمع و الاسره"
"113","452","كانت عن حقوق المرأة والتحرش والطلاق"
"114","454","عن التحرش في العملوكيفية الاشرف  وكيفية وقوف الشباب والرجال للعنف ضد المرأةالفرق بين الخلع والطلاق"
"115","456","قضايا المراة"
"116","457","محتوى متنوع لتمكين المراه ودعمها ثقافيا وفكريا وضخ المزيد من التوعيه لجعل المرأه ذات فاعليه وتاثير كبير فى المجتمع"
"117","458","التحرش الجنسى"
"118","459","عن مواجهة التحرش وازاى المرأة تقدر تحمى نفسها وتحافظ على حقوقها"
"119","460","التحرش داخل العمل للموظف الجديد وكذلك التحرش مع الموظفين القدامي  وقضايا الطلاق والخلع وقد أرسلت لك طلب عن حال المرأه بعد الطلاق وليس لها منزل هل ترمي في الشارع"
"120","461","أغلبها كان توعوي عن الحقوق المتاحة للمرأة واللي المرأة نفسها مش واعية بيها لأن المجتمع بيتجاهلها"
"121","465","جرائم الاغتصاب وكيفية مواجهتها،  ختان الاناث وكيفية منعه،التحرش بالأطفال وكيفيه منعه، هل ملابس الاناث سبب التحرش"
"122","467","العنف الاسري في فترة الكورونا"
"123","468","محتوى مفيد"
"124","472","ازاي أواجه المجتمع لو حصل تحرش وأقدر إني أواجه أو على الأقل أتكلم وأن لبسي أو مظهري الخارجي مش سبب يخليني مستباحه ، دعم المغتصبه وفضح المتحرشين، أهميه الخلع والفرق بين أنواع الطلاق، أزاي أتصرف بطريقه سليمه لو حصلي تحرش في شغلي أو لو حصل لحد وشوفته"
"125","473","عن المراة وازاى تكون قوية وتواجه التحرش والفرق بين الخلع والطلاق للضرر والعنف عامة"
"126","474","التحرش بالأطفال، التحرش في العمل، التحرش بالموظفين الجدد، الكرونا واثارها علي العنف المنزلي"
"127","476","كيفية الحفاظ عالحق"
"128","478","عبارة عن رفع وعى المرأة ومعرفة حقوقها وازاى تتصرف لو اتعرضت لمواقف مؤذية"
"129","479","التحرش ومواجهته. العنف ضد المراه"
"130","480","العنف ضد المراة"
"131","511","عنف اسري"
"132","513","العنف ضد المرأه"
"133","518","معظمها كانت بوستات ومقالات"
"134","519","الخلع والطلاق والفرق بينهم والتحرش في العمل"
"135","522","عن حقوق المرأة والعنف ضدها"
"136","525","التحرش كان موضوع ف محله لاني تعرضت بالفعل بنفس المواقف اللي اتذكرت"
"137","526","ما بعد الطلاق  /مرتب الزوجه"
"138","529","الراجل ضدد عنف المراة"
"139","531","فيديو سيدة القطار"
"140","532","فيديوهات متنوعة عن العنف ضد المراة والتحرش بها وكيفيه المواجهة لهذا الفعل"
"141","536","التحرش والتحرش في العمل ولو شفت زميله في العمل حد بيتحرش بيها"
"142","537","التحرش الجنسي بالاطفال والاغتصاب  وختان الاناث واثر كورونا علي زيادة العنف"
"143","538","التحرش وعمل المرأة وازمه كورونا والخلافات"
"144","544","التحرش فى العمل"
"145","572","المراءه مهدور حقها"
"146","574","قضايا المراة"
"147","599","حلقات شاي باللبن"
"148","608","العنف ضد المراه"
"149","614","التحرش"
"150","615","انواع العنف ضد المرأه التحرش الجنسي. حمايه الأطفال من التحرش. حمايه البنات من عمليه الختان. تأثير كرونا على العنف ضد المرأه. العمل والبيت والمرأه."
"151","616","كيفيه حماية طفلة من التحرش الجنسي ، فى حالة التعرض للاغتصاب لمن الجأ، فائده عمل المرأة مواجهة العنف الاسري"
"152","619","التحرش وعمل المرأه"
"153","622","شغل المراه وازاي اثر نفسيا عليعا بسبب الكورونا ، التحرش وجرائم الاغتصاب"
"154","625","حوادث التنمر"
"155","626","التحرش والطلاق والخلع"
"156","627","عن حقوق المرآة  العنف ضد المراة تعامل الشباب والرجال قضايا التحرش والتعامل معها"
"157","630","الفيديوهات متخصصة بموضوع التحرش أكتر حاجة وشملت أغلب النواحي بس كنت متأملة فيديو يشرح كيفية عمل محضر تحرش وازاي نضمن ان قسم الشرطة يصدقنا ومش يعتبره بلاغ كيدي أو كده.. + أسلوب الآنسة جميل جدا ولطيف يعني حتى لو راجل شاف الفيديوهات معتقدش انه هيحس بالهجوم أو ينفر"
"158","631","التحرش والعنف الاسري"
"159","644","العنف ضد المرأه وايضا حضانه الزوجه للاطفال"
"160","646","كيف تصنع المرأة السعادة"
"161","652","حقوق الست وازاى تاخد حقها او متسكتش عن اى حاجه حصلت ضدها"
"162","660","دور المراة فى المجتمع"
"163","667","قضايا العنف ضد المرأة"
"164","670","مناقشة بعض مشكلات المرأة الأسرية وكيفية حلها"
"165","700","للاسف مفيش،حلول جذرية"
"166","707","بنات وسيدات قدرت تتحدي الظلم والوحده وقدرو يبنو مستقبلهم"
"167","708","العنف قبل المرأه و المشاكل الأسريه"
"168","714","فيديو عن الزواج المبكر واضراره على البنت وفيديو عن الصحة الانجابية"
"169","724","التعنيف ضد المراه"
"170","734","حقوق مراؤة ودورها فى المجتمع"
"171","745","عنف زوجي .. تشهير الزوج بزوجته من خلال صور لها"
"172","749","استقلال المرأة المادي"
"173","764","دعم المرأة"
"174","769","جيده ومفيدة"
"175","770","جرائم الاغتصاب والتحرش التحرش ف العمل"
"176","772","الحلقات بتشرح معني التحرش وازاي نقدر نواجهه ونمنعه وازاي نحمي الأطفال م التحرش وازاي ازمة كورونا زوردت العنف ضد المرأة للأسف فالمجتمع المصري"
"177","780","سلسلة لست وحدك راءعه"
"178","786","محتوي كويس بس بيبين مدي سوء الوضع في وطننا"
"179","787","الفيديو اللي كان بيتكلم عن أن البنت اللي بتشتغل ممكن تتعرض لتحرش في العمل"
"180","788","أهمية الشغل وازاي أوفق بين الشغل والبيت"
"181","790","كلها بتناقش قضايا تخص المرأة وحقوقها وأمور تشجعها إنها تكون افضل زي الاهتمام بالشكل والموضة وأنها تكون مثقفة وليها كيان خاص ...الخ"
"182","792","كيف التعامل فى حالة التحرش والعنف ضد المراة"
"183","793","ازاى الشباب والرجال يقفوا ضد العنف ضد المرأة - التحرش فى العمل- الفرق بين الخلع والطلاق - الآثار السلبية لكرونا على عمل المراة"
"184","794","التحرش بالأطفال والنساء والعنف ضد المرأة"
"185","795","خطوة على الطريق"
"186","796","عن التحرش بين الموظفين الجدد"
"187","801","اهمية العمل للمرأة وايه اشكال التحرش عدم السكوت عنه"
"188","802","غالبا شوفت الفيديوهات عن التحرش"
"189","803","Super supportive"
"190","804","مفيده"
"191","808","ارشادى كم معلومات  جيد"
"192","809","فيديو عن التحرش فيديو عن تأثير كورونا على عمل المرأة جرائم الغتصاب  الفرق بين الطلاق والخلع"
"193","810","التحرش بالستات و الاطفال و شغل الست و تاثير كورونا عليه و الفرق بين الخلع و الطلاق"
"194","811","كيفيه التعامل مع التحرش..ازاى اتصرف مع العنف الاسرى"
"195","816","وافي قدرت اعرف منه ازاي أواجه العنف الي اي انثي ممكن تتعرضله"
"196","818","عمل المرأة والبيت وحلقات متعلقة بمواجهة التحرش"
"197","833","حلقات تتحدث عن التحرش بالمراه و حلقات عن هل لبس المراه سبب فى التحرش و حلقات عن التحرش فى العمل و ازاى نواجه و ازاى لو شوفنا حد من زميلنا بيتعمل فيه كده نتصرف ازاى و كمان حلقه على الاغتصاب و ازاى نحتفظ بالادله و ازاى نتكلم و منخفش و حلقات عن العنف ضد المراه و ازاى الكرونا اثرت على شغل المراه و اثرت على العنف الاسرى و حلقه اتكلمت عن اهميه الشغل بالنسه للمراه"
"198","834","كانت بتتكلم عن التحرش. ووقف العنف ضد المراءه"
"199","836","زيادة العنف بعد فيروس كورونا ، التحرش وازاي اتعامل مع المتحرش،ازي أوفق بين الشغل والبيت ،الاغتصاب وازاي نتعامل معاه"
"200","837","جيد بيوصل المعلومة ببساطة"
"201","838","التحرش فى الشارع والتحرش فى العمل والعنف ضدالمرأه"
"202","841","التوفيق بين الشغل والبيت والتحرش فى العمل ولو شفت زميله يتم التحرش بيها والعنف ضد المرأه"
"203","842","التحرش في العمل"
"204","844","التحرش الجنسي"
"205","859","قناه نهاد ابو القمصان علي اليوتيوب توعيه باهميه عمل ومشاركهالمراءه في المجتمع"
"206","860","تشجيع البنات على الابلاغ عن التحرش والاستمتاع بحريتهم الشخصية"
"207","874","حاجات عن ستات استطاعت ان تبني نفسها بنفسها"
"208","878","دفاع عن المرأه وأهميه المرأه في المجتمع"
"209","879","كان إحداهم بيتكلم عن ضرب المرآه والاستاذه ناهد وضحت أنه لايجب السماح بهذا الفعل مع الزوجة بحجة أنها مستفزة لان لو مديرته في العمل لن يقوم بهذا الفعل"
"210","910","العنف ضد المرأة"
"211","918","تخص كيفية كون المراه قويه وناجحه فى عملها وعدم السماح لأى شخص بهزيمتها وكسر طموحها"
"212","920","بناء الثقه بالنفس وكيفيه التعامل مع الاخرين"
"213","928","حقوق المرأة في الشارع المصري ، حق المراةف ي جسدها ، حق المرأة ف المنزل ، الاختلافات الزوجية ، كيف اتعامل مع شريك حياتي"
"214","932","حب الذات وتنميتها"
"215","933","تمكين المرأة في الحياة الاجتماعية والاقتصادية والسياسية"
"216","938","اغتصاب لقاصر واغتصاب فى فندق مشهور وفيديوهات لحاضنات تم خطف أطفالهم من قبل الزوج وعنف تجاه الزوجة"
"217","940","فيديوهات عن حق المرأة في المساواة وعن الاغتصاب وإن ملابس المرأة مش بتعبر عن حاجة غير شخصيتها، و فيديوهات empowerment ، وفيديوهات عن وجوبية تأديب الرجل قبل تأديب المرأة"
"218","941","هو محتوي عن قضايا التحرش و البنات اللي بيتقبض عليها عشان لبسها"
"219","945","دعم المرأة"
"220","946","ممتاز"
"221","947","الوعى بقضايا المرأه وقضايا التحرش والعنف ضد المرأه"
"222","949","عجبني جدا فيديو عن المراءة بعد سن الأربعين والخمسين كيف تغير حياتها"
"223","955","فيديوهات بتتكلم عن ظاهره التحرش بالبنات في المدرسه أو العمل وكيفيه مواجهه المتحرش وعواقب الصمت عن ظاهره التحرش وعقوبته القانونيه"
"224","956","عن وضع المرأة الراهن وازاي تحل المشاكل الي بنواجها في العمل"
"225","958","عن كيفية الدفاع عن النفس، وكيف نتصرف اذا اتعرضنا لتحرش"
"226","959","التحرش الجنسي عند الاطفال والكبار وفي العمل وكيفية مواجهته"
"227","961","محتاج جودة تصوير اكتر فقط و طرق جذب للمشاهدة"
"228","963","فيديوهات دعم وبناظ الثقه للمراه"
"229","964","حقوق المرأة وحماية الأطفال من التحرش وطرق دفاع المرأة عن نفسها وأولادها فى بعض المواقف....الخ"
"230","966","تتكلم عن قضايا متعلقة بالمرأة"
"231","968","التحرش وختان الإناث والعنف المنزلي"
"232","969","الحلول القانونية عند التعرض للتحرش"
"233","970","مفيد وسهل"
"234","975","كل ما المرأه مكنتش بتتكسف انها تتكلم عن أي نوع من التحرش أو العنف كل ما كان موقفها أقوى وتقدر تصد اي متحرش أو تتصدى لاي عنف منزلي وتقدر برده تدافع عن أي زميل ليها"
"235","976","كان فيديو بيتكلم عن لو البنت اتعرضت للمضايقات ( التحرش ) في الشغل تتصرف ازاي"
"236","978","اهميه شغلي وكياني في اسرتي ومشاكل وبلاوي التحرش واني ازاي اعلم بنتي انها تحكيلي اي حاجة وكل حاجة تخصها وانها ازاي تحافظ ع نفسها"
"237","980","اعمل ايه لو زميلي التحرش بيه ازاي أوفق بين الشغل والبيت وانتي اتصرف لو شفت حادثة تحرش"
"238","985","عن التحرش"
"239","988","الفرق بين الخلع والطلاق وامتا نمشي ف اي طريق / يعني ايه تحرش جنسي و نواجهه اذاي"
"240","989","رائع"
"241","990","رائعة"
"242","991","التحرش الجنسي والعنف ضد المراه وختان الاناث"
"243","993","انتي مش لوحدك وكيفية التوافق مع الشغل والبيت ومع فيرس كرونا"
"244","994","اكتر حاجه كانت اثر الكورنا ع المشاكل الاسريه وزياده العنف ضد المراه"
"245","998","شفت الست العذيمه اللي بعد وفاه جوزها حفظت علي أطفالها"
"246","1006","تعليميه للاطفال"
"247","1008","قضايا تخص المرأة المعيلة بعد الانفصال وقوانين الاسرة"
"248","1021","التعبير عن الرأي والاستقلالية والدعم النفسي و الامل والنمو الفكري والثقافي"
"249","1024","فيديو سيدة القطار ودعم الناس لها والدولة ايضا"
"250","1036","قضايا تحرش وعنف اسرى"
"251","1047","تجارب لسيدات نجحو في عمل مشروعات صغيرة"
"252","1052","الختام التحرش  هل لبس البنات السبب فى التحرش"
"253","1057","كانت عن دعم النساء المرشحات في مجلس الشيوخ"
"254","1058","ختان الاناث موضوع مهم جدا وازاى اقدر اتعامل مح حد بيعمل كدا"
"255","1060","بيتكلم عن قضايا المرأة ودعم المرأة والعنف ضد المرأة"
"256","1065","الآثار اللي نتجت من كرونا ع العمل . اتعامل ازاي لو شوفت تحرش في الشغل ..."
"257","1066","العنف ضد المرأة والاغتصاب"
"258","1067","قضايا مرأه ومشاكل زوجيه"
"259","1069","فكرة التحرش ، وان المرأة المتزوجة تستطيع التوفيق بين بيتها وعملها"
"260","1074","مواجهه تحرش العمل"
"261","1075","شاهدت فيديوهات تبرز الاذى الجنسي الذى يمكن ان تتعرض له المراءة فى العمل او غيره واساليب العنف التى تمارس تجاه الانثى من الذكور"
"262","1077","ممتاز"
"263","1080","العنف ضد المرأة وازاي تحمي نفسها من التحرش الجنسي ف العمل و غيره"
"264","1081","كيفيه التصدي للتحرش وطرق الحماية واستعادة الحقوق من المطلق"
"265","1082","التحرش"
"266","1083","ازاي يبقى ليا صوت في المجتمع"
"267","1085","تخص برفض الاذى النفسى والجسدى على المرأة - ختان الاناث - اهمية عمل المرأة وتفيق بين العمل والمنزل - الفرق بين الطلق والخلع - التخرش الجنسي واللفظى"
"268","1091","دعم المرأة في المجتمع"
"269","1095","عن ختان الاناث"
"270","1120","تدعم المرأه وتشجعها ع مكالب حقوقها وعدم الخوف واللجوء الي المؤسسات التي تدعم المرأه"
"271","1135","عن دعم المراة للطلاق والمواجهه"
"272","1139","معظمها عن التحرش وازاي اتعامل مع الموضوع ده او ازاي اتصرف لو لقيت متحرش قصادي"
"273","1140","شغل المرأة والبيت /التحرش فى العمل"
"274","1144","التحرش الجنسى"
"275","1145","معلومات عن حقوق المراة"
"276","1149","أالاثار السلبيه لغيري كورونا"
"277","1150","معظمها جيد جدا"
"278","1157","العنف ضد المراة"
"279","1158","التحرش وختان الاناث"
"280","1159","التحرش وكيفه التعامل في هذه الموقف"
"281","1166","التحرش وضرب المراه"
"282","1211","التحرش الجنسى وختان الاناث"
"283","1216","عمل المراه والمساواه"
"284","1218","الفرق بين الخلع والطلاق"
"285","1225","تتعلق بقضايا المرأه"
"286","1229","عن المراة والعنف"
"287","1231","التحرش في العمل"
"288","1236","التحرش في العمل للجدد"
"289","1237","أساليب الحماية من العنف بكافة اشكالة"
"290","1239","موضوع ختان الاناث واضراره النفسيه والجسديه على الفتيات /دور الرجال وموقفهم من العنف ضد المراه / التحرش فى العمل للموظفين الجدد"
"291","1242","ازاي اواجة التحرش ف الشغل"
"292","1243","محتوى مفيد جدا وعادل"
"293","1245","التحرش مثلا"
"294","1251","التعامل مع التحرش فى العمل"
"295","1255","ختان الإناث والتحرش وآثار كرونا علي شغل المرأة والفرق بين الخلع والطلاق"
"296","1257","عن قضايا التحرش، وعمل المرأة، والعنف ضد المرأة"
"297","1258","قضية الفرمونت"
"298","1260","بعض قضايا المراه وعن التحرش والاغتصاب اللى بتتعرض لهم المراه والضرب والاساءه لها"
"299","1264","جيد"
"300","1266","حقوق المرأة ف المجتمع"
"301","1267","دعم المراه في المجتمع"
"302","1274","موجود مثال له في المجتمع ، ولكن قليل"
"303","1277","الاهتمام بالمرأة وتمكينها من حقوقها وتفعيل دورها ف المجتمع"
"304","1284","اهمية دور المراة في المجتمع .. وضروري تعرف حقوقها"
"305","1291","عن التحرش  والجواز التانيه"
"306","1302","كانت بتتكلم عن حقوق الزوجة وقوانين الأسرة بس مش فاكرة المواضيع بالتفصيل"
"307","1304","محاربه  التحرش.  الختان"
"308","1309","قضايا المرأة"
"309","1313","يناقش قضايا مهمه فى المجتمع يجب معالجتها"
"310","1314","تناقش قضايا المرءة"
"311","1318","العنف ضد المراة. وحقوق المراءه"
"312","1321","عن التحرش الجنسي بكل اشكاله"
"313","1322","دور المرأة في كل حاجه ف المجتمع وقد اي هي ليها لازمه"
"314","1326","وقف الختان وقضايا الاغتصاب"
"315","1327","يساعد البرنامج على إدارة العلاقات الإنسانية والعملية بين المرأة والرجل، وتقديم مشورات اجتماعية وقانونية حول الكثير من المشاكل التي يوجهها الرجل والمرأة والمجتمع من خلال حكايات تنقلها المحامية نهاد خلال سنوات عملها وخبرتهاوترد بالرأي القانوني لرسائل وتساؤلات قانونية لمشكلات ومواقف تواجه الأسر المصريةويعرض البرنامج نماذج  إيجابية للمرأة وشابات واجهن التحديات وأصبح لهن دورا  في العمل العام والسياسي أيضا"
"316","1333","عن العنف ضد المرأه"
"317","1335","حقوق المرأه وحرية المظهر والشكل"
"318","1336","التحرش الجنسي بالأطفال والتحرش الجنسي بالمرأة والتحرش في العمل بالموظفات الجدد والفرق بين الخلع والطلاق وكيفيه مواجهه التحرش ولبس البنات ممكن يكون سبب للتحرش  ولا لأ وكيفيه منع ختان الإناث لما اثره السلبي على الفتيات"
"319","1337","عن عمل المرأه و ازاي توازن الوقت بين بيتها وعملها"
"320","1339","كان يتحدث عن الخلع"
"321","1340","عن قضايا المراه"
"322","1343","محتوي مُلم بقضايا المرأة"
"323","1353","نوعية المرأة الدفاع عن نفسها عند التحرش أو الأذى النفسي أو البدني"
"324","1354","بتكلم عن المرأة و تعاملتها اليوميه او الحياتيه و الامور اللى. بتواجهها"
"325","1364","العنف ضد المرأة والتحرش فى بيئة العمل وصوره وازاى نتعامل معاه"
"326","1365","فيديو عن الطلاق والخلع والفرق بينهم"
"327","1366","دعم وتمكين المرأة"
"328","1376","التحرش الختان مساعدة الرجال لقضايا المرأة"
"329","1377","فيديو التحرش وأخر الختان وازي نتصرف تجاه التحرش في العمل"
