"","index","org_dvsa_end","org_dvsa_1_end","org_dvsa_2_end","org_dvsa_3_end","org_dvsa_4_end","org_dvsa_5_end"
"39","107","First:,Second:","برامج","صفحات علي الانترنت",NA,NA,NA
"40","108","First:,Second:","حمله انت مش لوحدك","جمعيه حقوق المرأة",NA,NA,NA
"41","109","First:","الجمعيات الخاصه بحقوق الانسان عموما والمرأه خاصه",NA,NA,NA,NA
"42","110","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"43","113","First:,Second:,Third:,Fourth:","المركز المصري لحقوق المرأة","المجلس القومي للمرأة","مؤسسة المرأة الجديدة","جمعية نهوض وتنمية المرأة",NA
"44","115","First:,Second:,Third:","المركز القومي لحقوق المرأة المعنفة","المجلس القومي لحقوق المرأة","جمعية حواء",NA,NA
"45","116","First:","دعم المرأة",NA,NA,NA,NA
"46","120","First:,Second:","منظمات حقوق المرأة","المجلس القومي للمرأة",NA,NA,NA
"47","125","First:","الخط الساخن الشكوى العنف ضد المرأة",NA,NA,NA,NA
"48","126","First:,Second:,Third:","المركز القومى لحقوق المرأه","الجمعيات الحقوقية","صفحات على الفيس بوك",NA,NA
"49","127","First:","المجلس الأعلى للمرأة",NA,NA,NA,NA
"50","128","First:,Second:,Third:","مجلس القومي لحقوق المرأه","صفحات الإنترنت","ندوات",NA,NA
"51","130","First:","جروب حقوق المرأة المصرية على الفيسبوك",NA,NA,NA,NA
"52","132","First:,Second:","المركز المصري لحقوق المرأه","المجلس القومي للمرأه",NA,NA,NA
"53","133","First:,Second:,I do not know any.","المجلس المصرى لقضايا المرأة","المجلس القومى للعنف ضد المرأة",NA,NA,NA
"54","134","First:,Second:","انتى مش لوحدك","برنامج رضوى الشربينى",NA,NA,NA
"55","143","First:,Second:,Third:,Fourth:,Fifth:","القومي للمرأه","مجلس الوزاره","دعم المرأه المصريه","لا","لا"
"56","145","First:","حكايات نهاد",NA,NA,NA,NA
"57","147","First:,Second:,Third:","المركز المصري للمرأة للتوعية والدعم","المركز القومي لحقوق المرأة للتوعيةوالدعم","وزارة الداخلية لمواجهة الجرائم",NA,NA
"58","149","First:","قناه حكايات نهاد",NA,NA,NA,NA
"59","150","First:,Second:","حكايات نهاد","التليفزيون",NA,NA,NA
"60","152","First:,Second:","اليوتيوب","فيس",NA,NA,NA
"61","153","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"62","154","First:,Second:","جمعية المراة نصف المجتمع","جروب ستات قوية",NA,NA,NA
"63","155","First:","الفيسبوك",NA,NA,NA,NA
"64","157","First:,Second:,Third:,Fourth:,Fifth:","التليفزيون القنوات المتخصصة","الفيسبوك","اليوتيوب","الراديو","واتساب"
"65","162","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"66","163","First:,Second:","هبه قطب","حكاية نهاد",NA,NA,NA
"67","165","First:","المركز القومي للامومة والطفولة",NA,NA,NA,NA
"68","175","First:,Second:,Third:","المركز القومى للمراة","المركز المصرى للمراة","الشرطة",NA,NA
"69","176","First:,Second:,Third:","الخروج من المنزل بامان","إبلاغ السلطات","البحث عن مكان آمن للعيش فيه",NA,NA
"70","177","First:","جمعيات حقوق المرأه",NA,NA,NA,NA
"71","179","First:,Second:","مركز قضايا المرأة","المجلس القومي للمرأة",NA,NA,NA
"72","183","First:,Second:","المجلس القومي لحقوق المراءة","المجلس القومي للأمومة والطفولة",NA,NA,NA
"73","184","First:","كتبتهم فى الخانات السابقة",NA,NA,NA,NA
"74","185","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"75","190","First:","ارقام خط ساخن",NA,NA,NA,NA
"76","192","First:","صفحه دعم المراة",NA,NA,NA,NA
"77","193","First:,Second:,Third:,Fourth:,Fifth:","انتي مش لوحدك","انتي مش لوحدك","دعم المرأة","انتي مش لوحدك","انتي مش لوحدك"
"78","195","First:,Second:,Third:","المجلس القومى للمراة","دكتورة نهاد","شرطة النساء المصرية",NA,NA
"79","198","First:","Women care",NA,NA,NA,NA
"80","199","First:","االمركز القومى لحقوق المرأة",NA,NA,NA,NA
"81","201","First:","حكايات نهاد",NA,NA,NA,NA
"82","203","First:,Second:,Third:,Fourth:,Fifth:","محكمة الاسرة","جمعيات اهلية","انتى مش لوحدك","قانون الاسرة","هى وبس"
"83","204","First:,Second:,Third:","المركز المصري لحقوق المرأة","جمعية المرأة والتنمية","المجلس القومي للمرأة",NA,NA
"84","206","First:,Second:,Third:","ويكيبيديا","برامج تلفزيونيه","وسائل التواصل الاجتماعي",NA,NA
"85","208","First:,Second:,Third:,Fourth:,Fifth:","فيمنست مسلمه","هن","هي وبس","لا اتذكر","لا اتذكر"
"86","219","First:,Second:,Third:","مجلس الامومه والطفوله","مجلس المراه","الشرطه المصريه قسم مكافحة الأضرار بالمراه والطفل",NA,NA
"87","220","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"88","223","First:","مجلس دعم المرأة",NA,NA,NA,NA
"89","224","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"90","227","First:,Second:","المركز المصري لحقوق المرأة","جهات ع السوشيال ميديا زي assault police",NA,NA,NA
"91","228","First:,Second:","المركز بتاعكو","المركز القومي",NA,NA,NA
"92","230","First:,Second:,Third:","المجلس القومي للمراه","مؤسسة دعم المرأة","صندوق دعم المرأة المصرية",NA,NA
"93","241","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للنراه","المجلس القومى للطفوله والامومه","محكمه الاسره","معا ضد العنف","حقوق الإنسان"
"94","243","First:","جهات لدعم المرأة من التحرش مراكز",NA,NA,NA,NA
"95","244","First:,Second:,Third:,Fourth:,Fifth:","مركز النديم","وعي","جمعيات حقوق المرأة المصرية","مجلس الطفولة والامومة المصرية","مركز قضايا المرإة المصرية"
"96","247","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"97","248","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"98","255","First:,Second:,Third:","َمكتب حقوق الانسان","برامج تليفزيونيه","دكتورمتخصص",NA,NA
"99","256","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"100","260","First:,Second:","المجلس القومى للمرأة","16000",NA,NA,NA
"101","265","First:,Second:","المركز القومي للمراءة","حكايات نهاد",NA,NA,NA
"102","272","First:,Second:","حقوق المراه","منظمه العفو الدوليه",NA,NA,NA
"103","274","First:,Second:","قسم الشرطة","المجلس القومى للمراة",NA,NA,NA
"104","277","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"105","279","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأه","منظمات حقوق الانسان","الجمعيات النسائيه","الشرطه. النائب العام","الاسره"
"106","280","First:","المجلس القومى للمراه",NA,NA,NA,NA
"107","284","First:","مركز المساعدة القانونية للمرأة المصرية",NA,NA,NA,NA
"108","290","First:","برنامج نهاد",NA,NA,NA,NA
"109","294","First:,Second:","صفحة حقوق المرأة","الصفحات الخاصه بمحامين",NA,NA,NA
"110","296","First:","المجلس القومى للمراه",NA,NA,NA,NA
"111","299","First:","المجلس القومى للمراه",NA,NA,NA,NA
"112","300","First:,Second:,Third:","الجمعيات الاهليه","المساجد","الكتايس",NA,NA
"113","303","First:,Second:","جمعية حماية المرأة","حقوق الانسان",NA,NA,NA
"114","306","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمراة","القانون","منظمة حقوق الانسان","الاهل والعرف بالمجتمع","الجمعيات الانسانية"
"115","307","First:,Second:,Third:,Fourth:,Fifth:","جروبات بنات ع الفيس","المصريات في السعوديه","بنات حواء","سوسايتي كوين","الانستجرام"
"116","308","First:,Second:","مجلس حقوق المرأة","الشرطه",NA,NA,NA
"117","312","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"118","313","First:","المجلس القومي",NA,NA,NA,NA
"119","315","First:","الاسرة والطفل",NA,NA,NA,NA
"120","321","First:","مكتب دعم المرأة",NA,NA,NA,NA
"121","323","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"122","326","First:","المجلس القومي للمرأة الخط الساخن 15115",NA,NA,NA,NA
"123","328","First:,Second:","محكمه الاسره","موقع قضايا المراه",NA,NA,NA
"124","329","First:,Second:,Third:","المجلس القومى للمرأة","دار حواء","مركز النديم",NA,NA
"125","331","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"126","333","First:,Second:,Third:","المجلس القومي للمرأه","حملة اريد حلا","انتي مش لوحدك",NA,NA
"127","334","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"128","336","First:,Second:","الاهل والمقربون","بعض برامج التلفزيون",NA,NA,NA
"129","337","First:","الشرطة",NA,NA,NA,NA
"130","338","First:,Second:","المجلس القومى للمراءه","الجمعيات المهتمه بالمراءه",NA,NA,NA
"131","340","First:,Second:","المجلس القومى للمرأة","المجلس القومى للأمومة والطفولة",NA,NA,NA
"132","343","First:","حكايات نهاد ابو القمصان",NA,NA,NA,NA
"133","344","First:,Second:,Third:","وحدة مناهضة التحرش و العنف ضد المرأة","المجلس القومي للمرأة","موقع شيزلونج دكاترة نفسيين",NA,NA
"134","345","First:,Second:","منظمه العفو الدوليه","مركز صحه المرأه والتعليم",NA,NA,NA
"135","346","First:,Second:","جمعيه حقوق المرأه","جمعيه الامومه و الطفوله",NA,NA,NA
"136","349","First:,Second:,Third:","محكمة الأسرة","المجلس القومي للمرأة","برنامج مع نهاد",NA,NA
"137","351","First:,Second:,Third:","منظمات حقوق المراة","وجمعيات ضد العنف ضد المراة والطفل","المجلس القومي للمراة",NA,NA
"138","352","First:,Second:,Third:","حقوق المراه","قوه ضد التحرش ر الاعتداء الجنسي","امسك متحرش",NA,NA
"139","353","First:,Second:","المجلس المصري لحقوق الانسان","المجلس القومي للمرأة",NA,NA,NA
"140","354","First:","دعم المرأه",NA,NA,NA,NA
"141","356","First:","حمايه المراءه",NA,NA,NA,NA
"142","360","First:,Second:","المجلس القومي للمرأة","انتي مش لواحدك",NA,NA,NA
"143","362","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"144","364","First:","مركز حقوق الإنسان",NA,NA,NA,NA
"145","366","First:","المجلس القومي المرأة",NA,NA,NA,NA
"146","368","First:,Second:,Third:","حقوق المرأة","حقوق الإنسان","المركز القومي لدعم المرأة",NA,NA
"147","371","First:,Second:","المجلس القومي للمرأة","دكتورة نهاد",NA,NA,NA
"148","372","First:","المجلس القومي للمراه",NA,NA,NA,NA
"149","373","First:","قسم الشرطه",NA,NA,NA,NA
"150","375","First:,Second:","المركز القومي لحقوق المرأة","صفحات فيسبوك وانستجرام",NA,NA,NA
"151","378","First:,I do not know any.","التواصل مع برامج او مع جهات مختصه",NA,NA,NA,NA
"152","382","First:,Second:,Third:,Fourth:,Fifth:","المركز المصرى لحقوق المراه","المركز القومى للمراه المحليه","مؤسسه المراه الجديده","جمعيه نهوض المراه","رابطه المراه العربيه"
"153","384","First:,Second:,Third:","المجلس القومي للمراة","مركز دعم المراة","مراكز الاسرة",NA,NA
"154","386","First:","المجلس القومي لحقوق المراة",NA,NA,NA,NA
"155","387","First:,Second:","الجهات المختصه","المجلس القومي لحقوق المرأة",NA,NA,NA
"156","388","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"157","393","First:","حقوق المرأة",NA,NA,NA,NA
"158","395","First:,Second:,Third:,Fourth:","المنظمه خاصتكم","منظمات صحيه تابعه للتثقيف الصحى","منظمات حقوق المرأه","برامج تلفزيونيه تدعم المرأه",NA
"159","401","First:","اتحاد نساء",NA,NA,NA,NA
"160","406","First:,Second:,Third:","جمعية حقوق المرأة","انتى مش لوحدك","رضوى الشربينى",NA,NA
"161","410","First:,Second:","حكايات نهاد","هي وبس",NA,NA,NA
"162","411","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"163","414","First:,Second:","اخصائين فى مشاكل الزوجية","جروبات دعم المرأة",NA,NA,NA
"164","416","First:,Second:,Third:,Fourth:,Fifth:","حكايات نهاد","اطفال مفقودة","الصفحات المختلفة","المجلس القومى للمرأة","برنامج الحكاية عمرو اديب"
"165","418","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"166","419","First:","المركز القومى للمراة",NA,NA,NA,NA
"167","420","First:,Second:","المجلس القومى للمراة","بعض الجمعيات النسائية",NA,NA,NA
"168","422","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي للأمومة والطفولة","محكمة الأسرة",NA,NA
"169","425","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"170","426","First:,Second:","هشام مبارك","مجلس المرأة",NA,NA,NA
"171","432","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"172","433","First:,Second:,Third:","المركز القومي للمرأه","مشيخة الازهر","مراكز رعاية الامومة و الطفولة",NA,NA
"173","435","First:,Second:,Third:,Fourth:","إسال محاميك","نهاد قمصان","وزاره التضامن","حكايات نهاد",NA
"174","436","First:","المركز المصري لحقوق المراه",NA,NA,NA,NA
"175","438","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"176","442","First:,Second:","صفحة دعم المراة","برنامج حكايات نهاد",NA,NA,NA
"177","446","First:,Second:,Third:,I do not know any.","المجلس القومي للمرأة","مؤسسة دعم المرأة","نهاد ابو القمصان",NA,NA
"178","447","First:,Second:,Third:","مركز قضايا المرأة المصرية","المجلس القومى للمرأة المعنفة","الجمعية المصرية للتوعية والصحة النفسية "" وعــي """,NA,NA
"179","449","First:","جمعية حقوق المرأة المصرية",NA,NA,NA,NA
"180","452","First:,Second:","المجلس القومي للمرأه","رضوى الشربينى",NA,NA,NA
"181","453","First:","انتو <U+0001F603>",NA,NA,NA,NA
"182","454","First:,Second:,Third:,Fourth:,Fifth:","منظمات حقوق المرأة","جمعيات حقوق الإنسان","جمعيات خيرية","اخصائين للدعم","فيديوهات علي الانترنت"
"183","456","First:","المجلس القومي للمراة",NA,NA,NA,NA
"184","457","First:,Second:,Third:","صفحة حكايات نهاد","برنامج حكايات نهاد","صفحة انتى مش لوحدك",NA,NA
"185","458","First:,Second:,Third:,I do not know any.","المجلس القومى للمراة","المجلس المصرىلحقوق  للمراة","الخط الساخن 19756",NA,NA
"186","460","First:,Second:,Third:,Fourth:","منظمه الصحه العالميه","جمعيات المرأه وحمايه حقوقها","برامج نهاد","وهي وبس",NA
"187","462","First:","ASSAULT POLICE EGYPT على انستجرام",NA,NA,NA,NA
"188","465","First:","www.mshlwa7dek.org",NA,NA,NA,NA
"189","467","First:,Second:","قاوم","منظمة حقوق المرأة",NA,NA,NA
"190","469","First:,Second:,Third:","الاهل","المركز القومى لحقوق المراه","المركز المصرى للمراه",NA,NA
"191","471","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"192","472","First:,Second:","المركز المصري لحقوق المرأه","المجلس القومي للمرأه",NA,NA,NA
"193","473","First:,Second:","برامج تثقيفية","جروبات وصفحات عامة",NA,NA,NA
"194","474","First:,Second:,Third:","المجلس القومي للامومة","جمعيات دعم المراة","مركز المراة المعنفة",NA,NA
"195","475","First:","منظمه حقوق المرأه",NA,NA,NA,NA
"196","477","First:,Second:,I do not know any.","الجمعيات النسيائية","جمعية تنمية المجعمات",NA,NA,NA
"197","478","First:,Second:,Third:","اقسام الشرطة","محاكم الأسرة","مركز دعم المرأة",NA,NA
"198","479","First:","حقوق الطفل والمراه",NA,NA,NA,NA
"199","480","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"200","490","First:","حقوق المرأة",NA,NA,NA,NA
"201","493","First:,Second:","المركز القومي لحقوق المراه","بعض الجمعيات الاهليه اللي بتدعم المراه",NA,NA,NA
"202","495","First:,Second:,Third:","المجلس القومى للمرأة","التضامن الاجتماعى","حقوق الانسان",NA,NA
"203","504","First:,Second:,Third:","قسم الشرطه","منطمات حقوق المراه","الجهات الرقابيه",NA,NA
"204","506","First:","حمايه حقوق المرأه",NA,NA,NA,NA
"205","514","First:,Second:","المجلس القومي للمرأة","مشيخة الأزهر",NA,NA,NA
"206","515","First:,Second:,Third:,Fourth:,Fifth:","الاجتماعات","مجلس امرأة","الاعلام","الاذاعة","الصحافه"
"207","518","First:,Second:","المجلس القومى للمرأة","جمعية دعم المرأة والطفل بسوهاج",NA,NA,NA
"208","522","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"209","526","First:","المركز القومي للمراه",NA,NA,NA,NA
"210","528","First:","المركز القومي للمرأة المعنفة",NA,NA,NA,NA
"211","529","First:","العنف الاسري",NA,NA,NA,NA
"212","530","First:","حكايات نهاد",NA,NA,NA,NA
"213","531","First:,Second:,Third:","المجلس القومي للمرأة","الخطوط المخصصة للعنف والاعتداءات","المؤسسات المجتمع المدني النسوية منها احكي",NA,NA
"214","532","First:,Second:","المجلس القومي لحقوق المرأة","المجلس القومي لحقوق الإنسان",NA,NA,NA
"215","534","First:","صفحةةالدكتور فتحى الشرقاوى",NA,NA,NA,NA
"216","536","First:,Second:","حكايات نهاد","المركز القومي للمراه",NA,NA,NA
"217","537","First:,Second:,Third:","المجلس القومي لحقوق المرأة","حملة انتى مش لوحدك","برنامج حكايات نهاد",NA,NA
"218","538","First:,Second:","دكتوره نهاد","برنامج حكايات نهاد",NA,NA,NA
"219","539","First:,Second:,Third:,Fourth:,Fifth:","محكمة الاسره","حقوق الإنسان","حقوق المرأة","التضامن","المجلس القومى لمرأة"
"220","541","First:,Second:,Third:","جهاز حمايه المراء","المجلس القومي الامومه","وحده دعم المراء",NA,NA
"221","543","First:,Second:","برنامج حكايات نهاد","محاميك",NA,NA,NA
"222","547","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"223","548","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","الاعلام","جمعيات نسائية","الشرطة","البرلمان"
"224","549","First:,Second:,Third:,Fourth:,Fifth:","صفحه حكايات نهاد","صفحات حقوقيه","صفحه برنامج هي وبس","صفحات المشاكل الزوجيه","بعض الفيديوهات على منصة واتش"
"225","556","First:","حكايات نهاد ابو القمصان",NA,NA,NA,NA
"226","568","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","النيابة","النائب العام","الصحف","برنامج هى وبس"
"227","575","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"228","576","First:,Second:,Third:","صراحة دكتورة نهاد","بكتب عاايويتوب المشكلة اللي بتواجهني","اعمل سيرش جوا طروبات المشاكل واهم جروب نسيت اذكر اسمه هو solve your pro بتاع استاذ احمد سكير",NA,NA
"229","583","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"230","591","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"231","593","First:","المركز القومى لحقوق المراه",NA,NA,NA,NA
"232","595","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"233","596","First:,Second:,Third:,Fourth:","خط نجدة المراة","منظمات دعم المراة","She can","WN",NA
"234","603","First:,Second:,Third:,Fourth:,Fifth:","المجلس الاعلي لحقوق المراه","مؤسسه سيف","كاريتاس","حمايه الطفل","لا اعرف"
"235","605","First:,Second:","المجلس القومى للمراة","اصوات النساء",NA,NA,NA
"236","608","First:,Second:,Third:","مجلس القومى للمراه","الخط الساخن لحمايه المراه","النجده",NA,NA
"237","610","First:,Second:","المجلس القومي المرأة","جمعيات المجتمع المدني",NA,NA,NA
"238","612","First:,Second:,Third:","المجلس القومى للمرأة","برنامج حكايتى مع نهاد","الازهر الشريف",NA,NA
"239","613","First:,Second:","منظمة حقوق المرأة","برنامج حكايات نهاد",NA,NA,NA
"240","614","First:,Second:","مجلس المصري لحقوق المرأه","حقوق الانسان",NA,NA,NA
"241","615","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"242","616","First:,Second:,Third:","انتى مش لوحدك","المجلس القومى للمرأة","المجلس القومى الامومه والطفوله",NA,NA
"243","617","First:","لست وحدك",NA,NA,NA,NA
"244","621","First:,Second:,I do not know any.","ارشاد اسري","دعم نفسي",NA,NA,NA
"245","622","First:","مركز صحه المرأه",NA,NA,NA,NA
"246","625","First:,Second:,Third:","السلطات المختصة","جمعية لدعم المرأة","المجلس القومى للمرأة",NA,NA
"247","626","First:","الشرطه",NA,NA,NA,NA
"248","628","First:,Second:,Third:,Fourth:,Fifth:","صوتي","متسكتيش","لو سكتت هتتبهدل كل مرة","اب اعترافها ملهاش حد يسمعها غيرة","يسوع هو نبع القوة"
"249","630","First:,Second:,Third:","المركز القومي للمرأة","صفحات الفيسبوك ( ت متحررة ، دارين حليمة ، un women arabic ، Nasawiya","صفحة assaultpolice على انستجرام",NA,NA
"250","631","First:,Second:","انتي مش لوحدك","المركز القومي للأمومة والطفولة",NA,NA,NA
"251","633","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"252","634","First:,Second:","المجلس القومي للمراه","المجلس القومي للامومه والطفوله",NA,NA,NA
"253","639","First:","حقوق المرءه",NA,NA,NA,NA
"254","640","First:,Second:,Third:","المجلس القومي لحقوق المرأة","المجلس القومي للامومه والطفوله","هيئه حقوق المرأة",NA,NA
"255","646","First:,Second:,Third:,Fourth:","حمايه الاسرة","محكمه الاسرة","البرامج التليفزيونيه","البرامج الدينيه والخطب",NA
"256","647","First:,Second:","هعمل سيرش على جوجل","أو الفيس بوك",NA,NA,NA
"257","649","First:,Second:,Third:,Fourth:","الشرطة","المجلس القومي لحماية المراة","الجمعيات الأهلية والمجتمعية","البرامج ووسائل السوشيال ميديا",NA
"258","650","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"259","651","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"260","653","First:,Second:","مجلس حقوق المرأة","القانون",NA,NA,NA
"261","656","First:","حقوق المرأة والطفل",NA,NA,NA,NA
"262","659","Second:,Third:,Fourth:",NA,"اليونيسيف","حقوق الإنسان","المجلس القومي للمرأة",NA
"263","662","First:,Second:,Third:","الإنترنت","برامج المرأة","ندوات التوعيه",NA,NA
"264","663","First:","حكايات نهاد",NA,NA,NA,NA
"265","664","First:","المجلس القومى لحقوق المراه",NA,NA,NA,NA
"266","666","First:,Second:","العنف ضد المراه","الجهات النسائيه",NA,NA,NA
"267","667","First:","منظمة حقوق المراءة",NA,NA,NA,NA
"268","672","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"269","677","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"270","679","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"271","680","First:,Second:,Third:","جمعية حقوق الإنسان","جمعية حقوق المرأة","الجهات المختصة",NA,NA
"272","690","First:,Second:","المجلس القومي للمرأة","محكمه الأسره",NA,NA,NA
"273","700","First:","مش عارفه الأسماء بالضبط",NA,NA,NA,NA
"274","702","First:,Second:","المجلس القومى الامومه والطفوله","المجلس القومى للمراه",NA,NA,NA
"275","709","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"276","714","First:,Second:","Care","Un woman",NA,NA,NA
"277","715","First:","المركز القومى للمرأة",NA,NA,NA,NA
"278","716","First:,I do not know any.","جمعيات النساء",NA,NA,NA,NA
"279","721","First:,Second:,Third:","رابطة المرأة العربية","المجلس القومى للمرأة","المركز المصرى لحقوق المرأة",NA,NA
"280","725","First:,Second:,Third:","المجلس القومي للمرأة","وزارة التضامن","وزارة الداخلية للابلاغ",NA,NA
"281","730","First:,Second:","المجلس القومى للمراة","الشؤن الاجتماعية",NA,NA,NA
"282","732","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"283","733","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"284","734","First:,Second:","صفحه حكايات نهاد","صفحه ظابط اسمه مينا",NA,NA,NA
"285","737","First:,Second:,Third:,Fourth:,I do not know any.","لا اعرف","لا اعرف","لااعرف","لا اعرف",NA
"286","740","Second:",NA,"المجلس الاعلى للمراه",NA,NA,NA
"287","742","First:,Second:,Third:","جمعيه المرأه","الحكومه","الجمعيات المسانده للمراه",NA,NA
"288","745","First:,Second:","بعض المحاميين المتطوعين","المذيعة رضوى الشربيني",NA,NA,NA
"289","748","First:,Second:","اجمعيات تنمية المرأة","صفحات الفيس وبها كثير من القانونين",NA,NA,NA
