"","V1","V2"
"38","149","شوفت حلقه الزوجه ال زوجها ضربها وفتحت باب الشقه وهربت منه والجيران  حاولوا يرجعوها"
"39","150","ختان الإناث والتحرش وأثر كورونا والعنف بالمرأة"
"40","151","رائع جداا ومفيد"
"41","152","افضل سن للمراه"
"42","154","عن العنف ضد المراة والاغتصاب"
"43","157","قضايا واقعية حقيقية وابعادها وتحليلها والحصول على حل لها والجميل بساطة الحوار المدعم بالسياق القانونى المبسط والواضح الذى يفيد واخرج من خلال الحلقات بسند قانونى اعلمة وممكن أفيد نفسى او غيرى به"
"44","161","مشكلة التحرش"
"45","163","حلقات عن الطلاق والخلافات الزوجية بعد الطلاق ع الأبناء"
"46","171","قضية التحرش"
"47","172","زواج القصر والعنف الأسري"
"48","175","الختان .الجهاز والمغالاة.التحرش"
"49","176","حقوق المرأة"
"50","178","حلقه الختان ومشكله المتزوجين ف بيت عيله والاستقلاليه الماديه للمرا والنفقه"
"51","183","ازاي اعتني بنفسي بعد سن الأربعين وان دية بداية الحياة وقواعد دخول المطبخ"
"52","184","اسلوب سرد الاستاذة نهاد حلو وبيعجبني"
"53","191","محتوى هادف ومفيد"
"54","195","حلقة عن الطلاق وحلقات عن ازاي أدير منزلي وانا موظفة"
"55","201","العنف ضد المراءه والتحرش الجنسى"
"56","203","قضايا المراة  والمحاكم"
"57","219","قصص لنماذج لسيدات ناجحه في تحقيق ذاتها"
"58","224","الإنترنت وتأثيره في حياه الشباب"
"59","225","دفاع عن حقوق المرأه"
"60","227","جيد"
"61","230","مشاكل تواجه المرأة والرأي القانوني والإنساني يعرض بشكل رائع وجذاب"
"62","241","مشاكل السيدات واتفرجت وهى ضيفه من وقت قصير ولكن مش متذكره البرنامج ممكن عمرو اديب الحكايه وبتتكلم عن اغتصاب فتاه فندق فيرمونت تقريبا وانها بتطلب بلاغ اى فتاه عن اى موقف بتتعرض له وانها حيتم حمايتها واتخاذ الاجراءات القانونيه ضد المذنب"
"63","243","مسلسل لدعم المرأة"
"64","246","كلمه انا لما باتعصب مش باشوف قدامي دي اكتر حلقه اتاثرت بيهاكمان حلقه يا ريتني عرفتك من زمان بتاع سن الاربعينازاي جوز حضرتك وقف معاكيضروره شغل المرأه علشان تبقي مستقله اقتصاديا وتملك قرارها التحرش وبالبنات الصغيرينوحجات كتيره جدا"
"65","248","بتتكلم عن حقوق المرأة ازاي تكون منطقية وقوية"
"66","251","كانت بتحكي قصة تقريبا عن بنت"
"67","255","كيف أكون سعيده بالرغم من ان البيئة المحيطه مزعجه"
"68","256","الاعتداء بالعنف على المرأة"
"69","260","ختان الاناث، الطلاق و الخلع ،مشاريع الشباب"
"70","265","الطلاق والخلع ومشاكل المراة"
"71","269","برنامج توعوي بقضايا المرأه"
"72","271","عن قضايا المراه وقضايا اغتصاب"
"73","279","رفض العنف ضد المرأه تشجيع البنات اللي سبق التحرش بهن بالايلاغ"
"74","280","الحضانه و الرؤيا"
"75","283","مشاكل المطلقات ، التحرش والاعتداءات"
"76","284","العنف مع المرأه فى الحظر"
"77","289","تقريبا كان عن حضانة الاطفال"
"78","290","التحرش"
"79","296","محتوى مفيد عرفت حقوق قانونيه للزوجه يارتنى عرفتها قبل الطلاق"
"80","306","حكاية عم سيد وبنته.. وختان ااناث. وغير ذلك"
"81","311","محتوي غالبا عن قضايا المرأه والمجتمع وكيف تحصل المرأه علي حقوقها"
"82","313","عن الزوجة الثانية"
"83","323","العنف ضد المرأة"
"84","326","لماذا المصريون بيكتبوا قائمةعند الزواج والأجانب لا.. واحكام الرؤية ونسب الطفل لأمهفس حالة عدم تسجيله باسم ابوه"
"85","331","درو النساء في المجتمع الإسلامي ايام الرسول"
"86","333","التحرش و الختان والعنف وضرب الزوجات"
"87","334","العنف الأسري والتحرش الجنسي"
"88","336","عجبتنى جدا وخصوصا العنف الجنسي للأطفال وطرق التعلم"
"89","343","كانت عن الانترنت والبنات"
"90","345","عن الختان والتحرش الجنسى والزواج والانترنت"
"91","346","حقوق المرأه وكيفيه مواجهة التحرش الجنسي والاغتصاب ودور الرجل في الوقوف ضد العنف ضد المراه"
"92","348","الصلاق و التحرش الناشز"
"93","349","حقوق المرأة ورفض الضرب والإهانة"
"94","353","الخلع - والطلاق للضرر - الختان - التحرش"
"95","363","محتوى هادف والاستاذ بتكلمنا لكننا قاعدين مع بعض مش على الشاشة"
"96","368","كلام عن حقوق المرأة"
"97","369","حلقات تكلمت عن"
"98","371","الطلاق"
"99","375","كان فيه من قريب حلقة عن موضوع مهم جدا اللي هو الختان"
"100","378","كانت عن قضايا اختطاف واغتصاب واشياء من هذا القبيل"
"101","380","نماذج تاريخيه لسيدات رائدات - استشارات قانونية"
"102","384","المراة وتمكين المراة والمهارات الشخصية والتعامل مع الرجال والمتحرشين والسيدات الناجحة"
"103","386","عن التحرش الجنسى. وتاثير كورنا عن عمل المراة"
"104","387","الثقه بالنفس والتخسيس وانماط الشخصيه وكل الحلقات"
"105","397","قضية ختان الاناث"
"106","401","نصايح للمرأه ومواقف نهاد فالحياه"
"107","406","قضايا المرأة"
"108","407","مفيد وهادف"
"109","417","الختان والعنف الاسري"
"110","418","المحتوي عن مشاكل الاسره والعنف ضد الأبناء"
"111","424","رؤيه الأطفال بعد الانفصال"
"112","435","ممتازه خفيفة على القلب بيوعي المراه بشكل خاص مفيد لكل الناس"
"113","436","الاغتصاب . العنف ضد المرأة.حكايه صفيه . شرعيه كتب الكتاب"
"114","438","الجانب القانوني في مشاكل المرأة"
"115","447","اتذكر ان اسم الحللقه  ككان اسممها الزواجه  االتافهه وووحدده  تانى كان  اسممها الماذون وببنتى"
"116","457","محتوى هادف جدا لدعم وتشجيع المراه والاوضاع بعد كرونا"
"117","458","حقوق المراة"
"118","460","التحرش داخل العمل وكيف يمكن علاجه ومازلت غير مقتنع   وكذلك أثر فيرس كرونا والبيت والعمل والتوفيق بينهمببعض الحلول"
"119","462","عن شغل المرأة وهي معاها اطفال وان في مصر احيانا بيرفضوا الست اللي بتقدم للشغل اول ما يعرفوا ان معاها طفل"
"120","466","قضايا المرأة اختصاب و ضرب"
"121","467","النساء تحت التهديد بالطلاق"
"122","470","قضايا التحرش والعنف ضد المراه"
"123","472","لما بتعصب مابشوفش قدامي والجوازه التانيه أهميه عمل المراءه للست والراجل"
"124","473","عن مشاكل عامة او مرأة طيعا او استفسار قانونى"
"125","479","الختان"
"126","487","كانت عن القوانين وازاي مخليش حد يستغلني وكلام عن العقارات"
"127","490","عن الزواج العرفي وحالة عن زوحة ثانية"
"128","504","حقوق المراه و قضاياها و كيفيه الحل"
"129","509","حلقات كلها معلومات قانونيه وللحياه ممتاااااااازه"
"130","519","التحرش والاغتصاب والعنف اتجاة المرأة من الزوج اهمية العمل للمرأة والخلع والطلاق والفرق بينهم"
"131","525","موضوع التحرش اثر فيا جدا وافادني"
"132","526","الماكياج /علاقتها باولادها /الطلاق في امريكا"
"133","527","عن التحرش"
"134","537","التعامل بين المخطوبين"
"135","538","الزوجات التي لا تكتمل وتجارب الاستاذة في معرفه امتي تعرف ان الرجل مَش هيكمل مع زوجته"
"136","540","عن ازاي تتعامل قانونيا ع التحرش"
"137","541","بيتكلم عن مواقف تتعرض لها السيدات وكيفيه التعامل معها"
"138","544","التحرش"
"139","549","حقوقي في حاله عنف الزوج معايا"
"140","551","واحدة من الحلقات كانت بتتكلم عن ازاى اتصرف لو عرفت ان الى قدامى متحرش"
"141","552","اختان البنات"
"142","556","جيد"
"143","559","حلقات عن نماذج نجاح لنساء في مجالات مختلفة وحلقات عن توعية قانونية للمرأة وعن توعية للمرأة بكيفية التعامل مع زوجها في مواقف معينة"
"144","565","المطلقات"
"145","574","الاجابة علي الاسئلة و النصائح التي تقدمها"
"146","578","جيد"
"147","595","جيد"
"148","598","زواج القاصرات والختان للإناث والنصائح اللى حضرتك بتديها للست علشان تبقى قوية وتعرف تواجه المجتمع"
"149","599","حلقة ختان البنات"
"150","600","عن العنف الاسري"
"151","604","هادف جدا وبيزود وعى المرأه وحقوقها فى المجتمع"
"152","605","برنامج نسائى بيلقى الضوء عل  حكايات لشابات وسيدات وطريق نجاحهم والمعوقات إلى قابلتهم وبيلقى الضوء عل  المشاكل إلى بتواجه السيدات عموما فى مصر"
"153","612","ختان الاناث وضرب الرجل لزوجته ومدى قبولها لذلك"
"154","616","الاغتصاب. التحرش الجنسي بالاطفال، التحرش فى العمل، العنف الاسري،"
"155","622","الاثار السلبيه لكورونا، اافرق بين الخلع والطلاق. اهميه الشغل من البيت، التحرش في العمل"
"156","626","تحرش"
"157","634","الحلقه الخاصه بالتحرش والحلقه الخاصه بفيرس كرونا وتأثيرها والحلقه الخاصه بتنظيم الوقت للمرا العامله بين الشغل والبيت"
"158","641","التحرش والعنف"
"159","643","عن قضايا المرأه"
"160","644","توفيق بين الشغل والمطبخ. العنف الزوجي"
"161","648","حق الزوجة في النفقة"
"162","649","عن عمل المرأة، الورث، خدمة الزوج وأهله"
"163","653","عادي برنامج كويس و ليه هدف فشدني اني اتفرج عليه"
"164","659","في العموم تتناول قصه تحمل رساله هادفة"
"165","663","زواج القاصرات"
"166","665","قضايا اجتماعية"
"167","667","حلقة ختان الاناث"
"168","674","حقوق الست وكيفية تطبيقها مع الوقائع والأضرار الابتتعرض لها"
"169","700","الضرب ، زواج القصر ، التحرش"
"170","707","مشاكل اسريه"
"171","709","قصص هادفة عن المرأة"
"172","725","كانت بتتكلم عن الختان للاناث وعن حقوق المرأة ف المعيشة الزوجية"
"173","734","محتوى توعية للأسره وحقوق المراه وعلاقتها بالمجتمع"
"174","740","العنف ضد المرأة"
"175","749","الختان _يعني ايه راجل"
"176","764","دعم المرأة"
"177","769","ممتعة ومفيدة"
"178","770","العنف اثناء الخطوبة"
"179","772","هادف جدا"
"180","773","تطرق لأمور قانونيه تخص المرأة ومشكلاتها عند الانفصال الزوجي"
"181","774","التحرش"
"182","780","أسلوبها شيق جدا فى الحديث عن المرأة فى الثقافة المصرية"
"183","786","معلومات قيمة واداء جذاب"
"184","787","تقريبا كان عن العنف ضد المرأة"
"185","788","كان عن لبس البنات هل سبب للتحرش"
"186","792","التحرش فى العمل العنف ضد المرأة الاغتصاب وكيفية التصرف فى حالة التحرش لزميلتى فى العمل"
"187","793","هو برنامج يناقش قضايا قانونية وشرعية تهم المرأة بكل جوانبها"
"188","794","أسلوب ممتع فى شكل قصصى"
"189","796","التحرش"
"190","804","كويس"
"191","810","العنف ضد المرأة و التحرش و شغل الستات و تاثير كورونا"
"192","818","حلقات عن حالات زواج القاصرات وحلقات عن الحقوق بعد الطلاق"
"193","826","الزواج المبكر / الحضانه / الطلاق"
"194","831","الطلاق والقايمة وتوريث"
"195","833","كانت حلقه بتتكلم عن الاغتصاب و ان البنت لازم تتكلم متسكتش عن حقها و ازاى تحافظ على اثار عشان تبقى دليل معاها متخدش شاور و تحتفظ بالهدوم على حالتها"
"196","837","عمل المرأة"
"197","839","قضايا التحرش"
"198","841","حلقه عن الختان وحلقات التحرش وحلقات البث المباشر على تيوب"
"199","842","تسجيل عقود شراء الشقق"
"200","847","ممتع ويدعو إلى الحماس والتفائل"
"201","852","من قريب شفت حلقه الجميله نهاد مع الستات ميعرفوش يكدبوا عن الاغتصاب والتحرش واتكلمت عن ازاي القانون بيتعامل كانت حلقه جميله واستفدت منها جدا دي اخر مره شفتها فيها"
"202","859","توعيه للمراءه بحقوقها فيالقانون  طريقه حل المشكلات الاجتماعيه"
"203","861","مفيد و مهم"
"204","874","عل ما اذكر كانت تدور حول الوعي بشكل عام سواء للمرأة او الرجل"
"205","881","حلقة عن التحرش وحلقة عن أثر الحظر على الاسرة"
"206","896","يناقش قضايا مهمه"
"207","902","مناقشة أسئلة من علي صفحة البرنامج والرد عليها ومناقشة موضوع الختان والزواج المبكر"
"208","907","عجبتنى الحلقه اللى بتتكلم عن ختان الاناث"
"209","912","هادف ومفيد للسيدات لانه في نصح وارشاد"
"210","926","نصائح قانونية بشكل سردي ممتع"
"211","927","الواقعية المواجهة والقوة.. بالنسبة لي هي مثال للست القوية الجدعة اللي عارفة ان اول خطوة لحل المشكلة هي مواجهتها"
"212","928","قانون المرأة ف مصر ، احوال البنت المصرية ، ختان البنات"
"213","931","انتخابات النواب لما قالت ممكن البنات تقدم وتكون سن صغير"
"214","932","توفير وقتك داخل المطبخ"
"215","942","حق المرأة في الميراث"
"216","945","وصف مواقف وحل مشكلات وتحارب"
"217","946","الخلع"
"218","953","التحرش والاغتصاب والختان والعنف المنزلي"
"219","959","التحرش الجنسي وكيفية مواجهته"
"220","961","جيد جدا"
"221","963","حلقات عن كيفيه التواصل بين الافراد في الاسره وتقبل الاخر ووسائل التواصل الاجتماعي"
"222","964","قضايا خلع ومشاكل عائلية"
"223","965","اكتر حلقه فاكراها كانت بتتكلم عن الختان"
"224","966","تتكلم عن المرأة وقضايا تخصها وتخص احتكاكها بالمجتمع"
"225","969","طرق اختصار الوقت في تحضير الاكل"
"226","970","ممتاز"
"227","971","لا أتذكر تماما ولكنه كان عن المرأه و الفتيات و العنف ضد المرأه"
"228","972","الجوازات الناجحة و موضوع حلقه الجوازه الثانيه"
"229","974","بتتكلم عن حقوق المرأة و الصعاب اللي بتواجهها وازاي تقدر تتحسن و تبني ثقة بنفسها و بتتكلم عن الطموح و الحقوق والواجبات لينا"
"230","975","عن التحرش وازاي نتصرف ونواجه التحرش"
"231","978","حلقة اسطوانات الرجاله ودور الاب في تربية ولاده والزوجة التانية وقرفها"
"232","989","مهم"
"233","990","رائع"
"234","991","التحرش الجنسي وختان الاناث والعنف ضد المراه"
"235","994","قضايا المراه والتحرش الجنسي"
"236","998","مشكله عن بنت صغيره استغلها راجل عجوز"
"237","999","عن الزواج المبكر وعن حق المرأة في تطليق نفسها"
"238","1003","حلقات مشاكل الطلاق. العنف مع الزوجات.الختان.كيف تختارين عريس. حقوق الزوجة بعد الانفصال"
"239","1023","نهاد وبناتها وازاي البنت بتحلي امها وحلقة تانية عن سن الياس"
"240","1030","جيده"
"241","1037","مشاكل قائمة المنقولات و زواج القاصرات بعقود عرفية"
"242","1040","نصائح و معلومات"
"243","1048","قضايا المرأة والتحرش ،وقضايا المرأة وتمكينها فالعمل ،وقضايا الأحوال الشخصية المطلقات والأرامل وحقوقهن"
"244","1049","حلقات الي اتكلمت فيها عن السوشيال ميديا وتأثيره وحلقات عن حالات الطلاق"
"245","1051","كان كويس جدا واستفدت منها كتير . بس انا مش بتفرج كتير ع التلفزيون فمعرفتش اتابع"
"246","1052","حلقه انها ازاى خسيت عجبتنى جدا"
"247","1057","العنف ضد النساء في الحظر-الختان-زواج القاصرات -أهمية الشغل للنساء"
"248","1058","التحرش الجنسى بالأطفال.التحرش بزملاء العمل.جرائم الاغتصاب. الفرق بين الخلع والطلاق"
"249","1061","الختان، العنف ضد المرأه،"
"250","1063","محتوي مفيد وهادف"
"251","1066","العنف والتحرش والاغتصاب ودعم المرأة ف العمل"
"252","1077","حلقات هادفه ومفيده"
"253","1079","كعب عالى على الوظيفة التحرش ضرب الزوجة و ما بعد الطلاق على الاطفال"
"254","1083","ازاي اكون سعيده"
"255","1085","الفرق بين الخلع والطلاق - ختان الاناث - التحرش - اهمية عمل المرأة  -"
"256","1090","توعية المرآة بحقوقها"
"257","1096","عن تنظيمها ليومها  الاسري مع العمل"
"258","1101","النفقه والحقوق في قضايا الطلاق والخلع"
"259","1106","العنف ضد المره ودعمها"
"260","1107","بحب اسمع المشكله او القضيه وبعدين تقول رايها فى التحايل"
"261","1117","عن الختان و الجواز الثانى"
"262","1125","عن الميراث والجوازه التانيه وازاى ابقى شخصيه مهمه وغيرها"
"263","1130","عن الطلاق وحضانه الاطفال"
"264","1135","عن الطلاق ومواجهه المرأة الطلاق"
"265","1140","العنف ضد المرأة/التحرش فى العمل/اثار كورونا السلبية/شغل المرأة"
"266","1143","من ضمنها بعض المشكلات التي كانت تواجه المرأة ومما اتذكر جيدا قضيه ختان الاناث والفقه والقضيه العمل وبعض المشكلات التي كانت تعرض من المشاهدات مثل قضيه السيده التي تزوجت عن حب وبعدها بدأ زوجها بالاختلاف علي الشغل وضربها وتأثر إخوتها البنات من الموقف وتأثيره علي الاخت التي أرادت السفر وغيرهما"
"267","1146","عن العقود والختان ومع الستات"
"268","1149","العنف ضد المرأه والتحرش بالمراه"
"269","1150","مهم جدا ومبسط ومفيد"
"270","1158","كان محتوي الحلقة عن ختان الاناث"
"271","1162","المواريث والختان"
"272","1164","اخر حاجة كانت عن الختان"
"273","1165","قضايا المرأة في الاسرة"
"274","1168","بتوضح حقوق المرأة القانونيه"
"275","1170","مشاكل خاصه بلعنف الأسرى و التحرش"
"276","1173","الميراث"
"277","1183","ختان البنات  والتوكيل العام"
"278","1189","حلقات عن التحرش والعنف ضد المرأة وختان الاناث"
"279","1211","توعية عن فيروس كورونا حلقة توعية ضد ختان الاناث"
"280","1214","ان القانون ف صف المرأة"
"281","1216","عن قضيه التحرش وشغل المراه"
"282","1218","الطلاق"
"283","1224","عن قضايا حياتيه ف مجال القانون وعن توعيه المرأه"
"284","1226","مفيد وشيق"
"285","1227","حلقة لما اضطرت تترك مكتب المحاماه و ربنا عوضها"
"286","1228","مشاكل عن المرأة"
"287","1231","التحرش و اثر الكرونا علي المرأه"
"288","1232","كانت عبارة عن انها بتجمع اولادها ويتناقشو ف مواضيع مهمه بس بطريقه حلوة المعامله مابينهم معامله اصحاب رغم كل اختلافات السن"
"289","1236","مشاكل المراه"
"290","1237","الدعم القانونى امرأة المعنفة"
"291","1238","سن الاربعين"
"292","1244","حلقة التحرش الجنسى بالاطفال وكيفية حمايتهم وايضا تعريف التحرش الجنسى نفسه وانواعه"
"293","1260","كانت مفيده وواقعيه لمشاكل المراه"
"294","1264","جيد"
"295","1274","صادق لما نراه في المجتمع الحالي"
"296","1277","عن قضايا المرأة بشكل عام"
"297","1280","الميراث والعنف الاسري"
"298","1282","حقوق المرأة والعنف ضد المرأة"
"299","1285","حلقات تناقشط مشكله الختان وغيرها من المشاكل الي بتواجه المرأه كمان عرفت معلومات عن المجلس القومي للمراه"
"300","1288","محتوي مؤثر وإذا تطبق في اغلب المجالات لكان للمرأه شان اخر اعلي وافضل لكن هناك قوانين تقنن حجم المراه قوانين مجتمعيه علي الاغلب"
"301","1290","العنف ضد المرأة  وقضايا التحرش"
"302","1291","ختان الاناث،، والرجال عاوزه ايه وازاي أبلغ عن التحرش"
"303","1302","فكرة بعضهم... حلقة كانت بتتكلم عن التحرش وحلقة كانت بتتكلم عن حكاية البنت اللي اتكلم عنها الفيس بوك وفيه حلقة سمعتها من خلال الفيس بوك بتتكلم عن  إزاي نختار نتجوز صح وشوفت تقريبا أغلب حلقات اليوتيوب اللي كانت في رمضان كانت جميلة جدا"
"304","1303","ازاي تبقي سعيده برغم إزعاج اللي حواليكي وحماية الفتيات بالتربية وليس الختان اختيار الزوج الصح"
"305","1304","الختان. التحرش"
"306","1306","الحلقات بتتكلم ع قضايا ودور المرأة ف المجتمع وكيف تواجه كل التحديات اللى بواجهة بشجاعه"
"307","1309","عن البنات وحكايتهم"
"308","1312","عن دعم المراه والعنف ضد المراه"
"309","1314","عن زواج القاصرات و الختان للبنات وقضايا الاغتصاب"
"310","1321","التحرش الجنسي بكل اشكاله"
"311","1327","الختان ....جواز البنات.....الاغتصاب"
"312","1328","العنف الاسري"
"313","1335","حرية المظهر"
"314","1336","عن التحرش الجنسي بالأطفال والتحرش الجنسي بالمرأة والتحرش في العمل بالموظفات الجدد والفرق بين الخلع والطلاق"
"315","1341","حاجات بخصوص الكورونا والمشاكل اللي ترتبت عليها"
"316","1343","قضايا الطلاق  ، قضايا نفقة ، مشاكل أسرية"
"317","1347","عبارة عن مناقشة للدور المرأة وحقوقها القانونية ودورها كامرة عاملة"
"318","1349","تتناول قضايا اجتماعية"
"319","1350","صحة التوقيع والتسجيل للعقود. التحرش. قائمة الزواج"
"320","1351","موضوع الختان والتحرش"
"321","1364","العنف ضد المرأة فى العمل وخارجه وكيفيه مواجهته"
"322","1372","العنف الأسري.. التربية"
"323","1376","الختان"
"324","1391","التحرش وكيفية التصدى له"
"325","1392","حقوق المرأة وقضايا المرأة"
"326","1395","الختان ، التحرش ، بعض حلقات تحكي عن حالات عنف للمرآة"
"327","1400","مشاكل الطلاق والعنف ضد المرأة"
"328","1407","ميراث المراة تمكين المراة عمل المراة"
"329","1417","محتوى مهم وداعم للمراه"
"330","1422","توعيه"
"331","1423","نفقة المطلقه .. الايجار القديم . الاغتصاب . التحرش . كتير"
"332","1425","أستاذة نهاد طريقتها مختلفة في سرد القضيه أو موضوع الحلقة لأنها لتتمتع بحيادية فريدة من نوعها وغالبا ده اللي بيجذبني لحوارتها اكتر قضية كانت مؤثرة فيا واللي عرفتني عليها كانت حلقة سمعتها من فترة طويلة كانت بتتكلم عن زواج الأجنبية اللي غالبا كل العرب بيحلمو بيه ونفسهم يسافرون ويتجوزا أجنبية ياخدو جنسية بلدها ومن بعدها بدأت اتابعها بشكل شبه منتظم وده لان مش دايما متاح ليا اشاهد التليفزيون أو اكون اون لاين طول الوقت عشان الدراسه او الشغل لكن بحاول اتابعها قدر الإمكان واتمنى الفترة الجاية يكون عندى وقت أطول لمتابعتها"
"333","1428","قضايا المرأة"
"334","1430","ميراث الاناث"
"335","1431","حق المرأة في التعليم"
"336","1443","التحرش، الزواج العرفي"
"337","1453","جيد"
"338","1458","المرأه"
"339","1460","العنف ضد المرأة"
"340","1462","التأثير السلبي للختان على الحياة الزوجية والعنف ضد المرأة"
"341","1467","مشاركه المراه ف البرلمان"
"342","1469","الختان.  والاغتصاب  زواج البنات"
"343","1470","حقوق المراه في الزواج ومشوار الأستاذة نهاد الاممي"
"344","1471","هادف و ذو فكرة"
"345","1475","بتتكلم ف حل للقضايا الاسريه والمدنيه"
"346","1476","كان بيتكلم عن العنف ضد المرأة"
"347","1480","حلقه تتحدث عن ضرب الرجل للمراه وحلقه عن  قضية الفرمونت وحلقه عن حياتنا هتتغير اذاي بعد الكرونا  وحلقات أخري لم أتذكرها"
"348","1487","قاضيا كتير تخص المراء العنف والفرق بين الخلع والطلاق"
"349","1488","دور العمل للمرأة"
"350","1493","ختان البنات و العنف ضد المرأه"
"351","1495","الاثار السلبيه لكورونا، التحرش ف العمل،  العنف ضد المرأة"
"352","1502","اتعلمت ازاي اعمل كيان ل نفسي وابقي شخصيه مهمه بدون م انتظر اي حد.. اكون نفسي و بس قبل اي حاجه..و حلقات التحرش الجنسي نش بس ب اللنس لاء الالفاظ ايضا و ازاي اتحاوز دا"
"353","1507","التحرش الجنسي وازاي نتعامل معاه"
"354","1510","مناقشه لقضايا تهم المرأه وأمور تقابلها وكيف تواجه ذلك"
"355","1513","محتوى الحلقه كان عن ختان الاناث وخطورته وعن تاثيره النفسى والسلبى على الاناث والمجتمع"
"356","1518","اتذكر حلقة طالب الجامعة الامريكية"
"357","1519","ازاي تبقي شخصيه مهمه الختان والانترنت نساء الحظر"
"358","1526","تقريبا كانت بتتكلم عن حكايات وقضايا وموقف القانون منها تقريبا مش فاكره بالظبط"
"359","1530","دعم حقوق المرأة والمطالبة بها والتعريف بالقضايا المختلفة التى تخص المرأة"
"360","1531","العنف ضد المرأة والأطفال من قبل الزوج"
"361","1534","الفرق بين الطلاق والخلع  / التحرش ف الشغل ومواجهته"
"362","1543","اتفرجت علي حلقات عن موضوع التحرش"
"363","1550","الختان  وعقاب القائمين عليه والتحرش فىالعمل وكيفية مواجهتها والعنف ضد المرأة وهذا مانعانيه"
"364","1551","داءما كلام مفيد جدا وحتى الفيديوهات الترفيهيه لذيذة وممتعه هو اسلوب نهاد بيعجبنى وهى بتتكلم في موضوعات مختلفه وشيقه ومفيدة جدا بتعلم المراءة كيف تحمى نفسها بنفسها"
"365","1552","قضايا تخص المرأة زي التحرش"
"366","1566","شوفت حلقة عن ختان البنات وعن قضايا الأسرة والطلاق اكتر من قضية مش فاكره الحلقات كويس"
"367","1570","محتوى مبسط واضح اعلامى مهنى لكن كثرة المتابعة تسبب الاكتئاب احيانا"
"368","1573","عن فروقات التعليم بين الحكومي والخاص تقريبا وعن الخطوبات وطريقه التعامل"
"369","1575","اتفرجت علي حلقه الختان و عنف ضد المراة"
"370","1584","التحرش والطلاق"
"371","1585","كلام عن حقوق المرأة"
"372","1595","الاوضاع القانونية لبعض قضايا المرأة، التحرش،"
"373","1599","اضطهاد المراه من الزوج،عدم تمكين المرأة،سكوتها عن حقوقها"
"374","1601","قضايا المرأة"
"375","1605","أنا من المعجبين بالاستاذة نهاد من زمان اتغرجت على حلقات ترتيب المنزل و ازاى ادير وقتى و الاغتصاب و ازاى اعرف احمى نفسى و عيلتى و كتير من الحلقات التى لا يتسع ذكرها ا"
"376","1613","عن حقوق المرأه"
"377","1614","مناهضه الختان    رفض العنف"
"378","1615","الختان والعنف ضد المرأه وغير ذلك"
"379","1616","استفدت منها كثيرا"
"380","1620","حقوق المرأة عند الطلاق، تمكين  الزوجة من الشقة، القانون الجديد والرؤيه الاطفال"
"381","1622","ازاى تبقى شخصية مهمة"
"382","1623","الختان.. ويعني أيه كلمة رجل"
"383","1624","قضايا الطلاق"
"384","1625","الرؤية"
"385","1630","برنامج ناجح بيزيد وعى المرأة بحقوقها"
"386","1631","اجتماعي ثقافي"
