"","index","online_dvsa_end","online_dvsa_1_end","online_dvsa_2_end","online_dvsa_3_end","online_dvsa_4_end","online_dvsa_5_end"
"41","115","First:,Second:,Third:","المركز القومي لحقوق المرأة","المجلس القومي لحقوق المرأة المعنفة","جمعية",NA,NA
"42","116","First:,Second:,Third:","المجلس القومي للمرأة","الأمومة والطفل","مبادرة دعم المرأة",NA,NA
"43","118","First:","دعم المرأة",NA,NA,NA,NA
"44","119","First:","مركز دعم المرأة",NA,NA,NA,NA
"45","120","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"46","124","First:,I do not know any.","فيديوهاتكم عن طريق الواتس",NA,NA,NA,NA
"47","125","First:","خط الساخن لشكاوي العنف ضد المرأة",NA,NA,NA,NA
"48","126","First:,Second:","المركز القومى لحقوق المرأة","قسم الشرطه",NA,NA,NA
"49","127","First:,Second:","المجلس الأعلى للمرأة","مركز الأمومة والطفولة",NA,NA,NA
"50","131","First:","فيديوهات مش لوحدك",NA,NA,NA,NA
"51","132","First:,Second:,Third:","المركز المصري لحقوق المرأه","المجلس القومي للمرأه","وزارة الشئون الاجتماعيه",NA,NA
"52","133","First:,Second:,Third:","المجلس المصرى لقضايا المرأة","المجلس القومى للعنف ضد المرأة","رعاية الأمومة والطفولة",NA,NA
"53","134","First:,Second:,Third:","انتى مش لوحدك","برنامج رضوى الشربينى","برامج توعيه مختلفه",NA,NA
"54","143","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأه","القومي الطفوله والامومه","نهاد ابو القمصان","مبادره دعم المرأه","لا اعلم"
"55","145","First:,Second:,Third:","حكايات نهاد","المركز القومى لحقوق المراه","محكمة الاسره",NA,NA
"56","146","First:","المجلس القومي للمراه",NA,NA,NA,NA
"57","147","First:,Second:","Police assault  Instagram","الصفحات الاجتماعية المخصصة للسيدات",NA,NA,NA
"58","149","First:","قناه حكايات نهاد ع اليوتيوب",NA,NA,NA,NA
"59","150","First:","مركز حقوق المرأة",NA,NA,NA,NA
"60","152","First:,Second:,Third:","الفيس","الواتس","اخبارنت",NA,NA
"61","154","First:,Second:,Third:","حكايات نهاد","جروب ستات قوية","جمعية المراة نصف المجتمع",NA,NA
"62","155","First:","الفيسبوك",NA,NA,NA,NA
"63","157","First:,Second:,Third:,Fourth:,Fifth:","الراديو","التليفزيون","الفيسبوك","الواتساب","اليوتيوب"
"64","158","First:","فيس بوك",NA,NA,NA,NA
"65","160","First:,Second:,Third:,Fourth:","الدائره المفرغه للعنف","قضايا صحه المراه","شجره العنف القائم على النوع الاجتماعى","العنف ضد المرأة",NA
"66","161","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"67","163","First:,Second:,Third:","Facebook","Google","Instgram",NA,NA
"68","166","First:,Second:","انترنت","واتس اب",NA,NA,NA
"69","172","First:,Second:,Third:","الفيس بوك","التليفزيون","اليوتيوب",NA,NA
"70","175","First:,Second:,Third:,Fourth:,Fifth:","محاميك","برنامج هى وبس","حكايات نهاد","المركز القومى للمراة","المركز المصرى للمراة"
"71","176","First:","حقوق المراة",NA,NA,NA,NA
"72","183","First:","المجلس القومي لحقوق المراءة",NA,NA,NA,NA
"73","184","First:,Second:,Third:","المجلس القومي للمرأة","المركز المصري لحقوق المرأة","خطوط النجددة",NA,NA
"74","192","First:","دعم المراه",NA,NA,NA,NA
"75","193","First:,Second:,Third:,Fourth:,Fifth:","انتي مش لوحدك","انتي مش لوحدك","دعم المرأة","انتي مش لوحدك","انتي مش لوحدك"
"76","194","First:","صفحتكم",NA,NA,NA,NA
"77","195","First:,Second:,Third:,Fourth:","المجلس القومى للمراة","حكايات نهاد","Singl mother","أمهات مصر المعيلات",NA
"78","198","First:","Women care",NA,NA,NA,NA
"79","199","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"80","203","First:,Second:,Third:,Fourth:,Fifth:","انت مش لوحدك","اسال محامى","قانون الاسرة","المراة والطفل","هى وبس"
"81","204","First:,Second:","المركز المصري لحقوق المرأة","المجلس القومي للمرأة",NA,NA,NA
"82","206","First:,Second:,Third:,Fourth:","العنف ضد المرأه","منظمة العفو الدوليه","UNFPA","ويكيبيديا",NA
"83","208","First:,Second:,Third:","هي وبس","هن","فيمنست مسلمه",NA,NA
"84","211","First:,Second:","الشرطة","المركز المصري لدعم المراه",NA,NA,NA
"85","213","First:,Second:","الانترنت","الاصدقاء",NA,NA,NA
"86","219","First:,Second:,Third:,Fourth:","جروبات نفسيه واجتماعية علي الفيس بوك","موقع صحة","موقع اليوم السابع","موقع موضوع",NA
"87","227","First:,Second:","المركز المصري لحقوق المرأه","صفحات ع السوشيال ميديا مثال assault police",NA,NA,NA
"88","230","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","مجلس دعم وتنمية المرأة","مؤسسة دعم المرأة المصرية","حكايات نهاد","مؤسسة صندوق دعم المرأة"
"89","239","First:,Second:","حقوق المراءه","دعم المراءه",NA,NA,NA
"90","241","First:,Second:,Third:,Fourth:,Fifth:","حقوق المراه","المجلس القومى للمراه","محكمه الاسره","معا ضد العنف","حمايه القاصرات"
"91","242","First:,Second:,Third:,Fourth:","واتس","فيس بوك","تويتر","يوتيوب",NA
"92","243","First:,Second:,Third:","صفحات على النت لدعم المرأة","جروبات لدعم المرأة","صفحة لحل المشاكل الأسرية",NA,NA
"93","244","First:,Second:,Third:,Fourth:","مركز النديم لضحايا العنف الاسري","مركز قضايا المرإة","جمعية حقوق المرأة المصرية","وعي",NA
"94","250","First:","دعم المرأة",NA,NA,NA,NA
"95","255","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","التليفزيون","حملات توعيه","برامج اجتماعيه","واتس اب"
"96","256","First:","Facebook",NA,NA,NA,NA
"97","259","First:","مركز دعم المراة",NA,NA,NA,NA
"98","260","First:,Second:","المجلس القومى للمرأة","16000",NA,NA,NA
"99","262","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","الانستجرام","الواتس","تويتر","ال"
"100","264","First:,Second:,Third:","مباحث الانترنت","المجلس القومي للمرأة","المجلس القومي لحقوق الإنسان",NA,NA
"101","265","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"102","268","First:,Second:","الفيس بوك","تويتر",NA,NA,NA
"103","272","First:,Second:,Third:","الإرشاد الأسرى","حقوق المراه","منظمه العفو الدوليه",NA,NA
"104","274","First:","جروب امسك متحرش",NA,NA,NA,NA
"105","276","First:,Second:,Third:,I do not know any.","الفييس","الواتس","جوجل",NA,NA
"106","277","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"107","284","First:,Second:,Third:","المركز المصري لحقوق المرأة","جمعية المرأة والتنمية: الهاتف: 5549652 (03-2+) / 01830133326 (2+)","مركز المساعدة القانونية للمرأة المصرية",NA,NA
"108","285","First:,Second:,Third:,Fourth:,Fifth:","المواقع الاجتماعية","Sousity proplem","Asqu in egypt","7ad y3raf","Dandasha"
"109","290","First:","لا للتحرش",NA,NA,NA,NA
"110","292","First:,Second:","الفيس بوك","الواتس",NA,NA,NA
"111","294","First:,Second:,Third:","صفحة حقوق المرأة","المجلس القومى لحقوق المرأة","إسأل محاميك",NA,NA
"112","297","First:,Second:","منظمه العفو الدوليه","حقوق المرأه",NA,NA,NA
"113","299","First:,Second:","Facebook","YouTube",NA,NA,NA
"114","300","First:,Second:","المنتديات","جوجل",NA,NA,NA
"115","303","First:,Second:","جمعية حماية المرأة","حقوق الانسان",NA,NA,NA
"116","306","First:,Second:,Third:,Fourth:,I do not know any.","لا اعرف","لا اعرف","لا اعرف","لا اعرف",NA
"117","307","First:,Second:,Third:,Fourth:,Fifth:","جروب  Society queen","جروب حكايات بنات","جروب هرمون","االانستجرام","الواتس اب"
"118","308","First:,Second:","مجلس حقوق المرأة","الشرطة",NA,NA,NA
"119","310","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","الفيس بوك","الانستقرام","الواتس اب","تويتر"
"120","312","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"121","313","First:,Second:","الفيس بوك","المجلس القومي للمراة",NA,NA,NA
"122","320","First:,Second:,Third:","حقوق المرأة","الحوار القانونى حول قضايا الأسرة","طلاق للضرر",NA,NA
"123","321","First:","مكتب دعم المرأة",NA,NA,NA,NA
"124","323","First:,Second:","المجلس القومي لحقوق المرأة","جروب قاوم",NA,NA,NA
"125","328","First:,Second:,Third:","موقع قضايا المرأة","موقع وزاره الداخليه","محكمه الاسره",NA,NA
"126","329","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المراه المصريه","المجلس القومى للمرأة","مركز النديم لضحايا العنف الاسراى","بيت حواء","موسسه المراه المصريه للقانون وثقافه السلام"
"127","331","First:,Second:,Third:,Fourth:","المجلس القومي لحقوق المرأة","النيابه العامة","الانترنت","الخط الساخن للعنف  ضد المرأة",NA
"128","332","First:,Second:,Third:,I do not know any.","تحرش اللفظ","تحرش المس","تحرش الكلام",NA,NA
"129","333","First:,Second:,Third:","المجلس القومي للمرأه","حملة لا للتحرش","برنامج حكاية نهاد",NA,NA
"130","334","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"131","336","First:,Second:","برنامج اسال مع نهاد","هي وبس رضوى الشربيني",NA,NA,NA
"132","337","First:","القناة دي",NA,NA,NA,NA
"133","338","First:","انتى مش لوحدك حلقات",NA,NA,NA,NA
"134","344","First:,Second:,Third:","المجلس القومي للمرأة","وحدة مناهضة التحرش و العنف ضد المرأة","صفحة د. نهاد",NA,NA
"135","345","First:,Second:","منظمه العفو الدوليه","مركز صحه المرأه والتعليم",NA,NA,NA
"136","347","First:","الفيس بوك",NA,NA,NA,NA
"137","349","First:","برنامج مع نهاد",NA,NA,NA,NA
"138","351","First:,Second:,Third:,Fourth:","موقع المجلس القومي للمرأة","صفحات حقوق الانسان","صفحات المراة","مواقع الجمعيات النسائية",NA
"139","352","First:,Second:,Third:,Fourth:","امسك متحرش","حقوق المراه","المركز المصري لحقوق المراه","قوه ضد التحرش و الاعتداء الجنسي",NA
"140","353","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي لحقوق الإنسان","المجلس المصري لحقوق المرأة",NA,NA
"141","356","First:,I do not know any.","حمايه المراءه",NA,NA,NA,NA
"142","360","First:","انتي مش لواحدك",NA,NA,NA,NA
"143","361","First:,Second:","شخصيا","الفيس بوك",NA,NA,NA
"144","362","First:,Second:","الفيس","ليوتيوب",NA,NA,NA
"145","364","First:","مراكز حقوق المرأة",NA,NA,NA,NA
"146","368","First:,Second:,Third:","حقوق المرأة","حقوق الإنسان","المركز القومي لدعم المرأة",NA,NA
"147","371","First:,Second:","الاستاذة نهاد ابو القمصان","حكايات نهاد",NA,NA,NA
"148","372","First:,I do not know any.","المجلس القومي للمرأه",NA,NA,NA,NA
"149","375","First:,Second:,Third:","فيسبوك","انستجرام","تويتر",NA,NA
"150","378","First:,Second:,Third:,Fourth:,Fifth:","التلفزيون ببقي مع الاعلامين","منظمات حمايه المرأه","منظمات حمايه المرأه ضد العنف","برنامج نهاد والفيديوهات التي ترسل علي الواتساب","لا اعرف"
"151","382","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","تويتر","يوتيوب","تويتر","انستا"
"152","384","First:,Second:,Third:","صفحة برنامج معا","برامج الاسرة بالمجلس القومي للمراه","مركز دعم المراة",NA,NA
"153","385","First:,Second:","المجلس القومي للمرأة","صفحات منظمات الامم المتحدة",NA,NA,NA
"154","386","First:","للمجلس الاعلى للحقوق المراة",NA,NA,NA,NA
"155","387","First:,Second:,Third:","جروب امهات مصر المعيلات","جروب حد يعرف","جروب اخر",NA,NA
"156","388","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"157","389","First:","حقوق المرأه",NA,NA,NA,NA
"158","393","First:,Second:,Third:","الانترنت","التليفزيون","البرامج",NA,NA
"159","395","First:,Second:","رقم منظمتكم على الواتساب","منظمه حقوق الإنسان",NA,NA,NA
"160","401","First:,I do not know any.","جمعيات دعم المرأه",NA,NA,NA,NA
"161","406","First:,Second:,Third:","جمعية حقوق المرأة","انتى مش لوحدك","رضوى الشربينى",NA,NA
"162","411","First:,Second:","المجلس القومى للمرأة","بعض البرامج التليفزيونية زي هي و بس",NA,NA,NA
"163","414","First:,Second:","جروبات نسائية","جروبات لقضايا الاسرة",NA,NA,NA
"164","416","First:,Second:,Third:,Fourth:,Fifth:","حكايات نهاد","اطفال مفقودة","الصفحات المختلفة","منى عراقى","وائل الابراشى"
"165","418","First:,Second:,Third:,Fourth:,Fifth:","جوجل","الفيس بوك","البرامج التليفزيونية","للمواقع الخاصة بالمرأة","الإنترنت"
"166","420","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"167","422","First:","الصفحة الرئيسية للمجلس القومي للمرأة",NA,NA,NA,NA
"168","424","First:,Second:","الفيس بوك","الاخبار",NA,NA,NA
"169","425","First:,Second:","عاده لفديوهات اللي الناس بتعملها بشكل منزلي","برامج التوك شوو",NA,NA,NA
"170","426","First:,Second:,Third:,Fourth:,Fifth:","سوشيال ميديا","أخبار","التلفزيون","تناقل الأخبار","جلسات العائلة"
"171","435","First:,Second:,Third:,Fourth:","اسال محاميك","نهاد قمصان","جروب المحامين","جمعيه حقوق المرأه",NA
"172","442","First:,Second:,Third:","اللجنة القومية للنساء ضد التحرش والاعتداء","قسم البوليس لعمل محضر","جمعيات دعم المراة",NA,NA
"173","446","First:,Second:,Third:","المجلس القومي للمرأة","نهاد ابو القمصان","دعم المراة",NA,NA
"174","447","First:,Second:","الازهر","تمكين المراه",NA,NA,NA
"175","452","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"176","453","First:,Second:","Facebook groups","News",NA,NA,NA
"177","455","First:","انتى مش لوحدك",NA,NA,NA,NA
"178","456","First:","المجلس القومي للمراة",NA,NA,NA,NA
"179","457","First:,Second:,Third:,Fourth:","المجلس القومى للامومه والطفوله","المجلس القومى لحقوق الإنسان","المجلس القومى للمراه","صفحة وزارة الداخلية",NA
"180","458","First:","المجلس القومى للمراة",NA,NA,NA,NA
"181","460","First:,Second:,Third:","منظمه ضد العنف للمراه","منظمه الصحه","حكايات نهاد",NA,NA
"182","461","First:,Second:,Third:","الشرطة","المجلس القومي للمرأة","الطب النفسي",NA,NA
"183","462","First:","ASSAULT POLICE EGYPT على انستجرام",NA,NA,NA,NA
"184","465","First:","www.mshlwa7dek.org",NA,NA,NA,NA
"185","467","First:,Second:,Third:","قاوم","انت مش لوحدك","منظمة حقوق المرأة",NA,NA
"186","469","First:","الفيس بوك",NA,NA,NA,NA
"187","471","First:,Second:,Third:","المجلس القومي للمرأة","المركز المصري لحقوق المرأة","مؤسسة قضايا المرأة",NA,NA
"188","472","First:,Second:,Third:,Fourth:","المجلس القومي للمرأه","المركز المصري لحقوق المرأه","مؤسسه قضايا المرأه المصريه","مركز النديم",NA
"189","473","First:,Second:,Third:,Fourth:","قراءة عشوائية من جوجل","احداث سابقة لأشخاص والاستفادة من تجاربهم","الجروبات","ا",NA
"190","474","First:,Second:","المجلس القومي للامومة والطفولة","جمعيات دعم المراة",NA,NA,NA
"191","475","First:,Second:,Third:","فيس","واتس","يوتيوب",NA,NA
"192","478","First:,Second:","صفحة مركز دعم المرأة على الفيس بوك","صفحة مينا سمير على الفيس بوك",NA,NA,NA
"193","493","First:,Second:","المركز القومي حقوق المراه","يونيسيف",NA,NA,NA
"194","495","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","حقوق الانسان","مؤسسه اتجاه","قضايا المرأة","واى بير"
"195","496","First:","مش لوحدك",NA,NA,NA,NA
"196","499","First:","اليوتيوب",NA,NA,NA,NA
"197","504","First:,Second:,Third:","الفيس","المواقع الاخباريه","الواتس",NA,NA
"198","512","First:,Second:,Third:","Facebook","Instagram","Twitter",NA,NA
"199","518","First:,Second:,Third:,Fourth:","صفحة قاوم على الفيس بوك","Women of egypt","برنامج هى وبس","برنامج حكايات نهاد",NA
"200","519","First:,Second:","منظمة العفو الدولية","المركز القومى لحقوق المرأة",NA,NA,NA
"201","522","First:,Second:","حقوق المرأة","المجلس القومي للمرأة",NA,NA,NA
"202","526","First:","المركز القومي للمراه",NA,NA,NA,NA
"203","527","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","تويتر","يوتي<U+06A8>","انستا","واتس"
"204","528","First:,Second:","مركز قضايا المرأة المصرية","المجلس القومي للمرأة",NA,NA,NA
"205","529","First:,Second:,Third:","المركز قومي للعنف ضد المرآه","العنف الاسري","النجده",NA,NA
"206","531","First:,Second:","مؤسسة حقوق المرأة","مؤسسة احكي النسوية",NA,NA,NA
"207","532","First:,Second:","الازهر الشريف","المجلس القومي لحقوق المرأة",NA,NA,NA
"208","534","First:","صفحة الدكتور فتحى الشرقاوى استاذ بجامعة عين شمس",NA,NA,NA,NA
"209","536","First:,Second:","المركز القومي لحقوق المراه","وحكايات نهاد",NA,NA,NA
"210","537","First:,Second:","حملة انتي مش لوحدك","المجلس القومي للمرأة",NA,NA,NA
"211","538","First:","دكتورة نهاد ابو القمصان",NA,NA,NA,NA
"212","539","First:,Second:,Third:,Fourth:,Fifth:","المرأه","قناه يوتيوب","برامج","الجمعيه العامه لمراءه","حقوق الإنسان"
"213","543","First:","Facebook",NA,NA,NA,NA
"214","544","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","برنامج نهاد","يوتيوب","برنامج حقوق المراه","قضايا واراء المراه"
"215","547","First:,I do not know any.","القومى للمرأة",NA,NA,NA,NA
"216","548","First:,Second:,Third:,Fourth:,Fifth:","Facebook","TV","Instagram","YouTube","Friends"
"217","549","First:,Second:,Third:,Fourth:,Fifth:","حكايات نهاد","برامج قانونيه","صفحة المجلس القومي للمرأه","صفحة برنامج هي وبس","صفحات المطلقات"
"218","550","First:,Second:","المجلس القومي للمرأه","الخط الساخن",NA,NA,NA
"219","551","First:,Second:","خط نجدة المرأة والطفل","المجلس القومي للمراة",NA,NA,NA
"220","554","First:,Second:,Third:,Fourth:","Facebook","Instagram","Twitter","YouTube",NA
"221","556","First:","صفحة نهاد ابو القمصان",NA,NA,NA,NA
"222","560","First:","الشرطه",NA,NA,NA,NA
"223","564","First:,Second:,Third:,Fourth:,Fifth:","Facebook","Tv","WhatsApp","Instagram","Youtube"
"224","566","First:","الانترنت",NA,NA,NA,NA
"225","568","First:,I do not know any.","المجلس القومي للمرأة",NA,NA,NA,NA
"226","576","First:,Second:,Third:","انستجرام مش فاكرة اسم الصفحة بالظبط بس للتبيلغ عن حالات التحرش","جروب امهات مصر المعيلات","جروبات البنات زي وافيرز دندشة حد يعرف اجيب منين اشهر جروبات بنات",NA,NA
"227","591","First:,Second:,Third:","اليوتيوب","الفيس بوك","التيك توك",NA,NA
"228","592","First:,I do not know any.","Face",NA,NA,NA,NA
"229","593","First:,Second:","دعم المراه","المركز القومى لحقوق المرأة",NA,NA,NA
"230","595","First:,Second:,Third:","المجلس القومي لحقوق المرأة","جروبات دعم معنوي للمرأة","المواقع الرسمية لوزارة التضامن الاجتماعي",NA,NA
"231","596","First:,Second:","خط نجدة المراة","منظمات دعم المراة",NA,NA,NA
"232","598","First:,Second:,Third:,Fourth:,Fifth:","حقوق المرأة المصرية","نهاد ابو القمصان","رضوى الشربينى","لا اعرف","لا اعرف"
"233","603","First:,Second:,Third:,Fourth:,Fifth:","المجلس الاعلي لحقوق المراه","كاريتاس","لا اعرف","خط حمايه الطفل","لا اعرف"
"234","604","First:","مجلس حقوق المرأة والطفل",NA,NA,NA,NA
"235","605","First:,Second:","المجلس القومى للمراة","اصوات النساء",NA,NA,NA
"236","608","First:,Second:,Third:,Fourth:","الفيس بوك","مجلس القومى للمراه","برنامج نهاد","مصادر جوجل",NA
"237","610","First:,Second:,Third:","المجتمع المدني","المجلس القومي المرأة","فيس بوك مجموعات دعم",NA,NA
"238","612","First:,Second:","صفحة برنامج حكايتى مع نهاد","صحفة المجلس القومى للمرأءة",NA,NA,NA
"239","613","First:,Second:,Third:,Fourth:","موقع منظمة حقوق الانسان","بعض الصفحات على الفيسبوك","تويتر","مواقع على اليوتيوب",NA
"240","614","First:,Second:,Third:","المجلس القومي لحقوق المرأه","صفحه انتي مش لوحدك","صفحه امسك متحرش",NA,NA
"241","615","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"242","616","First:,Second:,Third:","انتى مش لوحدك","المجلس القومي لحقوق المرأة","المجلس القومي للامومه والطفوله",NA,NA
"243","617","First:","انتي مش لوحدك",NA,NA,NA,NA
"244","622","First:,Second:","مركز الصحه للمرأه","World health organizations",NA,NA,NA
"245","625","First:,Second:,Third:","مجموعة نسائية على الفيس بوك","برنامج تلفزيوني الستات ميعرفوش يكدبوا","استبيان المرأة ومجموعة من الفيديوهات الخاصة",NA,NA
"246","626","First:","المجلس القومي للحقوق المرأه",NA,NA,NA,NA
"247","627","First:","دعم المراة",NA,NA,NA,NA
"248","628","First:,Second:,Third:,Fourth:,Fifth:","حد تثق فية جدا","حد قريب منة بقالة سنين","اب اعترافها","امها","منا لربنا"
"249","630","First:","المركز القومي للمرأة",NA,NA,NA,NA
"250","631","First:","انتي مش لوحدك",NA,NA,NA,NA
"251","633","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"252","634","First:,Second:","المجلس القومي للمراه","المجلس القومي للطفوله والامومه",NA,NA,NA
"253","636","First:","برنامج استاذه نهاد",NA,NA,NA,NA
"254","637","First:","منظمة حقوق المرأه",NA,NA,NA,NA
"255","641","First:","جروبات محكمة الأسرة",NA,NA,NA,NA
"256","646","First:,Second:,Third:,Fourth:,Fifth:","واتس اب","برامج التليفزيون","برامج التصفح","فيس بوك","تويتر"
"257","647","First:,Second:,Third:,Fourth:,Fifth:","جوجل","فيس بوك","انستغرام","تويتر","سناب شات"
"258","650","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"259","658","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"260","659","First:,Second:,Third:","المجلس القومي للمرأة","حقوق الإنسان","اليونيسيف",NA,NA
"261","661","First:","واتساب",NA,NA,NA,NA
"262","662","First:,Second:","التحدث مع الأهل او اى حد ثقه","الإنترنت",NA,NA,NA
"263","666","First:,Second:,Third:,Fourth:,Fifth:","برمج توعيه","برنامج موده","صفحات لاشخاص","جروبات علي الفيس","احتكاك الاصحاب"
"264","672","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"265","674","First:,Second:,Third:,Fourth:,Fifth:","جوجل","فيس بوك","انستا","تويتر","تي في"
"266","679","First:,Second:,Third:","المجلس القومي للمرأة","جمعيات حماية حقوق المرأة المعيلة","جمعيات حقوق الانسان",NA,NA
"267","680","First:,Second:","جمعية حقوق المرأة","امسك متحرش",NA,NA,NA
"268","692","First:,Second:","جوجل","يوتيوب",NA,NA,NA
"269","700","First:,Second:","الجمعيات النسائيه","مواقع حقوق المراة",NA,NA,NA
"270","702","First:,Second:","المجلس القومى الامومه والطفوله","المجلس القومى للمراه",NA,NA,NA
"271","709","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"272","714","First:,Second:","هيئة care الدولية","Un woman",NA,NA,NA
"273","716","First:,Second:,Third:","مواقع","حكاوي","قنوات",NA,NA
"274","721","First:,Second:,Third:,Fourth:,Fifth:","رابطة المرأة العربية","المجلس القومى للمرأة","المركز المصرى لحقوق المرأة","جروبات فيس بوك","مقاطع يوتيوب"
"275","725","First:,Second:,Third:","المجلس القومي للمرأة","وزارة التضامن","وزارة الداخلية",NA,NA
"276","730","First:,Second:","صفحات","جروبات",NA,NA,NA
"277","732","First:,Second:","الانترنت","التليفزيون",NA,NA,NA
"278","734","First:","جمعية حمايه المراءة",NA,NA,NA,NA
