"","V1","V2"
"94","323","ختان البنات"
"95","326","الحقوق القانونية للمرأة في حالة الطلاق"
"96","331","تشجيع المرأة وتوضيح أهمية دورها في المجتمع"
"97","333","العنف ضد المرأه والتحرش"
"98","334","التحرش"
"99","336","الخصوصيه الجنسيه للاطفال"
"100","343","كلهم تقريبا"
"101","345","الختان"
"102","346","اهميه الشغل للمرأه - ازاي أتصرف في حالات التحرش- جريمة ختان المراه"
"103","348","التحرش"
"104","349","حقوق المرأة ورفض العنف المعرضة ليه"
"105","353","ختان الإناث"
"106","363","دور المرأة والتحرش"
"107","368","ازاي تدافعي عن نفسك من المتحرشين"
"108","369","تحرش لو من زملاء العمل"
"109","371","كلهم"
"110","375","كل الفيديوهات بتعجبني حتي اللي في البيت لأن كلهم بيسلطوا الضوء جوانا وبيخلينا كبنات وستات ننتبه اننا مانفرطش في حقوقنا ، كمان فيه موضوع عن الراجل ومفهوم الرجولة انه مش بالعضلات ولا بفرض السيطرة"
"111","376","تشجيع المرأه والقصص الواقعيه"
"112","378","المواضيع فيها توعيه فعجبني محتوي الحلقات دي مفيده"
"113","380","نماذج سيدات ناجحات"
"114","381","كل تفاصيل الحلقات"
"115","384","النماذج النسائية والشبابية الناجحة"
"116","386","حلقات التحرش"
"117","387","انماط الشخصيه والثقه بالنفس"
"118","392","الاسئلة القانونية للمرأة"
"119","397","الموضوع كله"
"120","400","عن الزواج العرفي"
"121","401","موضوع المصيف وذكريات نهاد فيه"
"122","407","اهميه الشغل..... التحرش"
"123","416","حق المراة فى الطلاق"
"124","417","الختان"
"125","422","مواضيع تخص توعية المرأة ومعرفة حقوقها"
"126","435","حقوق المرأه"
"127","436","مواضيع تتناول حقوق المراه بشكل عام"
"128","442","الاهتمام بمشاكل المرأه"
"129","446","المواضيع القانونية الخاصة بالمراة"
"130","447","اانك اازاى تبقي ششخصيه ممهمه"
"131","452","التحرش"
"132","457","مواجهه التحرش"
"133","460","الفرق بين الطلاق والخلع موتي نلجأ للخلع"
"134","462","عن أهمية عمل المرأة"
"135","466","التحرش"
"136","467","نساء الحظر والتهديد    ازاي نبقي شخصية مهمة"
"137","470","العنف ضد المرأة"
"138","472","ختان الإناث، مواجهه الأغتصاب، التحرش في العمل، العنف ضد المرأة، الفرق بين الطلاق والخلع،"
"139","473","كل المواضيع"
"140","490","معرفة حقوق المرأة بشكل عام وف حلقة كان بخصوص اسم خطأ ف ورق رسمي مهم لامرأة والدكتورة طمأنتها بصحته ووجهتها للفعل الصحيح"
"141","495","قضايا المرأة عموما جميله"
"142","507","كتير"
"143","509","حضانه الاطفال ومواضيع اخري لا اتزكرها"
"144","519","كل الحلقات اعجبتنى"
"145","525","موضوع التحرش"
"146","526","الابتعاد عن الناس المزعجه /سن الاربعين وحلاوته"
"147","527","التحرش"
"148","536","حقوق المراه"
"149","537","ختان الإناث"
"150","538","الاستاذة وعتنا اننا لنا حقوق وتجاربها في القانون"
"151","541","دعم المراء"
"152","543","الزاوج الثانى"
"153","544","التحرش"
"154","549","حقوقي لأن حقنا لازم نعرفه"
"155","551","طبعا ان كل محور الاهتمام بالمراة"
"156","552","ختان البنات"
"157","556","السرية في البلاغ عن العنف او التحرش ضد المرأة"
"158","559","التوعية القانونية وكيفية التعامل الأسري"
"159","560","مناقشاتها للقضايا اللى  بتخص المرأه  والحكايات اللى بتحكيها"
"160","565","المرأة وحقوقها"
"161","569","دائما يعجبنى رد استاذة نهاد عن اسئلة المتبعين"
"162","574","الخاصة بقضايا المراة"
"163","576","التحرش وازاي تعرفي الراجل الزبالة من اولها <U+0001F60A> وميراث الست اللي بيطمع فيه اخواتها او جوزها"
"164","595","الاستشارات القانونيه"
"165","598","زواج القاصرات"
"166","599","توعية البنات والنساء عامة"
"167","600","فمرة ان الستات تعرف حقوقها و ان القانون يكون بيحميها و في صفها"
"168","605","حكايات البنات إلى نجحوا فى طريق عملهم"
"169","612","رفض ختان الاناث والتوعية"
"170","613","حقوق المرأة بعد الطلاق والتوعية بحقوق المرأة عامة"
"171","616","كلها مفيده جدا بالنسبه لى"
"172","620","دعم الستات"
"173","622","شغل المراه، التصرف ضد التحرش، تقدير المراه عموما و الاهتمام بمشاكلها"
"174","634","حلقه الشغل والتحرش"
"175","636","الاهتمام بحقوق المراه"
"176","641","مطالبة المراة بحقوقها وعدم التفريط"
"177","643","حرمان المرأة من حقوقها"
"178","644","حقوق المطلقات"
"179","645","قضايا المرأة"
"180","649","عمل المراة"
"181","652","كل المواضيع الى الدكتورة بتتكلم فيها بتبقا من واقع المجتمع واكيد لازم تعجبنى"
"182","656","عن المرأة وحقوقها"
"183","659","كل ما سمعت عجبني"
"184","667","الأسئلة الخاصة بقضايا المراة فى المحاكم"
"185","674","القوة والحزم في مواقف لازم تدخل قانوني صارم في أخذ الحقوق"
"186","689","تربية الاولاد"
"187","700","كلها بس محتاجين حلول"
"188","707","مشاكل اسربه"
"189","711","حق المرأة ف الدفاع عن حقوقها"
"190","725","ختان الاناث"
"191","733","القصص واقعيه والجريئه"
"192","734","التوعية بالقانون ..  كنت مش بعرف أن عندنا قوانين كظا"
"193","748","شرعية مشاركة المرأة العاملة في مصاريف البيت"
"194","753","ازاى الست بعد الطلاق او بعد سن الاربعين تقدر تسعد نفسها وتكتسب مهارات جديدة وكيف تصنع السعادة لنفسها"
"195","755","تشجيع المرأة والدفاع عن حقوق المرأة"
"196","764","دعم المرأة"
"197","769","الزواج المبكر"
"198","772","التحرش وازاي تبقي سعيدة وسيدات الأعمال الناجحات"
"199","773","التبسيط القانوني العامه وتبني قضايا المرأة"
"200","775","اهتمامها بقضايا المرأة ومشاكل الطلاق"
"201","780","ثقافة المجتمع والتمكين"
"202","786","العنف ضد الزوجات"
"203","787","اي مواضيع بتتكلم عن توعيه المرأة و أنها مخلوق مختلف عن الرجل و مش من العدل المساواه مع الرجل بتعجبني"
"204","788","مواضيع التحرش وختان الاناث"
"205","790","طريقة عرض المشاكل ومناقشتها وايه هي وسائل الدفاع عن المرأة وحقوقها وايه المنظمات اللي ممكن تلجأ ليها وبعض الأمور التوعية والتربية ..ألخ"
"206","792","كيفية التعامل فى حالة التحرش والعنف ضد المراة"
"207","793","ضرب الزوجة ورأى الشرع بين الحقيقة والدين قضايا الزواج والطلاق والخطوبة وقضايا رعاية الطفلة"
"208","794","نظرة الإسلام للمرأة وحقوقها القانونية"
"209","804","حقه المراه ف النفقه"
"210","810","شغل الستات"
"211","818","زواج القاصرات"
"212","820","كل المواضيع"
"213","829","بشاهد التي في لوقت قليل اووووي فعمري مشفت  حلقة كاملة بشوف مشاهد متفرقة"
"214","831","حق المراءة بعد الطلاق"
"215","833","الاغتصاب و التحرش فى مكان العمل"
"216","835","جرائم الاغتصاب وكيفيه مواجهتها"
"217","837","حقوق المرأة"
"218","841","كل المواضيع"
"219","851","ااقوانين الخاصه بالاسره والطلاق"
"220","859","حقوق المراءه"
"221","861","المطلقات"
"222","874","مواضيع الحقوق"
"223","881","العنف ضد المرأة"
"224","891","الطلاق"
"225","896","العنف ضد المرأه"
"226","902","مناهضة العنف ضد المرأة"
"227","912","المشاكل القانونية"
"228","928","قانون المرأة"
"229","931","انتخابات النواب"
"230","932","تنميه الذات وعدم الاعتماد على الاخرين"
"231","942","الحق في تقلد المناصب القيادية"
"232","945","عمل المرأة"
"233","946","خبرة الايتائة"
"234","949","كل المواضيع كانت مفيدة"
"235","953","الختان"
"236","959","كيفية مواجهة التحرش الجنسي"
"237","961","تمكين المرأة و ارشادها"
"238","963","اعاده تحديد الاهداف بين المتزوجين حتي الوصول للتوافق"
"239","964","طريقه عرضها وحكمتها فى الموازنة بين الامور"
"240","965","الختان كلام للرجاله"
"241","969","طرق اختصار الوقت في تحضير الاكل"
"242","970","الطلاق"
"243","972","الجوازه التانيه"
"244","975","وقف الرجاله للعنف ضد المرأه"
"245","978","دور الاب في تربية ولاده"
"246","985","عن الجواز والرجال والقوانين"
"247","987","ختان الاناث"
"248","989","كل الموضوعات"
"249","990","كل الموضوعات مهمة"
"250","991","التحرش الجنسي للاطفال"
"251","994","جميع المواضيع مفيده"
"252","998","النصائح للستات والبنات"
"253","999","مايخص زواج القاصرات"
"254","1003","حقوق المرأة بصفة عامة ومشاكل الأبناء بعد الانفصال"
"255","1023","الحياة مع بناتي وتاثيرهم علي اهتمامي بنفسي"
"256","1030","الحكايات"
"257","1033","المشاكل الاسريه"
"258","1040","بساطة الأسلوب"
"259","1041","الرسومات - الاستغناء عن الشغالة"
"260","1048","حقوق المرأة القانونية التي لا تعلم عنها شئ التعتيم"
"261","1049","اكثر المواضيع بتنقشها احنا فعلا بتحصل معانا في وقتنا الحالي"
"262","1051","نماذج الستات اللي عرفت تكون نفسها وتعمل من نفسها حاجه كويسه"
"263","1057","زواج القاصرات -اهمية الشغل للمرأة"
"264","1058","ختان الإناث"
"265","1066","التحرش بالاطفال"
"266","1077","التوفيق بين الشغل والمنزل"
"267","1078","التحرش"
"268","1079","حفيقى كل الحلقات"
"269","1082","قضية الفيرمونت"
"270","1083","ازاي مجيش ع نفسي"
"271","1085","الختان - التحرش - كل الحلقات مشوقة"
"272","1090","المواضيع القانونية لتوعية المرآة بحقوقها"
"273","1100","الختان و قانون الرؤية"
"274","1101","العنف ضد المراه"
"275","1106","حالات الطلاق"
"276","1107","نصائح"
"277","1109","حقوق المراة"
"278","1117","مواضيع كثيره تعجبنى"
"279","1125","الميراث للزوجه"
"280","1130","تمكين المراه من منزل الزوجيه والحضانه للاطفال"
"281","1132","حقوق المرأة ومشكلات أسرية"
"282","1135","عن الطلاق والتحديات التى تواجه المراة"
"283","1138","كلها"
"284","1140","العنف ضد المرأة"
"285","1143","اسئله المشاهدين"
"286","1146","الختان.  التوكيلات"
"287","1149","العنف ضد المرأه"
"288","1150","بيئة العمل الآمنة للصحفيات"
"289","1156","تعجبني كافه المواضيع المطروحة مفيده"
"290","1158","التحرش وختان الاناث والفرق بين الطلاق والخلع"
"291","1162","الموارث"
"292","1164","حقوق المرأة في القانون المصري"
"293","1166","موضيع عن حقوق المراه والتحرش"
"294","1170","التحرش و العقود"
"295","1183","التوكيل العام"
"296","1189","التحرش"
"297","1214","كلامها دايما عن أن الست متقبلش الاهانه وتاخد حقها بالقانون"
"298","1216","كلهم"
"299","1218","كلهم"
"300","1224","مواضيع القانون"
"301","1226","التى تخص المراه"
"302","1227","حلقات التحرش و التوفيق بين الشغل و البيت و أخري"
"303","1228","مساعدة المشاهد علي التوعية"
"304","1231","التحرش"
"305","1236","المعاناة"
"306","1237","الأسئلة الخاصة بالدعم القانونى"
"307","1238","الفيرمونت"
"308","1244","الموضوع بشكل عام تم شرحة بشكل مختصر ومفصل كان فيه اشكال مثلا للتحرش لم أدرك بأنها كانت كذلك"
"309","1258","قضية الفرمومت"
"310","1260","كلها كانت جميله وموضوعات قويه"
"311","1262","كلهم"
"312","1264","قضايا المرأة"
"313","1274","العنف ضد المرأة"
"314","1280","موضوع المواريث"
"315","1282","العنف ضد النساء"
"316","1285","مناقشه الختان اظن هيكون ليكم دور ف القضاء عليه للابد"
"317","1288","عن حقوق المراه وزواج القاصرات"
"318","1290","كتير كلها مواضيع مهمه وتفيد الاسرة والشباب"
"319","1291","ازاي أبلغ عن التحرش"
"320","1302","مواضيع الوعي الذاتي والتطوير الشخصي في حلقات اليوتيوب والمواضيع اللي بتتكلم عن حقوق الزوجة والأم"
"321","1303","عدم الختان واختيار الزوج"
"322","1304","محاربه الختان"
"323","1306","الميراث"
"324","1309","ختان البنات"
"325","1313","مواضيغ اللى تخص تعدد الزوجات ومعامله الزوج"
"326","1314","زواج القاصرات"
"327","1318","حقوق المراءة"
"328","1319","عن المراه"
"329","1321","التحرش الجنسي"
"330","1322","كله"
"331","1325","ختان الاناث"
"332","1326","ردودها علي اسئلة الناس كلها<U+2764><U+FE0F><U+2764><U+FE0F>"
"333","1327","الختان"
"334","1328","المراة العاملة"
"335","1335","قضايا الاغتصاب"
"336","1336","الفرق بين الخلع والطلاق والتحرش الجنسي بالأطفال"
"337","1341","أي مشكلات بخصوص المرأة بتعجبني"
"338","1343","المشاكل الأسرية"
"339","1347","الاراء القانونية بشكل عام والاهتمام بدور المرأة"
"340","1349","موضوع اطفال الطلاق"
"341","1350","التحرش"
"342","1351","المعلومات القانونية (الميراث وغيرها)"
"343","1359","كل حاجه خاصه بتوعية المرأه وحقوقها وقضية الفرمونت"
"344","1364","ازاى الستات تتصرف لما تواجه التحرش بها وعدم خوفها وكيفية مواجهه الأمر"
"345","1372","حقوق المرأة والطفل"
"346","1373","كان في موضوع عن ان ازاي الستات عموما بيعرفوا يجيبوا حقهم بس هما اللي بينفضوا كله بس وقت الجد ممكن تجيب حقها من اي حد و ميهمهاش"
"347","1375","القصص اللي بتحكي عن ستات ومشاكل ليهم وازاي تقدر تاخد حقها وايه الاعضاء اللي ضيعت حقها وكمان ختان الاناث"
"348","1376","الختان"
"349","1379","حقوق المرأة قانونا"
"350","1381","التحرش"
"351","1383","المواضيع الخاصة بالتحرش"
"352","1395","تعجبني طريقة تناول المواضيع بصرف النظر عن الموضوع نفسه"
"353","1397","العنف الاسرى"
"354","1400","مشاكل الطلاق والعنف ضد المرأة"
"355","1407","تمكين المراة"
"356","1414","حقوق المرأة"
"357","1417","التحرش والختان والمرأه المعيله"
"358","1423","جريمة اغتصاب فندق فيرمونت . نفقة المطلقات ."
"359","1428","المشاكل الزوجية"
"360","1430","الميراث - اختيار الزوج"
"361","1431","تمكين المرأة اجتماعيا"
"362","1435","المواضيع الخاصة بحقوق وتوعيه المراه"
"363","1443","الزواج العرفي"
"364","1447","تجارب حقيقية"
"365","1455","قضايا المرأة"
"366","1458","التحرش"
"367","1460","التوعية بحقوق المرأة"
"368","1462","مواجهة العنف ضد المرأة"
"369","1469","الختان"
"370","1470","حقوق المراه"
"371","1471","كله"
"372","1475","مواضيع التحرش الجنسي"
"373","1476","مواضيع عن تمكين المرأه ف القانون انها تاخد حقها"
"374","1480","التي تتحدث عن كيفية تعامل الرجل مع زوجته وعدم  اهانتها وبشكل عام تعامله مع المرأه وان المراه يجب ان تبقي قويه لاتقبل الاهانه من البدايه ولاتسمح لاحد بان يضايقها"
"375","1481","مره اتفرجت على حلقه عن المذاكره عدم إجبار الأطفال على ساعات معينه من المذاكره فساعه واحده بتركيز تعطي ثمار اكثر من 3او4ساعات..."
"376","1487","الفرق بين الخلع والطلاق وحاجات كتير بستفاد منها"
"377","1488","أهمية العمل للمرأة ومواجهة التحرش"
"378","1491","ردودها على المشاكل الي يتتبعت على البرنامج"
"379","1495","العنف ضد المرأة"
"380","1502","ازاي اكون شخصيه مهمه... والجوازه التانيه.سجن الخوف.. ختان البنات وغيرها كتير"
"381","1507","كل المواضيع جميلة"
"382","1510","حقوق المرأة في العمل"
"383","1513","خيتان الاناث والتحرش الجنسى"
"384","1516","قضايا المرأه بشكل عام"
"385","1519","ازاى تبقى شخصية مهمه"
"386","1530","التحرش"
"387","1531","حلقات التحرش والعنف ضد المراه"
"388","1534","التحرش والفرق بين الطلاق والخلع وجرائم الاغتصاب ومواجهتها"
"389","1540","ختان الإناث وكيفية التعامل مع الزميل المتحرش في العمل"
"390","1546","مواضيع التحرش"
"391","1550","نفس الموضوعات التى ذكرتها"
"392","1551","الحقوق القانونيه للانسان سواء رجل او امراءه"
"393","1552","التعليم"
"394","1555","حقوق المرأه عند الطلاق"
"395","1566","ممكن القضية اللي بتتكلم عن الأسرة وعن المرأة اعتقد جميع موضيع الحلقة عجبتني"
"396","1567","القوانين والمحاكم والعنف ضد المراه"
"397","1568","قضايا المرأة ومناقشة رسائل الناس"
"398","1573","توضيح حقوق الزوج والزوجه والابناء"
"399","1575","رفض الختان و منعه"
"400","1579","برنامج هادف واللي بتقدمه متمكنة جداً وبتحاول تساعد الناس وتقدملهم حلول لمشاكلهم وتوعيهم"
"401","1583","التحرش"
"402","1584","الطلاق"
"403","1585","ازاي تدفعي عن نفسك من المتحرشين"
"404","1591","المرأه ومشاكلها والاغتصاب وخاصه قضبه الفيرمونت"
"405","1595","التحرش، الدعم القانوني"
"406","1599","معرفة حقوق المرأة"
"407","1601","التحرش"
"408","1605","الخلع"
"409","1610","تمكين المرأة والخلع"
"410","1613","حق المراه"
"411","1614","الختان وتمكين المراه"
"412","1615","الختان وطرق التوعية"
"413","1616","موضوع ختان الاناث"
"414","1618","الاغتصاب وزواج البنات"
"415","1620","حقوق المرأة"
"416","1622","ازاى تبقى شخصية مهمة"
"417","1630","العنف ضد المرأة"
"418","1632","كلها مواضيع شيقه بتجذب للنهايه"
"419","1635","ورث المرأه"
"420","1636","الطلاق"
"421","1637","ختان الاناث"
"422","1639","الحياتية"
"423","1640","المشاكل الأسرية"
"424","1641","التوعية القانونية والحقوقية"
"425","1644","المجتمع المدني ""تأهيل و تمكين السيدات """
"426","1646","تكسير القيود الجندرية (ان الراجل ممكن يعيط/يعبر عن مشاعره) كمان برضه توعية الستات عن أنواع الشخصيات السامة من الرجالة"
"427","1657","توعية المرأة بحقوقها وازاي تقدر تتغلب علي مشاكل الانفصال"
"428","1659","موضوع تمكين المرأة من الشقة"
"429","1660","إن اذاي تاخدي حقك من غير غلط واذاي اكلم في حقي"
"430","1667","التحرش"
"431","1673","التعرض للاعتداء"
"432","1675","زواج القاصرات"
"433","1676","الاسرة"
"434","1683","حضانة الاطفال وتمكين الزوجة من الشقة"
"435","1684","الجولة التعريفية"
"436","1685","حقوق المرأه"
"437","1689","تحرش العنف ضدد المراة"
"438","1692","كل مواضيع الحلقات"
"439","1694","قضايا المراة"
"440","1696","كل الحلقات تحفه"
"441","1702","معيير المجتمع مع المره"
"442","1706","سن ال40"
"443","1712","مناقشة قانون الخلع"
"444","1716","اذى نحمى البنات من التحرش اوى هى حقوقها"
"445","1717","ازاي اي ست تعرف حقوقها وتجبها ب القانون"
"446","1726","ممعرفة الحقوق"
"447","1728","التحرش الجنسى"
"448","1730","توعية المرأة بحقوقها القانونية و محاربة التحرش"
"449","1731","التحرش"
"450","1732","كلهم حلويين"
"451","1733","لكن بصفه عامه يستفيد من جميع النواحي و خصوصا القانونيه"
"452","1735","يعني ايه راجل و الختان والانترنت"
"453","1736","قضايا التحرش ومناقشة الاستاذة نعاد لها ومداخلتها مع البرامج المختلفة"
"454","1737","البنات والانترنت"
"455","1738","العنف ضد المرأة"
"456","1745","معرفه المراه بحقوقه القانوني"
"457","1747","كتير"
"458","1751","الدفاع عن المراة والمطالبة بحقوقها"
"459","1752","التوعية بحقوق المراة و الدعم القانوني لأوضاعها"
"460","1753","التحرش والأغتصاب في والشاب المتهم بالتحرش  .. زواج البنات ووتنظيم الوقت والبيت   .. الختان ورأى الدين"
"461","1754","الختان"
"462","1755","الطلاق"
"463","1761","انها بتدافع و تشجع المرأة و إنها مش لوحدها و كمان مش بتلقي اللوم على البنت اللي بتتعرض للتحرش و بتنسى جريمة المعتدي"
"464","1767","كله"
"465","1768","المشاكل المتعلقة بالطلاق"
"466","1769","العنف ضد المرأة"
"467","1775","تمكين المرأة من بعض الحقوق المجتمعية"
"468","1776","تعديل بعض مفاهيم الرجولة الشرقية العقيمة"
"469","1781","موضوع الختان"
"470","1786","الختان"
"471","1787","جواز البنات - قضايا النفقة"
"472","1793","ختان البنات"
"473","1794","ف المجمل كلهم حلوين بصراحه"
"474","1795","يعنى ايه راجل"
"475","1796","حقوق المرأه"
"476","1797","العنف الأسري"
"477","1798","اهتمام الدولة بختان الاناث وعمل عقوبات اشد"
"478","1799","الختان والانترنت"
"479","1806","العنف الاسري"
"480","1808","ختان الاناث"
"481","1811","الطلاق وتاثيره"
"482","1819","كل الموضوعات كانت مهمه ومفيده"
"483","1820","مشاكل النفقه"
"484","1822","تعليق الدكتورة نهاد علي التحرش"
"485","1827","ازاى احمى نفسى من النصب /وحقوق المرأة"
"486","1828","ازاي تدفعي عن نفسك من المتحرشين"
"487","1831","مواضيع الاسره  ومدي وارتباطها"
"488","1833","محاربه الختان"
"489","1834","كل مواضيع الاستاذه نهاد مفيده"
"490","1846","قضايا المراة وما تتعرض له"
"491","1848","حقوق المطلقات"
"492","1853","شرح اذاي اخد حقي وانصرف اذاي اذا حد اتحرش بيا"
"493","1854","التحرش في العمل ، طلاق"
"494","1856","السن المذدهر بعد 40 سنه"
"495","1859","المشاكل القانونيه"
"496","1872","جريمة ختان الاناث"
"497","1873","توضيح حقوق المرأة وما لها و ما عليها"
"498","1881","الختان"
"499","1882","مواجهة ضرب وظلم الرجل للمراة"
"500","1884","تشجيع المرأة انها تعيش حياه كريمه"
"501","1885","قضايا المرأة"
"502","1890","اذاي اتعامل تعرضت للتحرش"
"503","1892","اهمية الشغل والتوفيق بين الشغل والبيت"
"504","1895","الزواج والختان وازاي اكون شخصيه مهمه. كل المولضيع جميله"
"505","1902","قضايا الطلاق"
"506","1908","سجن الخوف ازاي تبقي مهمة"
"507","1910","مواضيع العنف والختان"
"508","1917","ازاي اكون شخصيه مهمه"
"509","1921","فتيات تيك توك وقضية قيم الاسرة المصرية"
"510","1926","العنف المنزلى"
"511","1935","شروط وثيقة الزواج  والتحرش"
"512","1936","بعض القوانين لحقوق الإنسان"
"513","1937","طريقة طرح الموضوع والحلول"
"514","1939","حاجات كتير ازاي ابني نفسي ازاي اظبط وقتي واقدر ذاتي"
"515","1941","موضوع التحرش"
"516","1942","مواضيع عن حقوق الزوجة المادية عند العقد والمواريث"
"517","1946","كلهم"
"518","1953","العنف والختان والتحرش"
"519","1956","المساندة القانونيه للمراة"
"520","1957","التحرش"
"521","1961","التحرش في الشغل"
"522","1962","حق المرأة"
"523","1971","اسلوب دكتوره نهاد بصفه عامه"
"524","1976","الموضوع الخاص بالتحرش"
"525","1977","قضاياه المراءه والتحريش"
"526","1989","موضوع التحرش وموضوع العنف اللي زاد ضد المراه مع وجود كرونا"
"527","1993","معرفه الست لحقوقها كامله من كل النواحي"
"528","2003","كل المواضيع هامه"
"529","2008","ماري اسعد وعزيزه حسين"
"530","2013","ختان الإناث"
"531","2016","تعرفه المرأه بحقوقها"
"532","2030","جميع المواضيع جيدة وخاصة التركيز على توعية الفتيات ضد التحرش الجنسى"
"533","2041","اهميه الشغل"
"534","2045","عقوبه المتحرش وتفعيل قانون التحرش"
"535","2054","الختان"
"536","2055","تعريف المرأة بحقوقها المالية"
"537","2061","الحديث عن القوانين المدنية الخاصة بحقوق المرأة والحضانة في حالات الانفصال"
"538","2064","كل الحلقات"
"539","2071","دعم قضية ضد العنف للمرأة"
"540","2073","دور الشباب والرجاله في مواجهه التحرش"
"541","2079","العنف ضد المراة"
"542","2084","التحرش في العمل"
"543","2105","التحرش"
"544","2107","مشاكل المراءه وان لها دور كبير في المجتمع والسعي على إظهار هذا الدور"
"545","2115","التحرش الوظيفي"
