v1,linex,assignment,should_exclude,responded,donation,network,sms,date,link,responseidx,responseidy,payment_amt
14,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 13:37:20,original_link,R_paeRXytRvQ4SP5v,R_2e3ap2rOakMS3jk,25 EGP
15,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 07:29:01,original_link,R_paeRXytRvQ4SP5v,R_u51Ue9roSnAhfbP,25 EGP
16,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 05:01:58,original_link,R_paeRXytRvQ4SP5v,R_3O823LkYTP1l3mI,25 EGP
17,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:05:09,original_link,R_11au6iPfJkONQne,R_1hya9XsnolMEyjD,25 EGP
18,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 05:06:18,original_link,R_11au6iPfJkONQne,R_bqJRH1c7wO0Om5P,25 EGP
19,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:01:10,original_link,R_5nDKPSJXlM0tJIZ,R_1PSNSKWxhJ9LAhj,25 EGP
20,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 03:51:26,original_link,R_5nDKPSJXlM0tJIZ,R_qEeZ0G2WDHtvAzL,25 EGP
21,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",11,0,2020-09-15 14:45:57,original_link,R_1HcOstv9msOmyO6,R_6LPJsXB6SggqoXn,25 EGP
22,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 09:54:54,original_link,R_1HcOstv9msOmyO6,R_1o28b1keO0BVR6B,25 EGP
23,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-13 04:37:33,original_link,R_Tcp8IMRIMMQkfYd,R_1Nyyu1G4BG04iPk,25 EGP
24,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-25 05:37:20,original_link,R_Tcp8IMRIMMQkfYd,R_1erf5NnCPIHytjb,25 EGP
25,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-13 06:59:52,original_link,R_2eau93EOUgUso2m,R_3fPEw4Im7ktmYTt,25 EGP
26,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 11:30:58,original_link,R_2eau93EOUgUso2m,R_2tnDoAIu50qNjjL,25 EGP
27,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:02:50,original_link,R_soq3yFzBMeR2qJz,R_2qrCl8Fhf33i1SD,25 EGP
28,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 04:13:15,original_link,R_soq3yFzBMeR2qJz,R_2PzAi8QpLTfk4pY,25 EGP
29,1,Facebook,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-10 13:26:17,original_link,R_2WM46l3kp7Jahp9,R_2tthk7tMiYzLoVI,25 EGP
30,1,Facebook,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-24 12:22:38,original_link,R_2WM46l3kp7Jahp9,R_z0gknaEX9vdnqgN,25 EGP
31,1,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 16:37:00,original_link,R_2bHMq9r9KDUy0KM,R_3e8kiBd2BiBjPjB,25 EGP
32,1,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-16 08:40:37,original_link,R_2bHMq9r9KDUy0KM,R_2ypTZtYNtLt6iR0,25 EGP
33,1,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 08:36:51,original_link,R_2bHMq9r9KDUy0KM,R_8xhP7QrefaQc8Jb,25 EGP
34,1,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-21 16:35:47,original_link,R_12ha8iNf47DGlQE,R_3rImSoQfrYBt2fL,25 EGP
35,1,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-26 19:17:17,original_link,R_12ha8iNf47DGlQE,R_2aKNXHNbNPHkr8c,25 EGP
36,2,Facebook,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Orange,0,2020-09-10 14:09:36,original_link,R_86xpDQgjb4JAH9D,R_UmyEaDoHfik2b8B,15 EGP
37,2,Facebook,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Orange,0,2020-09-15 14:17:05,original_link,R_86xpDQgjb4JAH9D,R_1IgVgilC1doCsxM,15 EGP
38,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-22 09:07:13,original_link,R_xlTADNJLRPv7JUl,R_3GjFjHuKVH83rtm,25 EGP
39,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-23 12:54:14,original_link,R_xlTADNJLRPv7JUl,R_3EXzIVshOdLaaOF,25 EGP
40,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 06:02:58,original_link,R_xlTADNJLRPv7JUl,R_2wnRCajl99FVnM0,25 EGP
41,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 11:39:46,original_link,R_W7fhWqQD2i4rUqt,R_2CmrMYAPHpjPc9B,25 EGP
42,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 14:13:39,original_link,R_W7fhWqQD2i4rUqt,R_1otEUFvbGbyVcVI,25 EGP
43,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-22 06:30:48,sms1_link,R_W7fhWqQD2i4rUqt,R_1Km7XoQYKlr1ORC,25 EGP
44,3,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 18:22:11,original_link,R_2BnUOnXTbM3Fuoy,R_26m3Y0e84YfR3pn,25 EGP
45,3,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-10-03 08:30:52,original_link,R_2BnUOnXTbM3Fuoy,R_YcwUB3TtMXKlFip,25 EGP
46,3,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-13 19:24:21,original_link,R_2AMwn5dr05hqYbG,R_AuQYeKUAtrF9NTP,25 EGP
47,3,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-13 19:35:13,original_link,R_2AMwn5dr05hqYbG,R_2VRc4WpUGQOpEWm,25 EGP
48,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 11:47:31,original_link,R_cvAnTgtV5FBD12V,R_2THNOIgdVeGdoj1,25 EGP
49,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-20 03:58:48,original_link,R_cvAnTgtV5FBD12V,R_3Enz4IFLrKKqjOX,25 EGP
50,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-12 01:43:34,original_link,R_3fplWlfpHlFcMxo,R_2Br0mHYQN4nQI2s,25 EGP
51,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-16 07:11:52,original_link,R_3fplWlfpHlFcMxo,R_2bOSDo4yc1MWd3s,25 EGP
52,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-22 01:41:02,original_link,R_1hXTxw8rKbLrd21,R_3n03hu9Z97OjXJX,25 EGP
53,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-22 01:49:28,original_link,R_1hXTxw8rKbLrd21,R_1EajUcc1JLTrWkZ,25 EGP
54,3,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-10 11:51:28,original_link,R_O7JH8e2hko31M09,R_W98b7vgfPux7xrb,No Payment
55,3,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-17 10:16:25,original_link,R_O7JH8e2hko31M09,R_byky3oZLVWv7mIV,25 EGP
56,4,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-11 00:20:23,original_link,R_3qK9hN12OPkg4Jj,R_3Hiy8dO5PjX5zEr,No Payment
57,4,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-11 14:51:25,original_link,R_3qK9hN12OPkg4Jj,R_3COROH5PUt2FBgf,No Payment
58,4,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-15 17:47:41,original_link,R_3qK9hN12OPkg4Jj,R_3RsJmEGW0ogt3Lo,No Payment
59,4,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 11:44:52,original_link,R_1KZhPBxwmjQKC7T,R_123xpc1I5NESeYM,25 EGP
60,4,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-14 09:29:50,original_link,R_1KZhPBxwmjQKC7T,R_0dKCNwiKUsm5YnT,25 EGP
61,4,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 12:01:09,original_link,R_u2DAYIJZmf8UpWx,R_21cZobVB4GLbn2M,25 EGP
62,4,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-15 15:08:47,original_link,R_u2DAYIJZmf8UpWx,R_BJ6B2ZRnuPZCHmN,25 EGP
63,5,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 14:54:04,original_link,R_2PpNe9INPRTYJ3p,R_2TZEqzcqr9H7a0k,25 EGP
64,5,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-15 12:43:27,original_link,R_2PpNe9INPRTYJ3p,R_1GyoDdAcNYM1L5l,25 EGP
65,5,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 01:26:34,original_link,R_2YSnQ0LkVuBr0Zi,R_1fkk6W550otxZ7b,25 EGP
66,5,Control,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-16 03:06:23,original_link,R_2YSnQ0LkVuBr0Zi,R_REylzTMjtEtvEtP,15 EGP
67,5,Control,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 13:15:20,original_link,R_1gTlDHFFO5Is0hf,R_5BJjJeWFH0w5CA9,15 EGP
68,5,Control,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-15 13:00:26,original_link,R_1gTlDHFFO5Is0hf,R_em9WVsUUiwD0Tvz,15 EGP
69,5,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-21 16:20:36,original_link,R_1gzn6kShX9vt62s,R_Cam0iVQkO847oLD,25 EGP
70,5,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-24 13:56:08,original_link,R_1gzn6kShX9vt62s,R_24Ovb5S69ThSoX7,25 EGP
71,5,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 12:53:06,original_link,R_3IPQeDCw52hCzLr,R_1d9UALeuZN1wSmx,25 EGP
72,5,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-21 17:04:36,original_link,R_3IPQeDCw52hCzLr,R_3ly6vTjgnNr5Ixa,25 EGP
73,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-10 12:38:24,original_link,R_bxvFoG4NJuSwStP,R_BVN2SIZToeV1sfn,25 EGP
74,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-10 18:13:44,original_link,R_bxvFoG4NJuSwStP,R_3Hk3t548klM1T5Q,25 EGP
75,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,1,2020-09-25 11:51:04,original_link,R_33qzVzRa1B1G779,R_3GBpM1WgRHBWBpN,25 EGP
76,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,1,2020-09-28 10:30:19,sms1_link,R_33qzVzRa1B1G779,R_3koaMCVAYXooyLi,25 EGP
77,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-10 12:33:18,original_link,R_2amIygeNqxKpe7j,R_t0xMdRzsT9ATO25,25 EGP
78,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-22 00:28:26,original_link,R_2amIygeNqxKpe7j,R_1rIKlejkdDMNPAF,25 EGP
79,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-12 12:18:11,original_link,R_uxY5zFlr6kaOef7,R_2sdajDaQYKySAWF,25 EGP
80,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-12 13:50:18,original_link,R_uxY5zFlr6kaOef7,R_3DcnY3rHJcYj6bW,25 EGP
81,6,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-25 13:51:35,original_link,R_uxY5zFlr6kaOef7,R_2rPllyVQCyS2J3A,25 EGP
82,6,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-17 15:21:19,original_link,R_3CJdZ2kDddUi4Bp,R_VR30rCDEtMlBes9,No Payment
83,6,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-24 11:52:41,original_link,R_3CJdZ2kDddUi4Bp,R_1PZynk4CzV5LVxH,No Payment
84,6,Facebook,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Orange,0,2020-09-11 15:12:43,original_link,R_vH4OeM006agsP17,R_3jdMUG3zfbTSXFk,15 EGP
85,6,Facebook,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Orange,0,2020-09-21 10:08:28,original_link,R_vH4OeM006agsP17,R_RySefIHWoy5h1Zv,15 EGP
86,6,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-15 13:44:36,original_link,R_1JWNEfDpbYFijp8,R_siAvYcCRZwfzyX7,25 EGP
87,6,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-23 06:23:33,original_link,R_1JWNEfDpbYFijp8,R_xfOlFxdqJOzHHVv,25 EGP
88,6,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-10 13:27:21,original_link,R_10wq3ghiLGnGKjs,R_RKrfN9s7gg80aCl,25 EGP
89,6,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-15 14:58:29,original_link,R_10wq3ghiLGnGKjs,R_1hKm748jxSQh6kM,25 EGP
90,7,Control,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 14:30:31,original_link,R_XLfQxgbBhJ2w8NP,R_2PBdA5Stni9fxiG,15 EGP
91,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-19 13:23:45,original_link,R_XLfQxgbBhJ2w8NP,R_1rIlOcAu6oc1mqS,25 EGP
92,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 21:59:01,original_link,R_3KVAnuVmd5fByBY,R_1myBfGkWwxBaMT7,25 EGP
93,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 07:15:39,original_link,R_3KVAnuVmd5fByBY,R_23vQZr4zwwSXeKd,25 EGP
94,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:14:29,original_link,R_2pRAgE1HHoRg57a,R_3DwQtSJzf8t8gcP,25 EGP
95,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 16:14:53,original_link,R_2pRAgE1HHoRg57a,R_sRx685yQE9GMKnD,25 EGP
96,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 11:43:05,original_link,R_110eCgxV7Eqe9zt,R_2xYpj2nu2XMeNJr,25 EGP
97,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 15:17:07,original_link,R_110eCgxV7Eqe9zt,R_3rYrLQXn9wdF3UC,25 EGP
98,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-13 01:20:53,original_link,R_2c61naXrm0nwUcb,R_8wyfOX8lPo9zbTX,25 EGP
99,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-16 03:43:09,original_link,R_2c61naXrm0nwUcb,R_3n63xk5ek9ihG2r,25 EGP
100,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 13:32:19,original_link,R_2QWLAUB4Zoo1NgK,R_8GPsBX0ziQBXsNH,25 EGP
101,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 13:38:24,original_link,R_2QWLAUB4Zoo1NgK,R_3prKbPXUzGNHexf,25 EGP
102,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 16:27:37,original_link,R_0iyzXyepZsAJeO5,R_6YfJsUa7TgphmfL,25 EGP
103,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 16:47:40,original_link,R_0iyzXyepZsAJeO5,R_OHTIlpw4OYRJk9b,25 EGP
104,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-12 04:42:05,original_link,R_1r61MjCMnB7zF2z,R_12G8SmfeiAYzmKn,25 EGP
105,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-12 07:00:58,original_link,R_1r61MjCMnB7zF2z,R_2uVEPcitTD823Fm,25 EGP
106,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 17:32:48,original_link,R_3P7vCIjyZAASN6a,R_21pIugC9gRMiU2b,25 EGP
107,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-15 15:19:43,original_link,R_3P7vCIjyZAASN6a,R_3h09MAEsLT6u5pb,25 EGP
108,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-12 08:58:56,original_link,R_2R8GpuTyPH7RQDf,R_3fvGcuSGj5XLb2y,25 EGP
109,7,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-15 19:20:55,original_link,R_2R8GpuTyPH7RQDf,R_29ogwNNgrcAahuN,25 EGP
110,7,Facebook,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 14:36:22,original_link,R_3h9ZHzlG4tlCPcE,R_2uDwwl03zpkIfB1,15 EGP
111,7,Facebook,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 14:49:33,original_link,R_3h9ZHzlG4tlCPcE,R_1Qi4nhSr9YdK1nT,15 EGP
112,7,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 15:44:27,original_link,R_1riVFQTYm1HnQtG,R_3kdE6fUCts1jfns,25 EGP
113,7,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-12 07:51:46,original_link,R_1riVFQTYm1HnQtG,R_UcE0cdfna2p7qNj,25 EGP
114,7,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-13 09:54:23,original_link,R_2D5FGMIymOQZ1ZM,R_210wIqFLV9iNwkU,25 EGP
115,7,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-15 16:36:19,original_link,R_2D5FGMIymOQZ1ZM,R_en6Gj7UXnw7ea8p,25 EGP
116,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:16:47,original_link,R_1C7wN7aBA4MdeM5,R_3R8WX2TOx0eTekC,25 EGP
117,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-28 09:18:17,original_link,R_1C7wN7aBA4MdeM5,R_1QEqlfQBgeH9PPe,25 EGP
118,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:15:01,original_link,R_ZDCAuXDQLL3h7UZ,R_3s4Y64SzjZvKV7G,25 EGP
