"","index","know_online","know_online1","know_online2","know_online3","know_online4","know_online5"
"73","219","First:,Second:,Third:","موقع موضوع","موقع جريدة اليوم السابع","موقع المجلس القومي لحقوق المرأة",NA,NA
"74","227","First:,Second:","جمعية حقوق المرأة","جمعية نور",NA,NA,NA
"75","228","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","وزارة التضامن","الشرطة","المركز بتاعكو","هبحث ع النت لو احتجت"
"76","237","First:,Second:,Third:,Fourth:","اليوم السابع","المصرى اليوم","الفيس بوك","تويتر",NA
"77","239","First:,Second:,Third:","حقوق المرأه","جبهة الإنقاذ الاسره المصريه","حقوق الطفل والاسره",NA,NA
"78","241","First:,Second:,Third:","المجلس القومى للمرأه","مؤسسه حقوق الانسان",NA,NA,NA
"79","242","First:,Second:,Third:,Fourth:,I do not know any.","لا اعرف","لا اعرف","لا اعرف","لا اعرف",NA
"80","244","First:,Second:,Third:","مؤسسة الاورو","جمعية حقوق المرأة","منظمة العفو الدولية",NA,NA
"81","250","First:","الاخبار المصرية",NA,NA,NA,NA
"82","251","First:,Second:,Third:","مشاكل الفيس","الشغل (لما كنت بشتغل )","الاهل",NA,NA
"83","260","First:,Second:","16000","المجلس القومى للمراة",NA,NA,NA
"84","273","First:,Second:,Third:","الزعيق","الاهانه","الضرب",NA,NA
"85","276","First:,Second:,Third:,Fourth:,Fifth:","جمعيات حقوق المرأه","دكتور نفسي","جوجل","مكاتب اس تشارات","مجموعة أو جراءات متخصصه في هذا الشأن"
"86","278","Second:,I do not know any.",NA,NA,NA,NA,NA
"87","283","First:","Facebook",NA,NA,NA,NA
"88","284","First:,Second:","موقع شعبه النهوض","منظمه العفو الدوليه",NA,NA,NA
"89","288","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"90","292","First:","الفيسبوك",NA,NA,NA,NA
"91","294","First:,Second:","المجلس القومى لحقوق المرأه","صفحات الاستشاره القانونيه",NA,NA,NA
"92","295","First:,Second:","برامج","افلام قصير مت اليوتيوب",NA,NA,NA
"93","296","First:,Second:,Third:,Fourth:","فديوهات يوتيوب","مجموعات دعم فيس بوك","صفحات تنميه بشرية","صفحات اطباء نفسين",NA
"94","297","First:,Second:","حقوق المرأه","العنف ضد المرأه",NA,NA,NA
"95","299","First:","Facebook",NA,NA,NA,NA
"96","300","First:","الفيس بوك",NA,NA,NA,NA
"97","301","First:,Second:,Third:,Fourth:,Fifth:","face book","whats app","instagriam","twitter","telegram"
"98","302","First:","لا اعرف",NA,NA,NA,NA
"99","307","First:,Second:,Third:,Fourth:,Fifth:","Face book","انستجرام","واتس اب","ماسنجر","ايمو"
"100","308","First:,I do not know any.","مؤسسه حقوق المرأة",NA,NA,NA,NA
"101","311","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"102","312","First:,Second:,Third:,Fourth:","الانترنت","التلفزيون","الجيران","العمل",NA
"103","313","First:","صفحة المجلس القومي للمرأة",NA,NA,NA,NA
"104","315","First:,Second:","مجلس حقوق المرأة","الاسرة والطفل",NA,NA,NA
"105","320","First:,Second:","انتى مش لوحدك","المركز القومى لحقوق المرأة",NA,NA,NA
"106","321","First:,Second:","برنامج بيوت منورة هالة سمير","هي و بس رضوي الشربيني",NA,NA,NA
"107","323","First:","الشرطة",NA,NA,NA,NA
"108","326","First:,Second:,Third:","المجلس القومي للمرأة","16000 نجدة الطفل","15115",NA,NA
"109","328","First:,Second:","مركز صحه المراه والتعلم","مشروع مناهضه العنف الاسري",NA,NA,NA
"110","329","First:,Second:","محكمه الاسراه","منظمه حقوق المراه",NA,NA,NA
"111","330","First:,Second:,Third:","المجلس القومي لحقوق المرأة","المجلس القومي للأمومة والطفولة","نجدة الطفل",NA,NA
"112","331","First:,Second:","المجلس القومي لحقوق المرأه","الخط الساخن لشكاوي المرأة 16048",NA,NA,NA
"113","332","First:,Second:,Third:,Fourth:,Fifth:",NA,NA,NA,NA,NA
"114","333","First:,Second:","المجلس القومي للمرأه","حملة اريد حلا",NA,NA,NA
"115","334","First:,Second:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"116","335","First:","الفيسبوك",NA,NA,NA,NA
"117","336","First:,I do not know any.","بحاول ابحث ع اليوتيوب حل المشاكل الأسرية",NA,NA,NA,NA
"118","338","First:","المركز القومى للامومه والطفوله",NA,NA,NA,NA
"119","339","First:,Second:,Third:","حقوق المرأه","مؤسسه المحاميات المصريات","مركز النديم للعنف الاسري",NA,NA
"120","344","First:,Second:,Third:","المجلس القومي للمرأة","التاء المربوطة","وحدة مناهضة العنف ضدد المرأة",NA,NA
"121","347","First:","حقوق اللمرأة",NA,NA,NA,NA
"122","353","First:,Second:","حكايات نهاد","المجلس القومي للمرأة",NA,NA,NA
"123","356","First:","حمالات العنف ضد المرأة",NA,NA,NA,NA
"124","357","First:,Second:,Third:,Fourth:,Fifth:","جروبات الفيس","جريده المصريه واخبار اليوم","شات بيني وبين اصحابي","جروبات الواتس","Mbc مصر وقنوات أخري بتعرض الحاجات دي"
"125","361","First:","مركز النديم",NA,NA,NA,NA
"126","362","First:,Second:","يوتيوب","فيس بوك",NA,NA,NA
"127","364","First:,Second:","الفيس بوك","مركز حقوق الإنسان",NA,NA,NA
"128","366","First:","المركز القومي للمرأة",NA,NA,NA,NA
"129","370","First:","الجروبات النسائية",NA,NA,NA,NA
"130","372","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"131","373","First:","الابلاغ في قسم الشرطه",NA,NA,NA,NA
"132","375","First:","الجروبات النسائية ، ستات كتير مبتبقاش لاقية حد تلجألة فبتعرض قصتها علي ستات تانية املًا انها تلاقي الحل",NA,NA,NA,NA
"133","378","First:,Second:,Third:,Fourth:,Fifth:","منظمه العنف الدوليه","شعبه النهوض بالمرأه","صندوق الأمم المتحده الأنمائي للمرأه","الجمعيات الأهليه المعينه بوضع المرأه ""القاهره","لا اعرف<U+0001F642>"
"134","380","First:",NA,NA,NA,NA,NA
"135","382","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","يوتيوب","انيستا","تويتر","واتس"
"136","384","First:,Second:","المجلس القومي للمرأة","جمعيات ومنظمات المجتمع المدني",NA,NA,NA
"137","387","First:","جروب امهات مصر المعيلات",NA,NA,NA,NA
"138","388","First:,Second:","المجلس القومي للمرأة","جروب امهات مصر المعيلات",NA,NA,NA
"139","395","First:,Second:","جمعيه حقوق المرأه","جمعيه حقوق الانسان",NA,NA,NA
"140","398","First:,Second:,Third:,Fourth:","مجلس المراه","البرامج","حقوق المره","صحابها",NA
"141","405","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"142","406","First:","جمعية حقوق المرأة المصرية",NA,NA,NA,NA
"143","410","First:,Second:","برنامج بيوت منوره","هي وبس",NA,NA,NA
"144","416","First:","العنف ضد المراة",NA,NA,NA,NA
"145","419","First:","فيس بوك",NA,NA,NA,NA
"146","420","First:,Second:","المجلس القومى للمراة","حقوق المراة",NA,NA,NA
"147","424","First:,Second:,Third:,Fourth:,Fifth:","جروبات الفيس","الاخبار","فيديوهات","الأصدقاء","تويتر"
"148","426","First:,Second:,Third:","تويتر","يوتيوب","فيس بوك",NA,NA
"149","428","First:","الفيس بوك",NA,NA,NA,NA
"150","435","First:,Second:,Third:","د نهال","الاحوال المدنيه","ققص واقعيه",NA,NA
"151","442","First:,Second:","الفيس بوك فى بعض الجروبات","من اصدقاء",NA,NA,NA
"152","447","First:,Second:,Third:","دور إيواء النساء.","الاتصال برقم هاتف الطوارئ المحلي","اللجوء إلى صديق أو شخص عزي",NA,NA
"153","453","First:","Facebook",NA,NA,NA,NA
"154","454","First:,Second:,Third:,Fourth:","فيسبوك","واتس اب","يوتيوب","جوجل",NA
"155","457","First:,Second:,Third:","موقع المجلس القومى للمرأه","جوجل","مواقع لمساعده العنف ضد المرأة",NA,NA
"156","458","First:","المجلس القومى للمراة",NA,NA,NA,NA
"157","460","First:,Second:","الفيس","الواتس",NA,NA,NA
"158","462","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"159","469","First:","فيس بوك",NA,NA,NA,NA
"160","471","First:,Second:,Third:","المجلس القومي للمرأة","حقوق الإنسان","الخط الساخن للعنف ضد المرأة",NA,NA
"161","472","First:,Second:,Third:","المجلس القومي للمرأه","المركز المصري لحقوق المرأه","مؤسسه المرأه الجديده",NA,NA
"162","473","First:,Second:,Third:,Fourth:,Fifth:","بحث على جوجل","جروبات على فيس بوك للستات وحل مشاكلهم","مقالات توعية","قصص تعليمية عن حل المشكلات والتعامل مع الآخرين","معرفة اراء مختلفة"
"163","474","First:,Second:,Third:","احدي مراكز المراة المعنفة","احدي الجمعيات الداعمة للمراة المعنفة","مراكز الاستشارات الاسرية",NA,NA
"164","475","First:,Second:","موبايل","كمبيوتر",NA,NA,NA
"165","477","First:",NA,NA,NA,NA,NA
"166","482","First:,Second:","الفيس","اليوتيوب",NA,NA,NA
"167","493","First:,Second:,Third:","منظمة حقوق المرآة المصرية","بعض الجمعيات الخيرية","المتطوعات لمساعدة النساء فى هذه الحالات",NA,NA
"168","494","First:,I do not know any.",NA,NA,NA,NA,NA
"169","495","First:,Second:","المركز المصرى لحقوق المرأة","صفحات على النت مختلفه بين السيدات",NA,NA,NA
"170","498","First:","بعض المشكلات على الفيس فى جروبات مختلفة على سبيل الفضفضه مع بعض وايجاد حل للبعض المشاكل",NA,NA,NA,NA
"171","504","First:,Second:","اقسام الشرطه","منظمه حقوق المراه",NA,NA,NA
"172","505","First:,Second:","الفيس بوك","التليفزيون",NA,NA,NA
"173","506","First:,Second:,Third:","جوجل","فيس بوك","يوتيوب",NA,NA
"174","514","First:,Second:,Third:","قسم الحوادث بجريدة اليوم السابع الالكترونية","شكوى من نساء تصل عبر صفحات اتابعها تناقش موضوعات متعددة ليست خاصة بالحوادث فقط","استغاثة تصل من خلال منشور لعضوة فى جروب خاص بالمنطقة السكنية التى اعيش فيها",NA,NA
"175","515","First:,Second:,Third:,Fourth:,Fifth:","المركز قومي للامرأه","حقوق الانسان","رضوي الشيربني","جروبات البنات علي الفيس بوك","محامية"
"176","516","First:,Second:,Third:","حكايات","التليفزيون","المواقع",NA,NA
"177","518","First:,Second:","برنامج هى وبس","صفحة تجربة tagroba على الفيس بوك",NA,NA,NA
"178","521","First:,Second:,Third:","صفحة دكتور أشرف صبري اختصاصي علاقات اسرية","فيديوهات علي اليوتيوب","صفحات مراكز دعم المرأة",NA,NA
"179","529","First:,Second:,Third:,Fifth:","ضد العنف","جروبات البنات","حقوق المرأه",NA,NA
"180","530","First:","مايسة كمال",NA,NA,NA,NA
"181","531","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","الابحاث والاحصائيات الدورية حول العنف الأسري","الدراسات السابقة من الرسائل الماجستير والدكتوراه حول العنف المنزلي","الحلقات المسجلة عبر الانترنت عن المرأة والعنف الأسري","البرامج عبر التلفاز"
"182","534","First:","مجموعات نسوية مغلقة",NA,NA,NA,NA
"183","535","First:,Second:,I do not know any.","(حد يعرف.)جروب فيس بوك","اصدقاء يشاركون منشورات من هذا النوع",NA,NA,NA
"184","539","First:,Second:,Third:,Fourth:","جروبات حقوق الإنسان والمرأه","المركز الاقليمى لصحه وتنميه المرأه","مواقع محكمه الاسره","دار الإفتاء المصريه",NA
"185","541","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للامراة","المجلس المصري للامراة","لاني رجل","وحده مناهضه العنف ضد المرأة","مجلس القومي لحقوق الإنسان"
"186","543","First:","اسأل محاميك",NA,NA,NA,NA
"187","544","First:,Second:,Third:,I do not know any.","فيس بوك","يوتيوب","برامج تلفاز",NA,NA
"188","550","First:,Second:","الفيس بوك","الاخبار",NA,NA,NA
"189","551","First:,Second:,Third:,Fourth:,Fifth:","مجلس القومى للمرأة والطفل","حقوق الانسان","مواقع التواصل الاجتماعى","محكمة الاسرة","قسم الشرطه"
"190","552","First:,Second:","واتس","فيس بوك",NA,NA,NA
"191","554","First:,Second:,Third:","Facebook","YouTube","Twitter",NA,NA
"192","565","First:,Second:,Third:,Fourth:,Fifth:","الفيسبوك","الواتساب","جوجل","يوتيوب","القراءة"
"193","566","First:,Second:,Third:","الفيس بوك","الصحف اليومية","المواقع الاخبارية",NA,NA
"194","568","First:,Second:","صندوق حماية المرأة","جمعيات حقوق الإنسان",NA,NA,NA
"195","573","First:,Second:,Third:","تعرضت للعنف","الجيران","الاخبار علي النت",NA,NA
"196","576","First:","جروب أمهات مصر المعيلات",NA,NA,NA,NA
"197","591","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","جوجل","حقوق الإنسان","حقوق المرأة","االجروبات"
"198","595","First:,Second:,Third:,Fourth:,Fifth:","جمعيات حقوق المرأة","السلطات المختصه بالدفاع عن العنف ضد المرأة","مؤسسات الدفاع عن حقوق الانسان","خط الساخن الخاص بإبلاغ عن عنف تتعرض له السيدة","مجموعات الفيس بوك التي تساعدها"
"199","600","First:","Facebook",NA,NA,NA,NA
"200","603","First:,Second:,Third:","مؤسسه حقوق المرأة","وزارة التضامن","الامم المتحده",NA,NA
"201","604","First:,Second:,Third:,Fourth:","التنميه البشريه","البحث عن الذات","حقوق المرأه","عمل المرأه",NA
"202","605","First:,Second:,Third:","المجلس القومى للمرأة","لا للعنف ضد المرأة","نظرة",NA,NA
"203","610","First:,Second:,Third:","المجلس القومي المرأة","جمعيات مجتمع مدني","بيوترمعنفات",NA,NA
"204","612","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","يوتيوب","واتساب","تويتر","التلفزيون"
"205","616","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"206","622","First:,Second:,Third:","مركز صحه المرأه","Human rights","Msdmanuals. Com",NA,NA
"207","625","First:,Second:,Third:,Fourth:","لا  للعنف ضد للمرأة","معا لدعم المراة المطلقة","حقوق المراة","معا ضد العنف للمراة",NA
"208","628","Second:,I do not know any.",NA,NA,NA,NA,NA
"209","631","First:,Second:,Third:","Facebook","Youtube","Whatsapp",NA,NA
"210","632","First:","الجمعيات الخيرية",NA,NA,NA,NA
"211","634","First:","المركز القومي للامومه والطفوله",NA,NA,NA,NA
"212","637","First:","جمعية حقوق المرأه",NA,NA,NA,NA
"213","640","First:,Second:,Third:","المجلس القومي لحقوق الإنسان","المجلس القومي للمراه","بعض الجمعيات",NA,NA
"214","641","First:,Second:","جروبات الأسرة","توجيهات شخصيات عامة على يوتيوب",NA,NA,NA
"215","643","First:,Second:,Third:","فيس بوك","يوتيوب",NA,NA,NA
"216","644","First:,I do not know any.","برنامجmtv",NA,NA,NA,NA
"217","646","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","ببعض البرامج الى تنشر","قصص لبعض النساء","انستجرام","توتير"
"218","649","First:,Second:,Third:,Fourth:","الجمعيات الأهلية","برنامج الدكتور نهاد ابو القمصان","صفحة قضايا المرأة المعاصرة","إذاعة القرآن الكريم",NA
"219","652","First:","موقع دكتور نفسي يقدم النصيحه الافضل",NA,NA,NA,NA
"220","653","First:,Second:","لا اعرف",NA,NA,NA,NA
"221","656","First:,Second:,Third:,Fourth:","يوتيوب","واتس أب","فيسبوك","برامج قانونية",NA
"222","658","First:,Second:,Third:","المجلس القومى للمرأة","المجلس القومى لحقوق الإنسان","رئاسة مجلس الوزراء",NA,NA
"223","659","First:,Second:","(وحدة لم الشمل) الأزهر الشريف","مكتب شكاوي المرأة",NA,NA,NA
"224","661","First:,Second:,Third:","فيس بوك","انستجرام","يوتيوب",NA,NA
"225","666","First:,Second:,Third:","صفحات المره","جروبات","صفحات شخصيه",NA,NA
"226","668","First:","المجلس القومى المرأة",NA,NA,NA,NA
"227","678","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"228","679","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","مراكز الامومة والطفولة","الوحدات الصحية بكل قرية","نتائج الاستبيانات المتاحة علي الانترنت","تقارير المراكز الحكومية"
"229","680","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"230","686","First:,Second:","حروبات الدعم","صفحات حقوق المرأه",NA,NA,NA
"231","688","First:,Second:,Third:,Fourth:,Fifth:","1","2","3","4","5"
"232","700","First:","صفحات على الفيس مش مواقع محدده",NA,NA,NA,NA
"233","702","First:,Second:","المجلس تلقومى للمراة","حقوق الانسان",NA,NA,NA
"234","706","First:,Second:","جروبات متخصصه لحل مشاكل العنف المنزلى","بعض الدكاتره النفسين المتخصصين",NA,NA,NA
"235","711","First:,Second:","انتى مش لوحدك","هى وبس",NA,NA,NA
"236","714","First:,Second:","Un woman","رابطة المرأة العربية",NA,NA,NA
"237","718","First:,Second:,Third:,Fourth:,Fifth:","المركز القومى للمراة","الامم المتحدة للمراة","قصتها","صندةق الامم المتحدة للسكان",NA
"238","720","First:,Second:,Third:,Fourth:,Fifth:","مواقع","محكمه","جلسات عرفيه","اسالى ياعروسه","البيوت اسرار"
"239","721","First:,Second:,Third:","برامج تلفزيونية على قنوات مختلفة","منشورات يتم نزولها على مواقع التواصل الاجتماعى","جروبات مختصة بمشكلات وحقوق المراة",NA,NA
"240","724","First:,Second:","جمعيه حقوق المراه","تعمل محضرفالقسم",NA,NA,NA
"241","725","First:,Second:,Third:,Fourth:","الصفحة الرسمية للمجلس القومي للمرأة","الكثير من الصحف المختصة بقضايا المرأة","بيدجات وسائل التواصل الاجتماعي","جوجل",NA
"242","726","First:,Second:,I do not know any.","محكه الاسره",NA,NA,NA,NA
"243","728","First:,Second:,Third:","منظمة حقوق الانسان","منظمة حقوق المرأة","المجلس القومي للمرأة",NA,NA
"244","730","First:,Second:,Third:","Gogal","جمعيات نسائية","جروبات نسائية",NA,NA
"245","732","First:","Facebook",NA,NA,NA,NA
"246","740","First:,Second:,Third:","المجلس القومي لحقوق المرأة","مؤسسه المراه العربيه","مؤسسه المراه والذاكره",NA,NA
"247","742","First:,Second:,Third:","الفيس","اليوتيوب","بعض الجروبات",NA,NA
"248","745","First:,Second:","الفيس بوك","الجرائد اليومية",NA,NA,NA
"249","747","First:,Second:,Third:","الفيسبوك","اليوتيوب","تويتر",NA,NA
"250","749","First:,Second:","اليوتيوب","الفيسبوك",NA,NA,NA
"251","752","First:,Second:,Third:","جوجل","يوتيوب","فيس بوك",NA,NA
"252","753","First:","المركز القومى للمرأة",NA,NA,NA,NA
"253","758","First:,Second:","دار Pomellato للمجوهرات","القاهرة للتنميه وحقوق الإنسان",NA,NA,NA
"254","759","First:,Second:","فيديوهات اراء بعض الشيوخ الموثوق فيهم","فيديوهات القنوات الي بتدافع عن المراة زي رضوي الشيربيني",NA,NA,NA
"255","760","First:,Second:","منشورات بشكل عام على وسائل التواصل الاجتماعي","صفحات إخبارية مصرية",NA,NA,NA
"256","767","First:,Second:","برنامج بيوت منوره","برنامج الشيخ وسيم يوسف",NA,NA,NA
"257","771","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","واتس اب","الانستجرام","الماسنجر","التلجرام"
"258","772","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"259","774","First:","المجلس القومى للمراة",NA,NA,NA,NA
"260","777","First:,Second:,Third:","المركز القومى للمرأة المعنفة","مركز قضايا المرأة المصرية","مركز النديم لاصحاب ضحايا  العنف الاسرى",NA,NA
"261","785","First:,Second:,Third:","جوجل سيرش","اليوتيوب","الفايس بوك",NA,NA
"262","786","First:,Second:,Third:,Fourth:,Fifth:","جروبات الفيس بوك","صفحتي الشخصية علي الفيس بوك "" لانهم بيتواصلو معايا "" لاني محامية","المواقع الاخبارية اللي نشرت مجموعة كبيرة من اخبار العنف الفترة اللي فاتت","جروبات علي واتس اب","جروبات علي تيليجرام"
"263","787","First:,Second:","الكلام مع صحابي","اخبار علي مواقع",NA,NA,NA
"264","790","First:,Second:,Third:,Fourth:,Fifth:","World  Health organisation","UNFPA","منظمة العفو الدولية","GPV-AoR","مصادر عديدة علي جوجل"
"265","791","First:","مجموعات وصفحات المشاكل الاجتماعيه علي فيس بوك",NA,NA,NA,NA
"266","803","First:","الجمعية المصرية لحقوق المرأة",NA,NA,NA,NA
"267","804","First:,Second:,Third:","الاخبار","السوشيال ميديا","بعض الحكايات من الاهل والجيران والمعارف",NA,NA
"268","807","First:,Second:","المجلس القومى لحقوق المراه","مؤسسة لا للعنف",NA,NA,NA
"269","808","First:","اليونسيف",NA,NA,NA,NA
"270","809","First:,Second:,Third:","المجلس القومى للمرأة","المجلس القومى لحقوق الانسان","وزارة الداخلية",NA,NA
"271","810","First:,Second:,Third:","مركز قضايا المرأة المصرية","بيت حواء","وعي",NA,NA
"272","813","First:","Facebook",NA,NA,NA,NA
"273","814","First:,Second:","دكتور محمد عطية","دكتور أحمد سالم",NA,NA,NA
"274","815","First:,Second:,Third:,Fourth:,Fifth:","Facebook","البرامج التلفزيونيه الاجتماعيه","YouTube","لا يوجد","لا يوجد"
