"","index","know_org","know_org1","know_org2","know_org3","know_org4","know_org5"
"31","91","First:,Second:","حقوق الأنسان","يونسيف",NA,NA,NA
"32","94","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"33","96","First:","حقوق المرأه",NA,NA,NA,NA
"34","97","First:,I do not know any.","مجلس حقوق المراه",NA,NA,NA,NA
"35","99","First:","جمعية حماية المرآة المتعففة",NA,NA,NA,NA
"36","101","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"37","105","First:,Second:,Third:,Fourth:,Fifth:","برامج المرأه","الفيس بوك","ملتقيات المرأه ف دور العباده قبل كرونا (دروس دينيه )","تجارب اشخاص معينه وحلول المشاكل فعلينا","نصائح وارشادات ف بعض الكتب عن قضايا المرأه"
"38","106","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"39","109","First:","الصفحات النسائيه",NA,NA,NA,NA
"40","111","First:,Second:","حقوق الإنسان","حقوق المراة",NA,NA,NA
"41","113","First:","حقوق المرأه والطفل",NA,NA,NA,NA
"42","115","First:,Second:","المجلس القومي للمرأة","مكاتب الاستشارات الأسرية",NA,NA,NA
"43","116","First:,Second:,Third:","Y_peer","المجلس القومي المرأة","اتجاه",NA,NA
"44","120","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"45","125","First:","الخط الساخن الشكوى ضد العنف تجاه المرأه",NA,NA,NA,NA
"46","126","First:,Second:","المجلس القومى للمرأه","الجمعيات الاهليه",NA,NA,NA
"47","128","First:","جمعيات حقوق المرأه",NA,NA,NA,NA
"48","131","First:,Second:","جمعيات حقوق المرأة","مكاتب الإرشاد النفسي و الأسري",NA,NA,NA
"49","135","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"50","138","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"51","143","First:","لا اعرف",NA,NA,NA,NA
"52","145","First:,Second:,Third:,Fourth:,Fifth:","محكمه الاسره","دار الافتاء","العنف ضد المراه",NA,NA
"53","147","First:,Second:","مدام نهاد ابو القمصان","القائمين على المشورة الزوجية بالكنائس",NA,NA,NA
"54","149","First:","جمعيه حقوق المرأه",NA,NA,NA,NA
"55","152","First:","المجلس الاعلى لحقوق المراءه",NA,NA,NA,NA
"56","154","First:,Second:","جمعية خدمة المرأة","جروب لكى ياسيدتى",NA,NA,NA
"57","155","First:,I do not know any.","أمهات مصر المعيلات",NA,NA,NA,NA
"58","157","First:,Second:,Third:,Fourth:,Fifth:","الخدمات الاجتماعية","مراكز توعيه المرأة","الجمعيات الخيرية","التليفزيون","النت"
"59","164","First:","اسئلة علي جوجل",NA,NA,NA,NA
"60","165","First:","المركز القومي للامراة",NA,NA,NA,NA
"61","172","First:,Second:","فيسبوك","يوتيوب",NA,NA,NA
"62","175","First:,Second:,Third:","المجلس القومى للمراة","محكمة الاسرة","مشيخة تلازهر",NA,NA
"63","176","First:,Second:","مركز دعم المرأة","الجهاز القومي  لدعم المرأة",NA,NA,NA
"64","177","Fourth:",NA,NA,NA,NA,NA
"65","181","First:","برنامج هى وبس راضوى الشربينى",NA,NA,NA,NA
"66","182","First:,Second:,Third:","المركز القومي للمرأة","المركز القومي لحقوق الانسان","الجمعيات النسوية",NA,NA
"67","184","First:,Second:,Third:","المجلس القومي للمراة","اقسام البوليس","بعض المراكز الحقوقية",NA,NA
"68","185","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"69","195","First:,Second:","المركز القومي للمراة","محكمة الاسرة",NA,NA,NA
"70","204","First:,Second:,Third:","المركز المصري لحقوق المرأة","مؤسسة السيداو للديمقراطية وحقوق الإنسان","ولجان  التابعة للأمم المتحدة وحقوق الإنسان والمختضة بالقضاء على التمييز ضد المرأة",NA,NA
"71","208","First:,Second:,Third:,Fourth:,Fifth:","هن","هي وبس","هتفضل جانبك","ثورة المرأة","من خلالي انا"
"72","210","First:","الاهل",NA,NA,NA,NA
"73","219","First:,Second:","المجلس القومي لحقوق المرأة","مركز لدعم الأسرة",NA,NA,NA
"74","224","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"75","227","First:","جمعية نور",NA,NA,NA,NA
"76","230","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"77","237","First:,I do not know any.","حقوق المرأه",NA,NA,NA,NA
"78","241","First:,Second:","المجلس القومى للمراه","محكمه الاسره",NA,NA,NA
"79","243","First:,Second:","مجلس حقوق المرأة","المراءة ضد العنف",NA,NA,NA
"80","244","First:,Second:,Third:","منظمة العفو الدولية","مؤسسة الاورو","جمعية حقوق المرأة المصرية",NA,NA
"81","260","First:","الجلس القومى للمراة",NA,NA,NA,NA
"82","270","First:,Second:","محكمه الأسرة",NA,NA,NA,NA
"83","272","First:,Second:","الشيوخ","دكتور علاقات زوجيه",NA,NA,NA
"84","277","First:","المركز القومى للمرأة",NA,NA,NA,NA
"85","280","First:","المجلس القومى للمراه",NA,NA,NA,NA
"86","284","First:,Second:","مديريه الامن","محكمه الاسره",NA,NA,NA
"87","292","First:","دكتور عمرو الورداني",NA,NA,NA,NA
"88","294","First:,Second:","صفحة المجلس القومى لحقوق المرأه","صفحة المحاميه ناهد ابو القمصان",NA,NA,NA
"89","296","First:,Second:,Third:","المركز القومى للمرأه","أمانات المرأه فى بعض الاحزاب","ا",NA,NA
"90","300","First:","محكمة الاسره",NA,NA,NA,NA
"91","302","First:,Second:,Third:","لا اعرف","لا اعرف","لا اعرف",NA,NA
"92","306","First:,Second:","المجلس القومي لحقوق المراة","جمعيات حقوق الانسان",NA,NA,NA
"93","311","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"94","312","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"95","313","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"96","315","Fifth:",NA,NA,NA,NA,"لا اعرف"
"97","326","First:,Second:,Third:","المجلس القومي للمرأة","16000","15115",NA,NA
"98","328","First:,Second:,Third:,Fourth:,Fifth:","القنوات التلفزيونيه","شبكات التواصل الاجتماعي","البرامج الاجتماعيه","الجهات المختصه بقضايا المراه","بعض الأقارب"
"99","329","First:,Second:,Third:","دار الافتاء","الكنيسه","الازهر",NA,NA
"100","331","First:","فيديوهات متخصصة علي الانترنت",NA,NA,NA,NA
"101","332","First:,Second:,Third:,Fourth:,Fifth:",NA,NA,NA,NA,NA
"102","333","First:,Second:","المجلس القومي للمرأه","حملة اريد حلا",NA,NA,NA
"103","334","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"104","335","First:,Second:","أخصائي اجتماعي","جهه حقوق المرأة",NA,NA,NA
"105","338","First:","المركز القومى لحقوق المرأه",NA,NA,NA,NA
"106","339","First:,Second:,Third:","مؤسسه محاميات مصريات","مركز النديم","حقوق المرأه",NA,NA
"107","347","Third:,I do not know any.",NA,NA,NA,NA,NA
"108","350","First:,Second:,Third:","المجلس القومي للمرأة","جمعيات و منظمات حقوق المرأة","الناشطين في مجال حقوق المرأة",NA,NA
"109","353","First:,Second:","حكايات نهاد","المجلس القومي للمرأة",NA,NA,NA
"110","356","First:","حمالات العنف ضد المرأة",NA,NA,NA,NA
"111","357","First:,Second:,Third:,Fourth:","اراء ناس عاديه في جروبات","دار الإفتاء بتجاوب عالاسأله","بعض الشيوخ والداعيين بيردوا لايف علي حل مشاكل",NA,NA
"112","360","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"113","361","First:","مركز النديم",NA,NA,NA,NA
"114","362","First:,Second:","المجلس القومى للمرأة","السيدات كبار السن والخبرة",NA,NA,NA
"115","364","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"116","366","First:","نادرًا ما بقابل جهات مصرية بتقدم دعم للنساء المتضررة، غالبًا بيكون جهات اجنبية تأثيرها على ستات مصر طفيف، مجرد نصايح مش مساعدات مادية على الارض و الواقع",NA,NA,NA,NA
"117","368","First:,Second:","حقوق المرأة","حقوق الإنسان",NA,NA,NA
"118","370","First:,Second:,Third:","الجروبات النسائية علي فيسبوك","صفحات حقوق المرأة علي فيسبوك","البرامج التليفزيونية الخاصة بالمرأة",NA,NA
"119","372","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"120","375","First:,Second:","المركز القومي للمرأة","وارقام كتير بشوفها علي فيسبوك يقال انها بتدعم المرأة المعنفة",NA,NA,NA
"121","382","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المراه المصريه","مركز النديم لضحايا العنف الاسرى","الجمعيه المصريه المصريه للتوعيه والصحه النفسيه","مؤسسه المراه المصريه للقانون وثقافته السلام","بيت حواء ملجأ للسيدات المعنفات تابع لجمعيه نهوض وتنميه المراه"
"122","384","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"123","386","First:","مجلس القومي للمرأة",NA,NA,NA,NA
"124","387","First:,Second:","جروب امهات مصر المعيلات","المجلس القومي لحقوق المرأة",NA,NA,NA
"125","388","First:,Second:","المجلس القومي للمرأة","جروب امهات مصر المعيلات",NA,NA,NA
"126","389","Third:,I do not know any.",NA,NA,NA,NA,NA
"127","404","First:","المجلس القومي للامومة والطفولة",NA,NA,NA,NA
"128","405","First:","حقوق المرأة",NA,NA,NA,NA
"129","406","First:","جمعية حقوق المرأة المصرية",NA,NA,NA,NA
"130","411","First:,Second:","المجلس القومي لحقوق المرأة","البرامج التليفزيونية التي تناقش حقوق المرأة",NA,NA,NA
"131","420","First:,Second:","المجلس القومي للمراة","الركز القومي لحقوق المراة",NA,NA,NA
"132","422","First:,Second:,Third:","المجلس القومي للمرأة","محكمة الأسرة","المجلس القومي للطفولة والأمومة",NA,NA
"133","433","First:,Second:,Third:,Fourth:,Fifth:","اقسام الشرطة","الجهاز القومي للمرأة","مجالس حقوق الانسان","محكمة الاسرة","الازهر الشريف"
"134","435","First:,Second:,Third:","حقوق المرأه","التضامن الاجتماعي","جمعيات المراه",NA,NA
"135","438","First:","المجلس القومي للمراه",NA,NA,NA,NA
"136","440","First:","المجلس القومي للمراة",NA,NA,NA,NA
"137","447","First:,Second:","اللجوء إلى صديق أو شخص عزي","دور الإيواء أو خدمات الاستشارة)",NA,NA,NA
"138","448","First:","جمعيه حقوق المراه",NA,NA,NA,NA
"139","453","First:","مش عارفه بس عايزه اعرف",NA,NA,NA,NA
"140","454","First:,Second:,Third:","استشاريين العلاقات الاسرية","المجلس القومي للمرأة","جمعيات حقوق المرأة",NA,NA
"141","456","First:,Second:,Third:","المجلس القومي للمراة","المشورة القانونية","هيئات خاصة",NA,NA
"142","457","First:","محكمه الاسره",NA,NA,NA,NA
"143","460","First:,Second:","مجموعات علي الفيس","جروبات واتس",NA,NA,NA
"144","462","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"145","467","First:","استشارات العلاقات الزوجية",NA,NA,NA,NA
"146","469","First:","الاهل",NA,NA,NA,NA
"147","471","First:,Second:,Third:","مركز قضايا المرأة المصرية","المجلس القومي للمرأة لمناهضة العنف","مركز النديم",NA,NA
"148","472","First:,Second:","المجلس القومي للمرأه",NA,NA,NA,NA
"149","473","First:,Second:","مواقع انترنت","المجلس القومى للمراة",NA,NA,NA
"150","474","First:,Second:","خط مناهضة العنف ضد المرأة","مراكز الاستشارات الاسرية",NA,NA,NA
"151","477","First:","الجمعيات النسائسة",NA,NA,NA,NA
"152","478","First:","الاتصال على 15115",NA,NA,NA,NA
"153","479","First:","المجلس القومي للمراه",NA,NA,NA,NA
"154","480","First:,Second:","ناهد ابو القمصان","المجلس القومي لحقوق المرأة",NA,NA,NA
"155","493","First:,Second:,Third:","هيئة حقوق المرآة المصرية","بعض الجمعيات الخيرية","بعض المتطوعات والمتطوعين",NA,NA
"156","495","First:","محكمه الاسره",NA,NA,NA,NA
"157","498","First:","معرفش",NA,NA,NA,NA
"158","504","First:,Second:","منظمه حقوق المراه","اقسام الشرطه",NA,NA,NA
"159","505","First:,Second:","المجلس القومى للمراة","برامج التلفزيون",NA,NA,NA
"160","506","First:,Second:,Third:","جوجل","التلفزيون","فيس بوك",NA,NA
"161","509","First:","حقوق الانسان",NA,NA,NA,NA
"162","510","First:","المجلس القومى للامومة والطفولة",NA,NA,NA,NA
"163","514","First:,Second:,Third:","المركز القومى للمرأة قسم الشكوى من العنف الاسرى","لجنة الوعظ بمشيخة الأزهر الخاصة بالشئون الاسرية","الاستعانة بقسم الشرطة للمشورة فقط",NA,NA
"164","515","First:","المركز قومي للمرأه",NA,NA,NA,NA
"165","516","First:,Second:","المجلس القومى للمرأه","بعض المؤسسات",NA,NA,NA
"166","518","First:,Second:","المجلس القومى للمرأة","برنامج هى وبس",NA,NA,NA
"167","521","First:","الاسرة",NA,NA,NA,NA
"168","522","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"169","526","First:","المركز القومي لحقوق المراه",NA,NA,NA,NA
"170","529","First:","ضد عنف للمرأه",NA,NA,NA,NA
"171","530","First:,Second:","مايسة كمال","هالة سمير",NA,NA,NA
"172","531","First:,Second:,Third:","الجهات الأمنية","المجلس القومي للمرأة","الخطوط الساخنة للابلاغ عن العنف الأسري",NA,NA
"173","532","First:,Second:","الازهر او الكنيسة","منظمة الصحة العالمية و وزارة الصحة",NA,NA,NA
"174","534","First:","نساء مفردة بتقدم نصح فى فيديوهات على اليوتيوب",NA,NA,NA,NA
"175","539","First:,Second:","المركز الاقليمى لصحه وتنميه المرأه","داعيات",NA,NA,NA
"176","541","First:,Second:,Third:","وحده مناهضه العنف ضد المرأة","المجلس المصري لمراة","المجلس القومي للطفولة والأمومة",NA,NA
"177","543","First:,Second:","المجلس القومى للمراة","المركز المصرى لحقوق المراة",NA,NA,NA
"178","547","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"179","548","First:,Second:","المجلس الأعلي للمرأه","المجلس الاعلي للطفوله والامومه",NA,NA,NA
"180","551","First:","المجلس القومى للمراة",NA,NA,NA,NA
"181","565","First:,Second:,Third:,Fourth:,Fifth:","السلطات القانونية","النقاش مع الزوج","الاهل","الاصدقاء","جمعيات حقوق المرأة"
"182","566","First:","لا اعرف",NA,NA,NA,NA
"183","571","First:,Second:","موقع دندشة","جروبات واتس اب",NA,NA,NA
"184","572","First:,Second:,Third:,Fourth:,Fifth:","الكنيسه","اب الاعتراف","المرشد","الاسقف","المجلس الاكليريكي"
"185","576","First:,I do not know any.",NA,NA,NA,NA,NA
"186","584","First:","المركز القومي للمرءاة",NA,NA,NA,NA
"187","586","First:","مكاتب التوجيه والاستشارات الأسرية",NA,NA,NA,NA
"188","591","First:,Second:","جمعيات حقوق المرأة","الفيس بوك",NA,NA,NA
"189","593","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"190","602","First:","جمعية حقوق المرءة",NA,NA,NA,NA
"191","603","First:,Second:,Third:","الامم المتحده","مؤسسه حقوق المراه","حمله هى",NA,NA
"192","606","First:,Second:","المجلس القومى للمراة","المركز المصرى لحقوق المراة",NA,NA,NA
"193","610","First:,Second:","المجلس القومي المرأة","مجتمع مدني",NA,NA,NA
"194","612","First:,Second:,Third:,Fourth:,Fifth:","محكمة الاسرة","المجلس القومى للمرأة","الانترنت","الازهر الشريف","دار الافتاء"
"195","616","First:","المجلس القومى لحقوق المرأة والطفلة",NA,NA,NA,NA
"196","622","First:,Second:","المجلس القومي للمرأه","مراكز التنميه حقوق الانسان",NA,NA,NA
"197","625","First:,Second:","المركز القومى للمراة","ا",NA,NA,NA
"198","628","First:,Second:,Third:,Fourth:,Fifth:","حد يفهم كبير فالمشورة","حد لي وعي لحل المشاكل","حد اثق فية","اشكي لربنا","اشكي لشفيعي"
"199","630","First:,Second:","المركز القومي للمرأة والطفل",NA,NA,NA,NA
"200","632","First:","مااعرفش",NA,NA,NA,NA
"201","634","First:","المركز القومي للامومه والطفوله",NA,NA,NA,NA
"202","640","First:,Second:","المجلس القومي للمراه","المجلس القومي للامومه والطفوله",NA,NA,NA
"203","641","First:","محكمة الأسرة",NA,NA,NA,NA
"204","643","First:","حكومه",NA,NA,NA,NA
"205","646","First:,Second:,Third:,Fourth:,Fifth:","البرامج","مؤسسات خاصة بالمرأة","القنوات افضائيه","تجارب الحياة","الفيس بوك"
"206","649","First:,Second:,Third:","صفحة د. نهاد ابو القمصان","صفحة الافوكاتو","إذاعة القرآن الكريم",NA,NA
"207","652","First:,Second:,Third:","الاهل","الاصدقاء","دكتور نفسي خاص بالعلاقات الاسرية",NA,NA
"208","653","First:","لا اعرف",NA,NA,NA,NA
"209","656","First:,Second:,Third:,Fourth:,Fifth:","برامج تثقيفية","جمعيات حقوق المراة","المجلس الأعلى للمراة","الازهر","الاسرة"
"210","658","First:,Second:,Third:","المجلس القومى للمرأة","المجلس القومى لحقوق الإنسان","رئاسة مجلس الوزراء",NA,NA
"211","666","First:,Second:","الجروبات","الصفحه الشخصيه",NA,NA,NA
"212","668","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"213","672","First:,Second:","صفحات العلاج النفسي","صفحات التنميه البشريه",NA,NA,NA
"214","674","First:","متخافيش.",NA,NA,NA,NA
"215","677","First:","المركز القومي للمرأة",NA,NA,NA,NA
"216","679","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","مراكز الامومة والطفولة","بعض الجمعيات الخيرية","ندوات بعض الاحزاب","المساجد"
"217","697","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"218","700","First:,Second:,Third:","لا اعرف جهه محدده و إنما صفحات على الفيس","لا اعرف","لا اعرف",NA,NA
"219","702","First:,Second:","المجلس القومى للمراة","مجلس الامومة والطفوله",NA,NA,NA
"220","709","First:","المركز القومي للمرأة",NA,NA,NA,NA
"221","711","First:,Second:,Third:","انتى مش لوحدك","هى وبس","محكمه الاسره",NA,NA
"222","712","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"223","714","First:","Care هيئة",NA,NA,NA,NA
"224","715","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"225","718","First:","Unfpa",NA,NA,NA,NA
"226","721","First:,Second:,Third:","المركز الدولى لحقوق المرأة","مجلس حقوق المرأة المصرية","جمعية المرأة الجديدة",NA,NA
"227","724","First:,Second:","الشئون المعنيه","القسم",NA,NA,NA
"228","728","First:,Second:","منظمة حقوق المرأة","المجلس الأعلى للمرأة",NA,NA,NA
"229","730","First:,Second:","جمعيات","قيادات نسائية",NA,NA,NA
"230","732","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"231","740","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي لحقوق المرأة","مؤسسه المراه العربيه","مؤسسه المراه والذاكره","المركز المصري لحقوق المرأة","مؤسسه المراه الجديده"
"232","742","First:","دور العباده",NA,NA,NA,NA
"233","746","First:","صفحات الفيس بوك",NA,NA,NA,NA
"234","747","First:,Second:,Third:","فيسبوك","تويتر","انستجرام",NA,NA
"235","748","First:,Second:","التليفزيون","بعض الصفحات في فيس بوك",NA,NA,NA
"236","749","First:,Second:,Third:","منظمات حقوق المراة","برامج قانونيه","برامج اجتماعية واسرية",NA,NA
"237","752","First:,Second:","جمعيات حقوق المرأة","البرامج التلفزيونية",NA,NA,NA
"238","753","First:","المركز القومى للمرأة",NA,NA,NA,NA
"239","758","First:","منظمه المرأة العالميه",NA,NA,NA,NA
"240","767","First:,Second:","برنامج بيوت منوره","رضوي الشربيني",NA,NA,NA
"241","772","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"242","773","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"243","775","First:,Second:,I do not know any.","شكوى المراة","الخط الساخن لنجدة المرأة",NA,NA,NA
"244","777","First:","مركز قضايا المرأة",NA,NA,NA,NA
"245","785","First:","المركز القومي للمراة",NA,NA,NA,NA
"246","786","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","مؤسسة قضايا المرأة","المركز المصري لقضايا المرأة","مؤسسة نظرة","جروبات الدعم القانوني لقضايا الاحوال الشخصية علي الفيس بوك"
"247","787","First:","لا اعرف جهات",NA,NA,NA,NA
"248","790","First:,Second:,Third:,Fourth:,Fifth:","اللجنه الدولية للصليب الأحمر","منظمة حقوق المرأة","منظمة حقوق الإنسان","منظمة المرأة العربية","الجمعية العامة -OHCHR"
"249","792","First:","المجلس القومى للمراة",NA,NA,NA,NA
"250","793","First:,Second:","فرع المجلس القومى للمرأة بمحافظتى","الخط الساخن للمرأة والطفل",NA,NA,NA
"251","799","First:,I do not know any.","جمعية حقوق المرأه",NA,NA,NA,NA
"252","802","First:,Second:,Third:,I do not know any.","جمعية حقوق المرأة والطفل","جمعية حقوق الانسان","جمعية الصحة النفسية",NA,NA
"253","803","First:,Second:,Third:","المركز المصري لدعم حقوق المرأة","جمعية نهوض وتنمية المرأة","ملتقى الهيئات لتنمية المرأة",NA,NA
"254","805","First:,Second:,I do not know any.","بيدج اسمه المرأه علي الفيس بوك","فيه بلوجر ع",NA,NA,NA
"255","809","First:,Second:","صفحات على الانترنت","المجلس القومى للمرأة",NA,NA,NA
"256","810","First:","وعي",NA,NA,NA,NA
"257","813","First:","Facebook",NA,NA,NA,NA
"258","814","First:,Second:","دكتور محمد عطية","دكتور أحمد سالم",NA,NA,NA
"259","815","First:,I do not know any.","محكمه الاسره",NA,NA,NA,NA
"260","826","First:,Second:,Third:","المجلس الاعلي للمراءه","خط نجده الطفل","دار الافتاء",NA,NA
"261","828","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"262","829","First:","المؤسسة الدينية (زي الكنيسة مثلا بتقدم دعم كبير بأشكال مختلفة)",NA,NA,NA,NA
"263","835","First:,Second:","الفيس بوك","انستجرام",NA,NA,NA
"264","836","Fourth:,I do not know any.",NA,NA,NA,NA,NA
"265","837","First:,I do not know any.","المجلس القومي لامرأة",NA,NA,NA,NA
"266","841","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"267","842","First:,Second:","المجلس القومي للمرأة","مؤسسة قضايا المرأة المصرية",NA,NA,NA
"268","843","First:,Second:","مجلس حقوق المرأة","الاعلام",NA,NA,NA
"269","844","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمراه","المجلس القومي لحقوق الانسان","الأمومة والطفوله","حل النزاع","حقوق المراه"
"270","845","First:","جمعيه المراءه",NA,NA,NA,NA
"271","859","First:","المجلس القومي لرعايه المراه",NA,NA,NA,NA
"272","861","First:,Second:","مجلس المراة","مكتب الاستشارات الأسرية بالمحاكم",NA,NA,NA
"273","864","First:,Second:,Third:,Fourth:,Fifth:","الوحده الصحيه فيها سيدات","السيدات التانين","صفحات الفيس","الالاهل","الأصدقاء"
"274","865","First:","محاضرات تنمية بشرية",NA,NA,NA,NA
"275","870","First:,Second:,Third:,Fourth:,Fifth:","جمعيات حقوق الإنسان","جمعيات حقوق المرأة","الجهات الحكومية المعنية","المواقع الاسترشاديه","الاصدقاء"
"276","874","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"277","878","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"278","879","First:","المجلس القومي للمرآه",NA,NA,NA,NA
"279","882","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"280","887","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"281","891","First:","جمعية سيدات الاعمال",NA,NA,NA,NA
"282","894","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"283","896","First:","المحاكم الاسريه",NA,NA,NA,NA
"284","897","First:","المجلس القومي الامومه والطفوله",NA,NA,NA,NA
"285","899","First:",".",NA,NA,NA,NA
"286","900","First:","جمعية حقوق المراه",NA,NA,NA,NA
"287","902","First:,Second:","وزارة الداخلية","المجلس القومي للمرأة",NA,NA,NA
"288","907","First:","رضوى الشربينى",NA,NA,NA,NA
"289","910","First:","مجلس المراة",NA,NA,NA,NA
"290","918","First:,Second:,Third:","اهلها","كبير عائلة من قبل الزوج نفسه","الجهات الحكوميه",NA,NA
"291","920","First:,Second:,Third:,Fourth:","المركز المصرى لحقوق المرأه","مؤسسه قضايا المرأه","صندوق الأمم المتحده للسكان","جمعيه الفن للتنمية",NA
"292","921","First:,Second:","المركز المصري لحقوق المرأة","المجلس القومي للمرأة",NA,NA,NA
"293","928","First:","برنامج هي وبس",NA,NA,NA,NA
"294","931","First:,Second:,Third:","المجلس القومي للامومة والطفولة والطفولة","المجلس القومي للمرأة","جمعيات مستقلة",NA,NA
"295","932","First:,Second:","المجلس القومى  للمرأه","محكمه الاسره",NA,NA,NA
"296","935","First:","المجلس القومى لحقوق المراة",NA,NA,NA,NA
"297","944","First:","المركز القومي لحقوق المراه",NA,NA,NA,NA
"298","948","First:","مكاتب الارشاد الاسري الخاصة",NA,NA,NA,NA
"299","950","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"300","954","First:","مركز المراه",NA,NA,NA,NA
"301","955","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"302","956","First:","المركز القومي لحقوق المراه",NA,NA,NA,NA
"303","969","First:,I do not know any.","الصفحات النسوية على الفيسبوك",NA,NA,NA,NA
