"","index","know_online","know_online1","know_online2","know_online3","know_online4","know_online5"
"44","138","First:,Second:,Third:,Fourth:","صفحة المجلس للامومة والطفولة","معهد ادارة  البحوث  الاجتماعية والجنائية","المجلس القومي للمراة","الحكام الفقهية التابعه ازهر الشريف",NA
"45","153","First:,Second:,Third:","مجلس القومي لحقوق المراء","خط الساخن لشكاوي الاسرة","بعض برامج حوارية",NA,NA
"46","154","Second:,Third:,Fourth:,I do not know any.",NA,"الخدمة الاجتماعية","المشاكل الاسرية","الزوجة المصرية",NA
"47","156","First:,Second:","يوتيوب","فيس بوك",NA,NA,NA
"48","162","First:,Fourth:","واتس اب",NA,NA,NA,NA
"49","178","First:,Second:,Third:,Fourth:,Fifth:","منظمه خقوق المرأه","محامييون تحت الطلب","الاسره والطفل","العنف الاسرى","امحكمه الاسره"
"50","189","First:","معرفش",NA,NA,NA,NA
"51","191","First:,Second:,Third:,Fourth:","فيس بوك","يوتيوب","تويتر","واتساب",NA
"52","192","First:,Second:,Third:,Fourth:,Fifth:","الاقارب","العمل","محيط السكن","الاخبار","الانترنت"
"53","196","First:,Second:","منظمه العفو الدوليه","المجلس القومي للمرأة",NA,NA,NA
"54","197","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","تويتر","برامج تليفزيون","واتس اب","انستجرام"
"55","199","First:,Second:","الانترنت","التلفزيون",NA,NA,NA
"56","203","First:,Second:,Third:,Fourth:,Fifth:","العنف المنزلي","حقوق امرأة حرة","منظمه المرأة العربيه","من وحي النساء","مجله عالم المراة"
"57","205","First:,Second:,Third:,Fourth:,Fifth:","لا اعلم","لا اعلم","لا اعلم","لا اعلم","لا اعلم"
"58","207","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","المركز القومي للمرأة","جمعيات حقوق الإنسان","دعم المرأة التي تتعرض للعنف","الجمعيات الخيرية"
"59","209","First:,Second:","المجلس القومي للمرأة","حقوق الإنسان",NA,NA,NA
